timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1763999315940,0,0.00,0
1763999316050,0,0.00,0
1763999316156,0,0.00,0
1763999316261,0,0.00,0
1763999316362,0,0.00,0
1763999316470,0,0.00,0
1763999316594,0,0.00,0
1763999316695,0,0.00,0
1763999316797,0,0.00,0
1763999316899,0,0.00,0
1763999317001,0,0.00,0
1763999317102,0,0.00,0
1763999317205,0,0.00,0
1763999317311,0,0.00,0
1763999317413,0,0.00,0
1763999317520,0,0.00,0
1763999317622,0,0.00,0
1763999317723,0,0.00,0
1763999317828,18550,2.20,4370432
1763999317929,28857,1.29,5435392
1763999318029,28857,0.00,5189632
1763999318130,28857,0.00,5189632
1763999318232,28857,0.00,5189632
1763999318335,28857,0.00,5189632
1763999318436,28857,0.00,5189632
1763999318549,28857,0.00,5189632
1763999318661,28857,0.00,5189632
1763999318762,28857,0.00,5189632
1763999318862,396566,45.82,78381056
1763999318963,541317,17.95,105467904
1763999319063,641246,12.46,105070592
1763999319165,744107,12.64,105426944
1763999319277,856927,12.52,105656320
1763999319378,957679,12.56,105865216
1763999319478,1057946,12.48,106074112
1763999319579,1159682,12.58,106475520
1763999319682,1262768,12.57,106188800
1763999319782,1363616,12.56,106885120
1763999319884,1465727,12.52,106602496
1763999319986,1588961,15.13,107155456
1763999320086,1712226,15.37,107405312
1763999320189,1815353,12.55,107593728
1763999320289,1938882,15.35,108290048
1763999320391,2040192,12.48,108257280
1763999320492,2153325,13.98,108953600
1763999320592,2253160,12.45,109142016
1763999320693,2355955,12.80,109703168
1763999320794,2466963,13.76,109617152
1763999320894,2567037,12.46,109563904
1763999321001,2686459,13.95,110157824
1763999321103,2788582,12.46,110223360
1763999321205,2900946,13.84,110383104
1763999321311,3007815,12.54,110305280
1763999321412,3112966,13.07,110899200
1763999321513,3220562,13.37,110780416
1763999321614,3321605,12.42,110350336
1763999321720,3440376,14.11,110628864
1763999321825,3545825,12.49,110661632
1763999321940,3672266,13.75,110931968
1763999322045,3777035,12.51,111190016
1763999322145,3876812,12.43,111042560
1763999322246,3988130,13.77,111116288
1763999322356,4111242,14.01,112087040
