timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1766425585691,81508,9.68,471040
1766425585792,196519,14.24,1953792
1766425585893,310474,14.12,4558848
1766425585993,420965,13.74,5083136
1766425586095,554481,16.39,4775936
1766425586196,660452,13.13,5021696
1766425586300,771366,13.29,5681152
1766425586401,886557,14.31,6262784
1766425586502,991451,12.98,6086656
1766425586604,1093803,12.55,6098944
1766425586705,1286460,23.76,8003584
1766425586816,1422464,15.37,8683520
1766425586916,1594882,21.46,9019392
1766425587020,1770709,21.18,9146368
1766425587121,1946057,21.77,11120640
1766425587224,2156655,25.42,12623872
1766425587325,2360388,25.37,14721024
1766425587425,2567381,25.72,14974976
1766425587526,2734274,20.77,17125376
1766425587626,2922011,23.38,17846272
1766425587726,3097242,21.84,19795968
1766425587827,3303855,25.76,18661376
1766425587930,3503847,24.17,18841600
1766425588031,3658307,19.16,18960384
1766425588132,3826865,20.77,18763776
1766425588232,3927700,12.57,18898944
1766425588333,4144920,27.04,19881984
1766425588442,4339275,22.30,20529152
1766425588542,4541013,25.10,20852736
1766425588643,4723478,22.74,22380544
1766425588750,4884834,18.71,21942272
1766425588852,4966496,10.01,21831680
1766425588954,4987620,2.59,21540864
1766425589055,5093411,13.17,21872640
1766425589155,5223756,16.22,22167552
1766425589256,5352645,16.01,23203840
1766425589357,5477261,15.37,23465984
1766425589458,5615770,17.13,23465984
1766425589559,5814932,24.74,22982656
1766425589659,5931466,14.52,23785472
1766425589761,6058770,15.68,23048192
1766425589861,6160475,12.66,23056384
1766425589963,6293482,16.21,23326720
1766425590065,6377936,10.38,22827008
1766425590176,6377936,0.00,22773760
1766425590281,6414083,4.28,23556096
1766425590382,6516704,12.75,23334912
1766425590482,6619046,12.74,23617536
1766425590586,6723114,12.53,23715840
1766425590701,6768174,4.91,23228416
1766425590802,6768174,0.00,23220224
1766425590903,6768174,0.00,23220224
1766425591007,6768174,0.00,23220224
1766425591108,6768174,0.00,22937600
1766425591208,6768174,0.00,22937600
1766425591325,6768174,0.00,22937600
1766425591441,6768174,0.00,22937600
1766425591547,6768174,0.00,22937600
1766425591649,6768174,0.00,22937600
1766425591757,6768174,0.00,22937600
1766425591857,6768174,0.00,22937600
1766425591969,6768174,0.00,22937600
1766425592076,6768174,0.00,22937600
1766425592182,6768174,0.00,22937600
1766425592289,6768174,0.00,22937600
1766425592393,6768174,0.00,22937600
1766425592501,6768174,0.00,22937600
1766425592603,6768174,0.00,22937600
1766425592705,6768174,0.00,22937600
1766425592809,6768174,0.00,22937600
1766425592910,6768174,0.00,22937600
1766425593013,6768174,0.00,22937600
1766425593117,6768174,0.00,22937600
1766425593218,6768174,0.00,22937600
1766425593320,6768174,0.00,22937600
1766425593431,6768174,0.00,22937600
1766425593543,6768174,0.00,22937600
1766425593646,6768174,0.00,22937600
1766425593751,6768174,0.00,22937600
1766425593855,6768174,0.00,22937600
1766425593963,6768174,0.00,22937600
1766425594066,6768174,0.00,22937600
1766425594168,6768174,0.00,22937600
1766425594272,6768174,0.00,22937600
1766425594373,6768174,0.00,22937600
1766425594478,6768174,0.00,22937600
1766425594581,6768174,0.00,22937600
1766425594684,6768174,0.00,22937600
1766425594790,6768174,0.00,22937600
1766425594892,6768174,0.00,22937600
1766425594996,6768174,0.00,22937600
1766425595097,6768174,0.00,22937600
1766425595199,6768174,0.00,22937600
1766425595306,6768174,0.00,22937600
1766425595408,6768174,0.00,22937600
1766425595519,6768174,0.00,22937600
1766425595626,6768174,0.00,22937600
1766425595733,6768174,0.00,22937600
1766425595834,6768174,0.00,22937600
1766425595935,6864502,11.92,23261184
