timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769357031461,42259,10.50,839680
1769357031512,91915,12.33,417792
1769357031562,144802,13.15,806912
1769357031612,195318,12.57,1294336
1769357031662,246118,12.63,860160
1769357031713,298251,12.96,995328
1769357031763,349089,12.64,1126400
1769357031813,401637,13.07,1515520
1769357031864,406375,1.16,1355776
1769357031915,406375,0.00,1355776
1769357031966,406375,0.00,1355776
1769357032016,406375,0.00,1101824
1769357032067,447260,10.12,1884160
1769357032117,498468,12.71,1703936
1769357032168,551875,13.23,1732608
1769357032218,603597,12.83,1794048
1769357032269,654985,12.68,2371584
1769357032320,690935,8.81,1966080
