timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769357363917,46719,11.25,208896
1769357363967,96707,12.33,208896
1769357364018,147695,12.58,208896
1769357364069,198698,12.55,208896
1769357364120,250678,12.77,45056
1769357364170,300512,12.28,45056
1769357364221,351500,12.55,45056
1769357364272,402445,12.53,45056
1769357364322,452714,12.50,106496
1769357364373,504627,12.92,294912
1769357364423,554655,12.41,290816
1769357364474,605626,12.57,290816
1769357364524,655673,12.44,290816
1769357364574,706858,12.70,274432
1769357364625,757537,12.54,122880
1769357364675,807464,12.36,122880
1769357364726,858406,12.53,122880
1769357364777,910826,12.97,602112
1769357364827,960862,12.41,602112
1769357364877,1010854,12.41,364544
1769357364928,1061848,12.63,364544
1769357364978,1111958,12.43,430080
1769357365029,1162921,12.63,315392
1769357365079,1213922,12.66,315392
1769357365130,1264900,12.45,315392
1769357365181,1314915,12.43,438272
1769357365231,1367280,12.91,647168
1769357365282,1418276,12.55,647168
1769357365332,1468276,12.40,647168
1769357365383,1519276,12.60,647168
1769357365434,1570548,12.71,589824
1769357365485,1622537,12.67,589824
1769357365535,1672521,12.36,589824
1769357365586,1723513,12.50,589824
1769357365637,1776161,13.06,933888
1769357365687,1826197,12.40,933888
1769357365738,1877191,12.57,933888
1769357365789,1928191,12.45,933888
1769357365840,1980393,12.88,880640
1769357365891,2031391,12.48,880640
1769357365941,2081404,12.37,880640
1769357365992,2132402,12.65,880640
1769357366042,2181722,12.24,425984
1769357366092,2231708,12.40,425984
1769357366143,2282682,12.65,425984
1769357366194,2332682,12.32,425984
1769357366244,2384992,13.02,413696
1769357366295,2435947,12.41,413696
1769357366346,2486945,12.56,413696
1769357366396,2536664,12.34,266240
1769357366447,2588098,12.76,782336
1769357366498,2639290,12.55,540672
1769357366548,2690288,12.63,540672
1769357366599,2741290,12.51,540672
1769357366649,2791333,12.40,303104
1769357366700,2843517,12.82,446464
1769357366751,2894498,12.61,446464
1769357366801,2944450,12.33,446464
1769357366852,2995438,12.58,446464
1769357366903,3048054,12.83,802816
1769357366954,3099061,12.65,798720
1769357367004,3149051,12.41,798720
1769357367055,3199048,12.41,798720
1769357367105,3251248,12.97,749568
1769357367155,3301229,12.45,749568
1769357367205,3351235,12.44,749568
1769357367256,3402213,12.67,749568
1769357367306,3449970,11.87,1118208
1769357367356,3501155,12.71,1081344
1769357367407,3551165,12.43,1081344
1769357367457,3602153,12.66,1081344
1769357367507,3652152,12.43,1081344
1769357367557,3703056,12.66,909312
1769357367608,3753044,12.45,909312
1769357367658,3803957,12.66,909312
1769357367708,3853946,12.42,909312
1769357367759,3906808,13.10,1167360
1769357367809,3956800,12.40,1167360
1769357367859,4006799,12.42,1167360
1769357367910,4057770,12.67,1167360
1769357367960,4109220,12.79,614400
1769357368010,4159191,12.43,614400
1769357368060,4209175,12.42,614400
1769357368111,4260144,12.68,614400
1769357368161,4311833,12.86,937984
1769357368211,4361897,12.44,937984
1769357368261,4411825,12.41,937984
1769357368312,4462824,12.68,937984
1769357368362,4514022,12.76,888832
1769357368412,4564021,12.43,888832
1769357368463,4615023,12.65,659456
1769357368513,4665034,12.41,659456
1769357368563,4715057,12.42,1306624
1769357368614,4766230,12.73,1003520
1769357368664,4817230,12.67,1003520
1769357368714,4867229,12.43,1003520
1769357368764,4917279,12.45,1003520
1769357368815,4969193,12.90,966656
1769357368865,5019208,12.44,966656
1769357368915,5069209,12.44,966656
1769357368965,5119190,12.42,966656
1769357369016,5171895,13.13,856064
1769357369066,5221896,12.43,856064
1769357369116,5271889,12.42,856064
1769357369167,5322849,12.66,856064
1769357369217,5374176,12.79,827392
1769357369267,5424175,12.43,827392
1769357369317,5474178,12.44,827392
1769357369368,5525148,12.67,827392
1769357369418,5576005,12.65,1167360
1769357369468,5625985,12.42,1167360
1769357369519,5675986,12.41,929792
1769357369569,5726959,12.68,929792
1769357369619,5778123,12.72,880640
1769357369669,5828123,12.44,880640
1769357369720,5878124,12.43,880640
1769357369770,5929132,12.69,880640
1769357369820,5978269,12.23,741376
1769357369871,6030531,12.91,970752
1769357369921,6080539,12.37,970752
1769357369972,6130541,12.40,970752
1769357370022,6181598,12.68,970752
1769357370072,6232912,12.77,1011712
1769357370123,6282905,12.39,1011712
1769357370173,6333882,12.65,1011712
1769357370223,6383882,12.43,1011712
1769357370273,6435363,12.80,1347584
1769357370324,6486357,12.67,1347584
1769357370374,6536352,12.42,1347584
1769357370424,6586352,12.43,1347584
1769357370475,6637513,12.73,1294336
1769357370525,6688500,12.70,1060864
1769357370575,6738510,12.42,1060864
1769357370625,6788515,12.42,1060864
1769357370676,6839138,12.59,1236992
1769357370726,6890427,12.77,1069056
1769357370776,6940417,12.42,1069056
1769357370827,6990418,12.43,1069056
1769357370877,7041417,12.68,1069056
1769357370927,7092814,12.79,1118208
1769357370977,7142792,12.43,1118208
1769357371028,7193768,12.67,1118208
1769357371078,7243753,12.43,1118208
1769357371128,7294232,12.56,1298432
1769357371178,7345235,12.70,1163264
1769357371229,7396213,12.66,1159168
1769357371279,7446235,12.46,1159168
1769357371329,7496271,12.44,1159168
1769357371379,7547548,12.76,1232896
1769357371430,7598515,12.67,1232896
1769357371480,7648535,12.44,1232896
1769357371530,7698472,12.43,1060864
1769357371580,7751022,13.07,1462272
1769357371631,7801991,12.68,1462272
1769357371681,7852023,12.47,1462272
1769357371731,7902022,12.44,1462272
1769357371781,7953489,12.82,1527808
1769357371832,8003279,12.38,1527808
1769357371882,8054277,12.67,1527808
1769357371932,8104206,12.41,1273856
1769357371983,8154907,12.58,942080
1769357372033,8206851,12.79,1101824
1769357372084,8257910,12.67,1363968
1769357372134,8307914,12.37,1363968
1769357372186,8359881,12.64,1138688
1769357372236,8410566,12.59,1200128
1769357372286,8460581,12.38,1200128
1769357372337,8511577,12.60,1200128
1769357372388,8562096,12.45,1765376
1769357372439,8614990,12.97,1818624
1769357372490,8664991,12.30,1814528
1769357372540,8716006,12.63,1597440
1769357372591,8766071,12.34,1597440
1769357372641,8818097,12.92,1495040
1769357372692,8869125,12.51,1495040
1769357372743,8920006,12.50,1495040
1769357372793,8969960,12.45,1495040
1769357372843,9021535,12.81,1921024
1769357372894,9072526,12.47,1921024
1769357372945,9123485,12.68,1662976
1769357372995,9173523,12.40,1662976
1769357373046,9224700,12.66,1564672
1769357373096,9275659,12.66,1564672
1769357373146,9325561,12.41,1564672
1769357373197,9376532,12.47,1564672
1769357373248,9392245,3.90,1363968
1769357373298,9392245,0.00,1363968
1769357373349,9392245,0.00,1363968
1769357373399,9392245,0.00,1363968
1769357373450,9424793,8.09,1495040
1769357373501,9476789,12.69,1495040
1769357373551,9526793,12.39,1495040
1769357373602,9577808,12.64,1495040
1769357373652,9627842,12.45,1400832
1769357373703,9678818,12.37,1400832
1769357373754,9729841,12.62,1400832
1769357373805,9780900,12.47,1400832
1769357373856,9831848,12.61,1400832
1769357373906,9883521,12.87,1617920
1769357373957,9934554,12.57,1617920
1769357374007,9984521,12.36,1617920
1769357374058,10034520,12.34,1617920
1769357374109,10086666,12.83,1662976
1769357374159,10137660,12.56,1662976
1769357374210,10188667,12.58,1662976
1769357374261,10238668,12.33,1662976
1769357374312,10290132,12.65,1597440
1769357374362,10342444,12.98,1720320
1769357374413,10393443,12.49,1720320
1769357374464,10443440,12.30,1720320
1769357374515,10495398,12.74,1720320
1769357374565,10546470,12.68,1765376
1769357374615,10596468,12.43,1765376
1769357374666,10647470,12.67,1761280
1769357374716,10697666,12.43,1908736
1769357374767,10750166,12.98,1888256
1769357374817,10799997,12.35,1687552
1769357374868,10850878,12.48,1687552
1769357374919,10901712,12.60,1687552
1769357374969,10952942,12.64,1847296
1769357375020,11004118,12.66,1847296
1769357375070,11053933,12.31,1847296
1769357375121,11104924,12.65,1847296
1769357375171,11156478,12.79,2187264
1769357375222,11207461,12.62,2187264
1769357375272,11257483,12.39,2187264
1769357375323,11307493,12.40,2187264
1769357375373,11359787,12.96,2138112
1769357375423,11409787,12.41,2138112
1769357375475,11460790,12.45,2138112
1769357375525,11511779,12.63,2138112
1769357375576,11563227,12.67,2527232
1769357375626,11614425,12.68,1970176
1769357375678,11665424,12.42,1970176
1769357375728,11716424,12.59,1970176
1769357375779,11766500,12.42,2031616
1769357375829,11818566,12.85,1933312
1769357375880,11869571,12.58,1933312
1769357375931,11919556,12.30,1933312
1769357375981,11970278,12.58,2297856
1769357376032,12022361,12.83,2269184
1769357376084,12074362,12.57,2269184
1769357376134,12124357,12.30,2269184
1769357376185,12175399,12.63,2269184
1769357376235,12226667,12.75,2220032
1769357376287,12278636,12.60,2220032
1769357376337,12328615,12.33,2220032
1769357376388,12379573,12.51,2220032
1769357376439,12432756,13.14,2326528
1769357376490,12483191,12.39,2150400
1769357376541,12533682,12.42,2150400
1769357376591,12583172,12.22,2150400
1769357376642,12634128,12.66,2314240
1769357376692,12685107,12.67,2314240
1769357376743,12735115,12.29,2031616
1769357376794,12786118,12.56,2031616
1769357376844,12837350,12.75,2170880
1769357376894,12888691,12.65,2281472
1769357376945,12939685,12.67,2019328
1769357376996,12989675,12.30,2019328
1769357377046,13040676,12.57,2019328
1769357377096,13092256,12.85,1900544
1769357377147,13143047,12.64,1900544
1769357377198,13194030,12.50,1900544
1769357377248,13243961,12.42,1900544
1769357377298,13294790,12.65,2129920
1769357377348,13344792,12.44,2129920
1769357377399,13395790,12.68,2129920
1769357377449,13445792,12.37,2129920
1769357377500,13496780,12.66,2183168
1769357377550,13547744,12.65,2035712
1769357377600,13597835,12.46,2035712
1769357377651,13648622,12.50,2035712
1769357377701,13700137,12.79,2478080
1769357377752,13751138,12.54,2478080
1769357377803,13801136,12.40,2478080
1769357377853,13852138,12.62,2478080
1769357377903,13903352,12.74,2371584
1769357377957,13957272,12.44,2068480
1769357378008,14008272,12.62,2068480
1769357378059,14059272,12.46,2068480
1769357378110,14108975,12.34,2469888
1769357378160,14162043,13.03,2408448
1769357378211,14213044,12.57,2408448
1769357378262,14264044,12.46,2408448
1769357378313,14315456,12.77,2457600
1769357378363,14366427,12.65,2457600
1769357378414,14417442,12.55,2457600
1769357378465,14468407,12.51,2457600
1769357378515,14517415,12.14,2514944
1769357378566,14569827,12.83,2613248
1769357378618,14620826,12.42,2613248
1769357378669,14672811,12.63,2613248
1769357378719,14722825,12.40,2613248
1769357378770,14774989,12.92,2658304
1769357378821,14825985,12.44,2658304
1769357378872,14876986,12.55,2658304
1769357378923,14927988,12.46,2658304
1769357378974,14979647,12.75,3010560
1769357379024,15030625,12.56,3010560
1769357379075,15081623,12.62,2797568
1769357379125,15131623,12.37,2797568
1769357379176,15183967,12.95,2740224
1769357379227,15233966,12.30,2740224
1769357379277,15284964,12.67,2740224
1769357379328,15334965,12.35,2740224
1769357379378,15387885,13.10,2826240
1769357379429,15438881,12.53,2826240
1769357379480,15489847,12.60,2826240
1769357379530,15539880,12.40,2822144
1769357379581,15592080,12.85,2777088
1769357379632,15643002,12.53,2777088
1769357379682,15692942,12.31,2777088
1769357379733,15743865,12.67,2625536
1769357379783,15781004,9.22,2912256
