timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769357821420,21323,5.19,356352
1769357821470,72612,12.76,299008
1769357821521,123612,12.67,299008
1769357821571,173610,12.45,299008
1769357821621,223780,12.47,106496
1769357821671,274787,12.70,253952
1769357821722,325783,12.66,253952
1769357821772,375787,12.43,253952
1769357821823,425786,12.39,253952
1769357821873,478136,12.98,589824
1769357821923,528169,12.46,589824
1769357821973,578211,12.43,323584
1769357822024,629164,12.65,323584
1769357822074,680314,12.71,274432
1769357822124,730346,12.43,274432
1769357822175,781283,12.65,274432
1769357822225,831316,12.42,274432
1769357822275,882902,12.84,339968
1769357822326,933863,12.65,339968
1769357822376,983920,12.46,339968
1769357822426,1033901,12.43,339968
1769357822477,1085215,12.73,286720
1769357822527,1136215,12.67,286720
1769357822577,1186216,12.43,286720
1769357822628,1236215,12.42,286720
1769357822678,1285306,12.18,462848
1769357822728,1336491,12.70,397312
1769357822779,1387456,12.65,397312
1769357822829,1437491,12.41,397312
1769357822879,1487460,12.40,397312
1769357822930,1539252,12.88,364544
1769357822980,1589249,12.45,364544
1769357823030,1639251,12.43,364544
1769357823081,1689236,12.41,364544
1769357823131,1741618,13.02,413696
1769357823181,1791627,12.44,401408
1769357823231,1841618,12.41,401408
1769357823282,1892635,12.68,401408
1769357823332,1943845,12.73,376832
1769357823382,1993849,12.42,376832
1769357823433,2044849,12.67,376832
1769357823483,2094850,12.40,376832
1769357823534,2145234,12.51,753664
1769357823584,2197477,12.93,696320
1769357823634,2247478,12.39,696320
1769357823685,2298442,12.67,696320
1769357823735,2348621,12.46,761856
1769357823785,2399788,12.71,643072
1769357823836,2450775,12.66,643072
1769357823886,2500772,12.43,643072
1769357823936,2550698,12.36,778240
1769357823987,2600855,12.45,753664
1769357824037,2650837,12.41,753664
1769357824088,2700841,12.41,753664
1769357824138,2751829,12.67,753664
1769357824188,2803088,12.73,598016
1769357824239,2853067,12.41,598016
1769357824289,2904074,12.66,598016
1769357824339,2954083,12.43,598016
1769357824389,3004429,12.52,593920
1769357824440,3056671,12.98,544768
1769357824490,3106684,12.43,544768
1769357824540,3156689,12.39,544768
1769357824591,3207729,12.64,544768
1769357824641,3258901,12.68,507904
1769357824692,3309891,12.67,507904
1769357824742,3359901,12.35,507904
1769357824793,3410901,12.66,507904
1769357824843,3462138,12.73,540672
1769357824893,3512137,12.41,540672
1769357824944,3563142,12.66,540672
1769357824994,3613132,12.44,540672
1769357825044,3664558,12.78,499712
1769357825095,3715506,12.63,499712
1769357825145,3765531,12.42,499712
1769357825195,3815535,12.44,499712
1769357825246,3868921,13.25,552960
1769357825296,3918946,12.43,552960
1769357825346,3969035,12.47,548864
1769357825397,4019007,12.41,548864
1769357825449,4073534,13.03,356352
1769357825499,4123518,12.41,356352
1769357825549,4173518,12.42,356352
1769357825600,4224519,12.67,356352
1769357825650,4274069,12.32,618496
1769357825700,4325353,12.74,569344
1769357825751,4376328,12.68,569344
1769357825801,4426353,12.44,569344
1769357825851,4476402,12.44,569344
1769357825902,4528619,12.96,524288
1769357825952,4578645,12.43,524288
1769357826002,4628617,12.39,524288
1769357826053,4679644,12.66,524288
1769357826103,4731297,12.84,643072
1769357826153,4781262,12.41,643072
1769357826204,4832251,12.66,630784
1769357826254,4882275,12.43,630784
1769357826304,4933341,12.71,585728
1769357826354,4983341,12.43,585728
1769357826405,5034340,12.69,585728
1769357826455,5084340,12.44,585728
1769357826505,5134847,12.55,708608
1769357826556,5186017,12.71,446464
1769357826606,5236996,12.68,446464
1769357826656,5286996,12.43,446464
1769357826706,5338491,12.81,618496
1769357826757,5389482,12.67,618496
1769357826807,5439507,12.38,618496
1769357826858,5490514,12.61,618496
1769357826908,5539804,12.22,716800
1769357826959,5592058,12.93,663552
1769357827009,5642080,12.44,663552
1769357827059,5692082,12.42,663552
1769357827110,5742484,12.53,663552
1769357827160,5795061,13.08,643072
1769357827210,5845072,12.44,643072
1769357827260,5895034,12.42,643072
1769357827311,5946042,12.68,643072
1769357827361,5998515,13.03,692224
1769357827411,6048504,12.43,692224
1769357827462,6099496,12.65,671744
1769357827512,6149512,12.37,671744
1769357827562,6199570,12.44,671744
1769357827613,6252664,13.20,643072
1769357827663,6302666,12.43,643072
1769357827713,6352699,12.43,643072
1769357827764,6403646,12.65,643072
1769357827814,6454332,12.60,1007616
1769357827864,6505617,12.75,937984
1769357827914,6555617,12.42,937984
1769357827965,6606617,12.67,937984
1769357828015,6658327,12.84,917504
1769357828065,6708302,12.42,917504
1769357828116,6759300,12.63,917504
1769357828166,6809324,12.42,491520
1769357828217,6860583,12.70,1019904
1769357828267,6912353,12.86,704512
1769357828317,6962354,12.43,704512
1769357828368,7013311,12.66,704512
1769357828418,7063397,12.46,704512
1769357828468,7115267,12.89,667648
1769357828518,7165269,12.42,667648
1769357828569,7216269,12.67,667648
1769357828619,7266269,12.43,667648
1769357828669,7313185,11.66,532480
1769357828720,7313185,0.00,532480
1769357828770,7313185,0.00,532480
1769357828820,7313185,0.00,532480
1769357828871,7313185,0.00,532480
1769357828921,7360691,11.78,548864
1769357828988,7425686,12.20,548864
1769357829038,7475970,12.50,548864
1769357829088,7525926,12.39,548864
1769357829139,7578124,12.96,724992
1769357829189,7628098,12.38,720896
1769357829239,7678094,12.45,720896
1769357829290,7729094,12.60,720896
1769357829340,7780194,12.68,1019904
1769357829391,7831196,12.64,1015808
1769357829441,7881197,12.41,1015808
1769357829492,7932192,12.61,1015808
1769357829543,7981979,12.26,823296
1769357829593,8032964,12.64,561152
1769357829643,8082736,12.34,561152
1769357829694,8133740,12.65,561152
1769357829744,8184200,12.56,839680
1769357829795,8235460,12.62,782336
1769357829846,8287426,12.75,782336
1769357829897,8338426,12.50,782336
1769357829947,8388502,12.42,782336
1769357829997,8439689,12.70,729088
1769357830048,8490705,12.61,729088
1769357830099,8540706,12.38,729088
1769357830149,8591701,12.60,729088
1769357830200,8643469,12.80,782336
1769357830251,8693470,12.26,782336
1769357830301,8744470,12.62,782336
1769357830352,8794471,12.39,782336
1769357830405,8849740,13.00,659456
1769357830456,8901294,12.49,659456
1769357830507,8950751,12.26,659456
1769357830557,9001717,12.62,659456
1769357830607,9053674,12.91,1073152
1769357830659,9104659,12.49,1073152
1769357830709,9155687,12.71,1073152
1769357830759,9205671,12.41,1073152
1769357830810,9256789,12.61,905216
1769357830861,9307788,12.52,905216
1769357830911,9358933,12.60,905216
1769357830962,9409574,12.52,905216
1769357831012,9460182,12.55,1204224
1769357831063,9512292,12.82,1142784
1769357831114,9562292,12.40,1142784
1769357831164,9613292,12.64,1138688
