timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769352754890,43745,10.62,1081344
1769352754941,95196,12.76,970752
1769352754991,145170,12.36,548864
1769352755042,197643,12.96,430080
1769352755093,248530,12.59,1368064
1769352755143,300892,12.97,737280
1769352755193,352320,12.74,1134592
1769352755244,387489,8.74,978944
1769352755295,387489,0.00,974848
1769352755346,387858,0.09,999424
1769352755396,387858,0.00,987136
1769352755447,400931,3.24,1224704
1769352755497,451897,12.60,1576960
1769352755548,504553,13.10,1683456
1769352755598,554960,12.53,2228224
1769352755649,605892,12.52,1900544
1769352755699,648827,10.66,1961984
