timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769352912744,34317,8.52,356352
1769352912795,81652,11.70,438272
1769352912846,134278,12.87,647168
1769352912896,185395,12.64,606208
1769352912947,237581,12.97,1073152
1769352912997,289186,12.78,1409024
1769352913047,340715,12.78,1826816
1769352913098,356964,4.01,1097728
1769352913149,356964,0.00,1089536
1769352913199,356964,0.00,1089536
1769352913250,356964,0.00,1089536
1769352913301,392676,8.73,1658880
1769352913351,443391,12.61,1294336
1769352913401,494330,12.67,2203648
1769352913452,545198,12.53,2121728
1769352913503,599111,13.37,2576384
