timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769355343415,16022,3.92,524288
1769355343467,71388,13.43,290816
1769355343518,126659,13.56,827392
1769355343569,177205,12.31,802816
1769355343620,233071,13.65,499712
1769355343672,288512,13.37,512000
1769355343723,340328,12.80,294912
1769355343774,394657,13.27,602112
1769355343826,448704,13.04,348160
1769355343876,502864,13.36,638976
1769355343927,555426,13.01,401408
1769355343978,610599,13.47,651264
1769355344029,664140,13.11,385024
1769355344080,716926,12.87,503808
1769355344132,772217,13.44,507904
1769355344183,827992,13.53,430080
1769355344234,852637,6.02,258048
1769355344286,852637,0.00,258048
1769355344336,852637,0.00,258048
1769355344387,852637,0.00,258048
1769355344438,879952,6.71,524288
1769355344488,935322,13.72,716800
1769355344539,989590,13.37,753664
1769355344589,1043908,13.52,577536
1769355344640,1097775,13.35,368640
1769355344690,1150543,13.11,1126400
1769355344740,1202964,13.03,1196032
1769355344791,1255956,13.08,1196032
1769355344842,1309552,13.26,1212416
1769355344892,1363760,13.40,1232896
1769355344942,1405359,10.32,1499136
