timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769352403803,43414,10.66,835584
1769352403853,91827,12.04,507904
1769352403904,140254,11.94,671744
1769352403955,191703,12.53,753664
1769352404006,242685,12.56,868352
1769352404056,292011,12.24,1003520
1769352404107,342575,12.55,1159168
1769352404157,353209,2.62,1265664
1769352404208,353209,0.00,1265664
1769352404258,353209,0.00,1265664
1769352404308,353209,0.00,1265664
1769352404359,388319,8.72,2068480
1769352404409,438050,12.31,1843200
1769352404460,489685,12.78,2023424
1769352404510,538039,11.95,2019328
1769352404561,589958,12.78,2056192
1769352404612,594838,1.20,2088960
