timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769354213527,22640,5.60,20480
1769354213578,73620,12.65,618496
1769354213628,122668,12.20,712704
1769354213678,170651,11.87,618496
1769354213729,221995,12.65,765952
1769354213780,271683,12.32,589824
1769354213830,321934,12.42,1200128
1769354213881,372628,12.56,1650688
1769354213931,422509,12.39,1179648
1769354213981,423361,0.21,958464
1769354214032,423361,0.00,958464
1769354214082,423361,0.00,958464
1769354214133,423361,0.00,946176
1769354214183,469170,11.28,1527808
1769354214234,519794,12.57,1609728
1769354214284,570780,12.55,1953792
1769354214335,621126,12.53,1933312
1769354214385,670169,12.10,1740800
1769354214436,721806,12.80,1806336
1769354214487,733880,2.97,1601536
