timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769351490968,24075,5.97,573440
1769351491019,72895,12.08,430080
1769351491069,121846,12.15,557056
1769351491119,170401,12.08,733184
1769351491170,221104,12.53,565248
1769351491220,270353,12.22,757760
1769351491271,321962,12.77,966656
1769351491321,352084,7.43,1064960
1769351491373,352084,0.00,1064960
1769351491424,352084,0.00,1064960
1769351491474,352084,0.00,1052672
1769351491525,370114,4.44,1544192
1769351491575,420715,12.55,1220608
1769351491626,472660,12.87,2183168
1769351491677,519246,11.43,2801664
1769351491727,569254,12.29,2981888
1769351491778,603859,8.55,2805760
