timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769361011034,16347,4.03,266240
1769361011084,68278,12.84,90112
1769361011134,122858,13.57,1474560
1769361011185,178818,13.90,1355776
1769361011236,232471,13.19,3002368
1769361011286,286013,13.26,3444736
1769361011336,338646,13.08,3629056
1769361011387,396867,14.41,6656000
1769361011437,450973,13.42,6602752
1769361011488,505694,13.59,7143424
1769361011538,559181,13.27,7516160
1769361011588,612811,13.33,7204864
1769361011639,663805,12.65,7208960
1769361011689,713808,12.44,7208960
1769361011739,763802,12.43,7208960
1769361011790,838124,18.48,7593984
1769361011840,891939,13.34,7909376
1769361011890,948946,14.17,8265728
1769361011941,1006339,14.24,8036352
1769361011991,1058459,12.87,8290304
1769361012042,1108449,12.41,8347648
1769361012092,1159414,12.68,8413184
1769361012142,1253998,23.47,9089024
1769361012193,1345393,22.68,9052160
1769361012243,1401692,13.95,9166848
1769361012293,1488857,21.59,10457088
1769361012344,1559241,17.45,10039296
1769361012395,1610281,12.57,10129408
1769361012445,1665114,13.63,10203136
1769361012495,1761241,23.91,11599872
1769361012546,1843205,20.36,11862016
1769361012596,1938138,23.57,13217792
1769361012647,2072965,33.28,13553664
1769361012697,2196596,30.68,13688832
1769361012747,2296868,24.88,14045184
1769361012798,2354143,14.21,14467072
1769361012848,2404185,12.42,14622720
1769361012899,2460423,13.93,14602240
1769361012949,2526714,16.41,15560704
1769361013000,2631259,25.87,15523840
1769361013051,2714805,20.49,15892480
1769361013101,2823439,26.90,15585280
1769361013154,2918252,22.45,16232448
1769361013204,2968191,12.39,16289792
1769361013255,3022682,13.47,16105472
1769361013305,3076593,13.36,16281600
1769361013356,3144885,16.85,16605184
1769361013406,3220850,18.71,16740352
1769361013457,3314825,23.28,17268736
1769361013508,3420160,25.96,17301504
1769361013558,3527286,26.47,18546688
1769361013609,3670962,35.44,19726336
1769361013660,3806737,33.39,20000768
1769361013710,3874368,16.82,19791872
1769361013761,3928073,13.08,19750912
1769361013812,3981552,13.17,20000768
1769361013864,4040864,14.36,20054016
1769361013915,4091972,12.51,20078592
1769361013966,4152524,14.84,20410368
1769361014017,4228964,18.75,21671936
1769361014067,4280842,12.79,21815296
1769361014119,4336670,13.56,21909504
1769361014170,4389478,12.89,21852160
1769361014221,4446080,13.82,21729280
1769361014272,4497072,12.57,21737472
1769361014323,4548070,12.49,21757952
1769361014373,4611672,15.77,22413312
1769361014424,4682420,17.52,22544384
1769361014474,4739055,14.04,22532096
1769361014525,4803737,16.08,22396928
1769361014576,4854442,12.25,22175744
1769361014627,4905376,12.48,22437888
1769361014678,4957420,12.94,22622208
1769361014729,5021494,15.66,23416832
1769361014780,5079128,14.13,23437312
1769361014831,5129905,12.51,23228416
1769361014881,5181537,12.67,23195648
1769361014933,5232905,12.58,23199744
1769361014983,5244056,2.77,23203840
1769361015033,5266489,5.54,23203840
1769361015084,5320308,13.25,23228416
1769361015135,5375766,13.67,23240704
1769361015186,5427720,12.77,23363584
1769361015236,5480231,13.05,22855680
1769361015286,5534445,13.48,23040000
1769361015337,5587888,13.28,23093248
1769361015387,5637959,12.45,23171072
1769361015437,5691044,13.20,23465984
1769361015487,5732649,10.36,23789568
