timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769360632988,53461,13.22,929792
1769360633039,107144,13.14,1589248
1769360633090,168892,15.11,4677632
1769360633141,223614,13.46,5578752
1769360633192,278160,13.40,6856704
1769360633243,332796,13.42,6393856
1769360633294,383687,12.49,6393856
1769360633345,434660,12.55,6574080
1769360633396,505262,17.18,8052736
1769360633447,559445,13.39,8081408
1769360633498,617777,14.30,9555968
1769360633548,687616,17.38,8732672
1769360633598,737611,12.37,8732672
1769360633649,788571,12.64,8769536
1769360633700,839577,12.49,8540160
1769360633750,907953,16.95,9744384
1769360633801,972041,15.90,9240576
1769360633851,1056473,21.00,10162176
1769360633902,1108044,12.73,10072064
1769360633952,1158008,12.38,10297344
1769360634003,1218616,14.95,11882496
1769360634053,1319611,25.08,12091392
1769360634104,1407548,21.78,12148736
1769360634154,1483097,18.74,12394496
1769360634204,1545506,15.47,13713408
1769360634255,1655699,27.13,13832192
1769360634306,1705909,12.45,13582336
1769360634356,1757324,12.75,13586432
1769360634406,1807002,12.33,13586432
1769360634457,1884480,19.16,13631488
1769360634507,1934480,12.41,13635584
1769360634558,2041675,26.58,15339520
1769360634608,2131152,22.17,15093760
1769360634659,2182138,12.59,14934016
1769360634709,2234464,12.96,15237120
1769360634760,2286801,12.82,15024128
1769360634811,2370433,20.75,16658432
1769360634861,2425402,13.55,16551936
1769360634912,2508337,20.55,17498112
1769360634963,2606286,24.09,17424384
1769360635013,2669661,15.72,18259968
1769360635064,2727069,14.10,18640896
1769360635114,2796463,17.21,17612800
1769360635165,2851444,13.53,18100224
1769360635216,2903445,12.78,18141184
1769360635266,2958695,13.70,19206144
1769360635320,3012508,12.57,18980864
1769360635370,3065658,13.21,19570688
1769360635421,3131544,16.30,20631552
1769360635472,3235201,25.09,20709376
1769360635523,3314744,19.48,20549632
1769360635574,3365722,12.64,20750336
1769360635625,3420276,13.37,21909504
1769360635675,3523619,25.72,22896640
1769360635726,3596879,17.92,23220224
1769360635777,3671917,18.42,23744512
1769360635827,3733663,15.34,23769088
1769360635878,3813985,19.61,24113152
1769360635929,3867418,13.29,23879680
1769360635980,3919899,12.81,23916544
1769360636030,3921824,0.48,24137728
1769360636081,3921824,0.00,23875584
1769360636132,3932744,2.71,24150016
1769360636182,3982829,12.45,23388160
1769360636232,4036166,13.22,23703552
1769360636284,4088116,12.71,23711744
1769360636334,4140057,12.89,23789568
1769360636384,4172011,7.93,23949312
1769360636435,4172011,0.00,23949312
1769360636486,4191997,4.87,23949312
1769360636536,4243794,12.82,23977984
1769360636588,4294800,12.46,23977984
1769360636638,4349815,13.61,24203264
1769360636689,4400815,12.48,24223744
1769360636740,4454982,13.39,24678400
1769360636791,4506871,12.76,24465408
1769360636841,4557428,12.49,24899584
1769360636893,4608409,12.41,24928256
1769360636943,4659265,12.63,25243648
1769360636994,4711834,12.82,25862144
1769360637045,4764328,12.92,25460736
1769360637096,4816223,12.63,25980928
1769360637147,4868992,12.96,25989120
1769360637198,4869971,0.24,25706496
1769360637248,4874872,1.21,25698304
1769360637299,4927449,13.00,25722880
1769360637350,4978741,12.59,25739264
1769360637401,5031981,13.02,25763840
1769360637451,5082956,12.68,25518080
1769360637501,5135209,12.96,26202112
1769360637552,5188035,13.15,25755648
1769360637602,5222527,8.49,25915392
