timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769362506852,23576,5.83,266240
1769362506903,82140,14.26,471040
1769362506954,136691,13.37,1716224
1769362507005,191914,13.58,3682304
1769362507056,245657,13.10,3649536
1769362507107,301594,13.65,4411392
1769362507159,362822,14.97,7168000
1769362507209,417261,13.41,6946816
1769362507260,471456,13.29,7065600
1769362507311,527712,13.72,8093696
1769362507362,580452,12.99,7790592
1769362507413,634090,13.12,7393280
1769362507465,685033,12.45,7655424
1769362507515,736033,12.70,7655424
1769362507565,786034,12.31,7712768
1769362507616,866591,19.94,8568832
1769362507667,925335,14.57,8855552
1769362507717,1006258,20.05,9080832
1769362507768,1086344,19.67,9306112
1769362507818,1145624,14.70,10223616
1769362507869,1198837,13.15,9875456
1769362507919,1270770,17.83,10567680
1769362507969,1345141,18.47,10432512
1769362508020,1396271,12.73,11538432
1769362508070,1449559,13.22,11612160
1769362508120,1501470,12.91,12484608
1769362508171,1554914,13.23,12386304
1769362508221,1604916,12.40,12566528
1769362508272,1665284,14.95,13901824
1769362508322,1724242,14.64,13574144
1769362508373,1777265,13.11,13426688
1769362508424,1832249,13.50,13438976
1769362508474,1884483,12.90,13484032
1769362508525,1935362,12.57,13803520
1769362508575,1985223,12.33,13910016
1769362508626,2036128,12.58,14123008
1769362508676,2086098,12.37,14397440
1769362508727,2136045,12.39,14774272
1769362508777,2189969,13.39,15036416
1769362508828,2273972,20.82,15077376
1769362508878,2378587,25.78,15253504
1769362508929,2487899,27.08,16175104
1769362508979,2544237,13.93,16969728
1769362509030,2649091,26.02,17797120
1769362509080,2737928,22.06,18198528
1769362509131,2845470,26.55,18575360
1769362509181,2949531,25.83,18554880
1769362509231,3025442,18.83,19230720
1769362509282,3079651,13.45,19939328
1769362509332,3165443,21.25,20586496
1769362509383,3248385,20.54,20451328
1769362509433,3331111,20.39,20500480
1769362509484,3424102,22.83,20508672
1769362509535,3510057,21.12,20639744
1769362509586,3619046,26.88,21643264
1769362509636,3688764,17.20,21426176
1769362509687,3793705,25.99,21184512
1769362509738,3866308,17.86,21508096
1769362509788,3970798,25.79,21839872
1769362509839,4072115,25.09,21393408
1769362509890,4174349,25.23,21471232
1769362509940,4278598,25.84,22040576
1769362509991,4408414,32.13,22007808
1769362510041,4467951,14.71,22298624
1769362510092,4522770,13.55,22765568
1769362510142,4575051,12.91,22294528
1769362510193,4636969,15.35,22540288
1769362510243,4731442,23.39,22310912
1769362510294,4786889,13.66,22298624
1769362510345,4837890,12.58,22298624
1769362510395,4890556,13.06,22298624
1769362510445,4959106,17.02,22073344
1769362510496,5022258,15.63,22081536
1769362510546,5107076,21.08,23089152
1769362510600,5216892,25.43,23109632
1769362510651,5271706,13.58,23654400
1769362510701,5323245,12.75,23470080
1769362510752,5375746,12.84,23056384
1769362510803,5460393,20.83,23068672
1769362510854,5513244,13.04,23351296
1769362510904,5570284,14.19,23134208
1769362510955,5621561,12.58,23134208
1769362511005,5672421,12.62,23441408
1769362511056,5722814,12.46,23191552
1769362511106,5773884,12.66,23408640
1769362511157,5867320,23.15,23187456
1769362511207,5952578,21.09,23543808
1769362511258,6004534,12.82,23605248
1769362511308,6062840,14.47,23134208
1769362511359,6120336,14.27,23547904
1769362511409,6172301,12.93,23556096
1769362511460,6224479,12.76,23535616
1769362511511,6276625,12.78,23810048
1769362511562,6327214,12.32,23621632
1769362511613,6377981,12.55,23764992
1769362511664,6427384,12.03,23506944
1769362511715,6478772,12.71,23572480
1769362511766,6530388,12.66,23871488
1769362511817,6532187,0.44,24100864
