timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770375221323,45851,11.34,655360
1770375221373,102572,14.01,2351104
1770375221424,154946,12.91,2732032
1770375221475,210394,13.71,4210688
1770375221525,277596,16.67,6373376
1770375221575,331911,13.50,6512640
1770375221626,392883,15.14,6787072
1770375221676,449987,14.16,6631424
1770375221727,506310,13.96,7188480
1770375221777,576821,17.47,6860800
1770375221827,626765,12.41,6586368
1770375221882,681693,12.55,6946816
1770375221932,733655,12.86,7340032
1770375221983,787810,13.39,7708672
1770375222033,841020,13.20,8187904
1770375222085,905566,15.76,8671232
1770375222135,957316,12.76,8704000
1770375222188,1009762,12.53,8724480
1770375222238,1060305,12.43,8728576
1770375222289,1127969,16.83,9097216
1770375222339,1207750,19.75,9588736
1770375222390,1306928,24.46,10047488
1770375222440,1415755,26.97,9969664
1770375222491,1469343,13.17,9924608
1770375222542,1523616,13.32,10256384
1770375222593,1598151,18.39,11157504
1770375222644,1704871,25.93,11964416
1770375222696,1778682,17.72,12496896
1770375222747,1891847,27.80,14073856
1770375222798,1966707,18.51,13418496
1770375222850,2019213,12.48,13152256
1770375222901,2069649,12.45,13189120
1770375222951,2119565,12.36,13582336
1770375223002,2170406,12.56,13651968
1770375223056,2224487,12.45,13815808
1770375223107,2275125,12.51,14114816
1770375223158,2326060,12.42,14315520
1770375223209,2388530,15.30,15433728
1770375223262,2458259,16.58,17014784
1770375223312,2566765,26.97,17477632
1770375223363,2668900,25.28,17453056
1770375223414,2763387,23.22,17661952
1770375223466,2835133,16.96,17358848
1770375223518,2892153,13.92,18952192
1770375223569,2943601,12.57,18272256
1770375223622,2997424,12.63,18534400
1770375223674,3074357,18.67,19107840
1770375223724,3138494,15.89,19652608
1770375223775,3224750,21.15,19214336
1770375223826,3297757,17.86,18931712
1770375223877,3348425,12.45,19148800
1770375223928,3403177,13.50,20037632
1770375223978,3484079,20.06,21282816
1770375224029,3588050,25.46,21725184
1770375224080,3665671,19.23,22032384
1770375224130,3752513,21.57,21590016
1770375224181,3804025,12.64,21950464
1770375224233,3856289,12.55,22114304
1770375224283,3913823,14.26,23351296
1770375224334,3974802,14.98,23150592
1770375224385,4033326,14.31,23195648
1770375224436,4085673,12.87,23326720
1770375224487,4137905,12.83,23363584
1770375224539,4192506,13.13,23334912
1770375224601,4258577,13.34,23379968
1770375224655,4359042,23.09,23756800
1770375224706,4427966,16.89,23687168
1770375224757,4508583,20.03,24629248
1770375224809,4566447,13.92,24854528
1770375224859,4617735,12.71,24866816
1770375224910,4668873,12.66,24608768
1770375224960,4721950,13.12,24924160
1770375225011,4775626,13.21,24698880
1770375225062,4827655,12.82,25165824
1770375225113,4879355,12.58,24907776
1770375225164,4978905,24.39,25448448
1770375225215,5083703,25.86,25231360
1770375225266,5186893,25.13,24977408
1770375225320,5291859,24.23,24793088
1770375225371,5345217,13.12,24756224
1770375225421,5396593,12.75,24735744
1770375225472,5447033,12.54,25231360
1770375225522,5499856,13.13,24748032
1770375225573,5556868,13.96,25268224
1770375225628,5576792,4.54,25247744
