timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769362778894,48599,11.98,364544
1769362778945,115088,16.08,466944
1769362778998,180134,15.55,1478656
1769362779048,249990,17.37,2781184
1769362779098,306006,13.86,4014080
1769362779149,360832,13.65,4743168
1769362779200,427150,16.18,5726208
1769362779251,492115,15.98,6209536
1769362779301,551572,14.78,7241728
1769362779351,604939,13.24,7434240
1769362779402,665996,15.17,7692288
1769362779453,746930,19.92,8286208
1769362779503,806807,14.84,8400896
1769362779553,877713,17.60,8650752
1769362779604,950695,18.08,9633792
1769362779655,1004029,13.08,8716288
1769362779705,1082694,19.52,8683520
1769362779755,1132693,12.41,8896512
1769362779806,1183715,12.68,8597504
1769362779856,1267595,20.84,9338880
1769362779906,1352146,20.99,9826304
1769362779957,1409593,14.27,9838592
1769362780007,1475998,16.52,10076160
1769362780057,1531348,13.76,9953280
1769362780108,1630267,24.57,10006528
1769362780158,1681935,12.80,9138176
1769362780209,1756609,18.49,9936896
1769362780259,1829476,18.05,9961472
1769362780309,1910541,20.16,10235904
1769362780360,2015877,26.02,10891264
1769362780410,2131249,28.66,11386880
1769362780461,2233346,25.33,11694080
1769362780511,2285784,12.98,11911168
1769362780561,2339606,13.37,12087296
1769362780612,2395488,13.86,12722176
1769362780662,2474422,19.58,12541952
1769362780713,2610978,33.69,12804096
1769362780764,2725598,28.29,13574144
1769362780814,2838499,27.80,14233600
1769362780865,2949822,27.60,13717504
1769362780918,3113930,38.70,14176256
1769362780969,3248987,33.07,14958592
1769362781019,3340591,22.68,15540224
1769362781070,3395860,13.65,15876096
1769362781120,3489908,23.27,16244736
1769362781171,3613931,30.84,16257024
1769362781221,3718620,25.94,16502784
1769362781272,3837873,29.54,16707584
1769362781322,3910720,18.10,16711680
1769362781372,4009742,24.60,17444864
1769362781423,4103581,23.18,17305600
1769362781473,4220900,29.08,17539072
1769362781524,4331809,27.43,18042880
1769362781574,4449945,29.27,18018304
1769362781624,4591458,35.17,18952192
1769362781675,4718685,31.17,18542592
1769362781726,4879844,40.12,18128896
1769362781776,4940193,15.00,18722816
1769362781826,5014262,18.39,19111936
1769362781877,5130374,28.84,20033536
1769362781927,5258780,31.72,19574784
1769362781978,5390275,32.68,19550208
1769362782028,5501569,27.51,19378176
1769362782079,5555630,13.36,19628032
1769362782129,5621109,16.20,19640320
1769362782180,5678014,14.12,20766720
1769362782230,5769305,22.65,20111360
1769362782280,5938598,42.03,19582976
1769362782331,6068632,32.25,20893696
1769362782381,6173273,25.98,21868544
1769362782431,6296764,30.64,22503424
1769362782483,6408247,27.20,23478272
1769362782533,6570392,40.33,23527424
1769362782583,6673379,25.62,23908352
1769362782634,6783226,27.29,24055808
1769362782684,6920406,34.08,23973888
1769362782734,7043825,30.59,24408064
1769362782785,7101387,14.19,24875008
1769362782836,7213166,27.24,25284608
1769362782887,7286658,18.23,25096192
1769362782937,7361127,18.44,25378816
1769362782987,7491924,32.50,25554944
1769362783041,7619414,29.86,25681920
1769362783091,7725916,26.49,26300416
1769362783142,7795747,17.24,26525696
1769362783192,7851085,13.74,27295744
1769362783243,7909164,14.17,26877952
1769362783294,7972007,15.57,26750976
1769362783344,8051662,19.81,26632192
1769362783394,8166986,28.61,26411008
1769362783445,8254301,21.52,26595328
1769362783496,8312736,14.24,26808320
1769362783547,8392491,19.81,26583040
1769362783598,8457011,15.78,27123712
1769362783648,8511283,13.41,26136576
1769362783700,8582570,17.35,25890816
1769362783750,8685173,25.43,25681920
1769362783801,8777717,22.91,26181632
1769362783851,8859699,20.34,25534464
1769362783901,8968545,27.04,25825280
1769362783952,9071927,25.54,25890816
1769362784002,9138217,16.48,26488832
1769362784053,9244095,26.21,26525696
1769362784103,9359964,28.71,26046464
1769362784154,9467307,26.63,25767936
1769362784205,9550277,20.28,26324992
1769362784256,9625584,18.58,26243072
1769362784306,9692917,16.63,26267648
1769362784357,9780697,21.62,26509312
1769362784407,9846161,16.18,26411008
1769362784458,9900847,13.57,25743360
1769362784508,9947301,11.53,26062848
