timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770381781937,18017,4.35,20480
1770381781988,93341,18.52,614400
1770381782038,158020,16.04,1110016
1770381782089,221941,15.71,1531904
1770381782142,290210,16.10,1892352
1770381782193,347434,14.13,3829760
1770381782243,407015,14.78,4841472
1770381782294,469338,15.35,5300224
1770381782344,534813,16.23,6123520
1770381782395,596901,15.28,7012352
1770381782446,652229,13.53,7417856
1770381782497,707348,13.69,8613888
1770381782548,783252,18.51,8642560
1770381782599,840310,13.99,8552448
1770381782650,904465,15.65,9256960
1770381782700,974903,17.44,9449472
1770381782753,1038058,15.02,9617408
1770381782806,1103395,15.38,9326592
1770381782858,1175143,17.26,9605120
1770381782908,1237322,15.49,9728000
1770381782959,1287225,12.41,9408512
1770381783010,1338619,12.55,9641984
1770381783060,1422559,20.76,10625024
1770381783111,1539182,28.90,10506240
1770381783161,1619601,19.95,10936320
1770381783214,1687682,16.18,10891264
1770381783264,1746258,14.47,10928128
1770381783315,1815064,16.93,11030528
1770381783366,1865911,12.48,11292672
1770381783419,1918808,12.43,11296768
1770381783470,1970663,12.88,10797056
1770381783520,2046878,18.94,11354112
1770381783570,2148165,25.09,11427840
1770381783622,2261402,27.39,12124160
1770381783673,2365113,25.64,12804096
1770381783723,2481073,28.64,13717504
1770381783774,2594056,28.12,13537280
1770381783824,2650866,13.99,13889536
1770381783875,2713647,15.57,13733888
1770381783926,2768974,13.44,13647872
1770381783977,2818989,12.38,13840384
1770381784027,2869548,12.55,14360576
1770381784078,2931375,15.10,15081472
1770381784129,2985989,13.53,15052800
1770381784179,3037017,12.63,15597568
1770381784229,3087008,12.45,15888384
1770381784280,3145467,14.45,16543744
1770381784330,3202427,14.15,16658432
1770381784383,3274997,17.23,17371136
1770381784433,3332743,14.29,16883712
1770381784484,3405693,17.95,17215488
1770381784535,3477578,17.54,17358848
1770381784587,3536139,14.13,17461248
1770381784637,3595519,14.72,17907712
1770381784689,3696558,24.53,18333696
1770381784739,3795985,24.72,18898944
1770381784790,3865327,17.21,19599360
1770381784840,3971795,26.37,19832832
1770381784902,4090139,23.74,19853312
1770381784953,4151932,15.33,19898368
1770381785003,4208957,14.19,19918848
1770381785054,4266214,14.15,20803584
1770381785104,4322197,13.88,20889600
1770381785154,4374456,13.00,21291008
1770381785205,4473171,24.55,21094400
1770381785256,4581453,26.27,21233664
1770381785311,4695090,25.65,22216704
1770381785362,4811224,28.81,22495232
1770381785412,4925988,28.52,22876160
1770381785463,5056216,31.96,23633920
1770381785514,5150926,23.27,23269376
1770381785564,5227061,18.91,23293952
1770381785618,5321840,22.04,23666688
1770381785669,5465021,35.48,24219648
1770381785719,5578099,28.10,24305664
1770381785772,5707340,30.37,24059904
1770381785823,5791661,20.81,25124864
1770381785873,5925158,33.18,24870912
1770381785923,6041248,28.85,24977408
1770381785975,6126572,20.65,24715264
1770381786025,6176434,12.36,24715264
1770381786076,6229810,13.26,24596480
1770381786129,6338316,25.68,24846336
1770381786179,6410834,17.81,25116672
1770381786235,6501739,20.33,24592384
1770381786291,6631058,29.29,24879104
1770381786341,6764719,32.84,24674304
1770381786393,6872045,26.22,25313280
1770381786443,6940031,16.90,25333760
1770381786501,7013533,15.90,25468928
1770381786551,7083378,17.34,25710592
1770381786601,7194394,27.47,26042368
1770381786652,7328913,33.42,26599424
1770381786702,7454237,30.95,26951680
1770381786753,7598116,35.74,27160576
1770381786803,7700656,25.43,27922432
1770381786854,7812054,27.44,27160576
1770381786905,7934344,29.75,27193344
1770381786956,8056737,30.02,27406336
1770381787007,8178671,30.00,27979776
1770381787058,8292905,28.16,27971584
1770381787109,8415595,30.20,28422144
1770381787160,8472079,13.71,28282880
1770381787210,8572690,24.94,28688384
1770381787261,8647617,18.64,28098560
1770381787311,8728768,20.16,28250112
1770381787362,8813087,20.63,28147712
1770381787414,8895616,19.95,27787264
1770381787469,9031346,30.58,27889664
1770381787520,9104793,18.24,28512256
1770381787570,9176109,17.67,28504064
1770381787621,9266699,22.20,29282304
1770381787671,9383461,29.00,29335552
1770381787722,9491224,26.71,30060544
1770381787776,9563277,16.65,28962816
1770381787826,9631105,16.81,28725248
1770381787877,9689213,14.35,29364224
1770381787928,9743717,13.35,29020160
1770381787978,9795920,12.95,28590080
1770381788030,9811369,3.72,28581888
1770381788081,9812495,0.28,29110272
1770381788132,9876806,15.80,29028352
1770381788185,9946264,16.19,29065216
1770381788242,10008461,13.71,29192192
1770381788300,10079619,15.33,29179904
1770381788356,10151516,15.96,29310976
1770381788407,10170448,4.66,29081600
