timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769360309303,33957,8.43,1159168
1769360309353,86791,13.05,2387968
1769360309404,138839,12.91,2822144
1769360309454,199329,15.05,6311936
1769360309504,253521,13.44,6926336
1769360309555,313014,14.78,7954432
1769360309605,380424,16.71,7647232
1769360309656,431333,12.49,7663616
1769360309707,482291,12.38,7753728
1769360309758,535975,13.36,7827456
1769360309808,587109,12.64,7856128
1769360309859,645808,14.55,8650752
1769360309910,699490,13.17,8544256
1769360309961,751034,12.50,8548352
1769360310012,801990,12.44,8568832
1769360310063,852964,12.56,8683520
1769360310113,945005,22.85,10592256
1769360310164,1018862,18.37,10805248
1769360310214,1131487,27.75,11120640
1769360310265,1211248,19.77,11845632
1769360310316,1306487,23.12,12484608
1769360310367,1376312,17.33,12591104
1769360310417,1432445,13.85,13058048
1769360310468,1515031,20.54,13570048
1769360310518,1581395,16.50,13316096
1769360310569,1684669,25.26,13660160
1769360310621,1772732,21.35,14323712
1769360310672,1823758,12.50,14393344
1769360310722,1874420,12.54,14393344
1769360310774,1926264,12.54,14458880
1769360310824,1976235,12.37,14598144
1769360310875,2027215,12.53,14942208
1769360310926,2089841,15.51,16277504
1769360310976,2154632,16.01,16044032
1769360311027,2258334,25.68,16908288
1769360311078,2352432,22.99,17162240
1769360311128,2468838,28.93,18075648
1769360311179,2572398,25.53,18448384
1769360311229,2629789,14.26,19144704
1769360311279,2754061,30.88,18919424
1769360311330,2863610,27.17,19169280
1769360311380,2952726,22.12,19677184
1769360311431,3020414,16.71,20357120
1769360311481,3123002,25.33,20713472
1769360311532,3179353,13.94,20578304
1769360311582,3231745,12.97,21405696
1769360311633,3331380,24.73,21061632
1769360311683,3431831,24.84,22204416
1769360311734,3531993,24.82,22384640
1769360311784,3584213,12.95,22188032
1769360311835,3622542,9.48,22286336
1769360311885,3622542,0.00,22286336
1769360311936,3622542,0.00,22286336
1769360311987,3647277,6.08,22355968
1769360312038,3687471,9.84,22499328
1769360312089,3687471,0.00,22499328
1769360312140,3687471,0.00,22499328
1769360312190,3700300,3.17,22282240
1769360312241,3751097,12.57,22884352
1769360312291,3802672,12.70,22859776
1769360312342,3853877,12.65,22855680
1769360312392,3892426,9.56,22605824
1769360312443,3892426,0.00,22605824
1769360312493,3892426,0.00,22605824
1769360312544,3892426,0.00,22605824
1769360312594,3897508,1.26,22867968
1769360312645,3948796,12.63,22642688
1769360312695,3998186,12.24,22679552
1769360312748,4051931,12.87,22962176
1769360312798,4101164,12.16,22736896
1769360312849,4150215,12.08,22999040
1769360312900,4201575,12.68,22745088
1769360312951,4247487,11.23,22798336
