timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770372845090,13585,3.27,532480
1770372845141,75006,15.24,1196032
1770372845191,131421,13.96,2498560
1770372845242,187429,13.94,2445312
1770372845292,239485,12.95,3166208
1770372845343,312972,18.06,5627904
1770372845394,369408,13.75,6762496
1770372845444,422608,13.20,6344704
1770372845495,488234,16.30,7368704
1770372845548,542191,12.63,7151616
1770372845599,618770,18.78,7348224
1770372845649,668729,12.43,7401472
1770372845700,720118,12.77,7827456
1770372845751,774507,13.28,8183808
1770372845802,840800,16.03,8368128
1770372845853,890484,12.34,8384512
1770372845903,941360,12.66,7892992
1770372845953,990475,12.19,8531968
1770372846004,1043358,13.07,8441856
1770372846055,1128775,21.02,9797632
1770372846106,1250252,29.90,10108928
1770372846157,1313437,15.48,11177984
1770372846208,1394295,19.83,10752000
1770372846258,1489258,23.55,11558912
1770372846308,1554456,16.16,11083776
1770372846359,1634270,19.53,11161600
1770372846412,1723847,21.50,12083200
1770372846462,1825007,24.91,11911168
1770372846513,1877862,13.06,11845632
1770372846564,1928659,12.43,12226560
1770372846614,1989263,15.06,13058048
1770372846665,2084317,23.43,14626816
1770372846715,2136750,13.00,14045184
1770372846766,2185072,12.00,14057472
1770372846816,2236905,12.87,15036416
1770372846867,2305688,16.82,15048704
1770372846919,2361726,13.56,15605760
1770372846971,2413697,12.49,15642624
1770372847022,2468683,13.43,15667200
1770372847072,2521412,13.06,15724544
1770372847123,2610576,21.86,16191488
1770372847174,2689339,19.34,16478208
1770372847226,2744580,13.25,15941632
1770372847277,2802486,14.34,16289792
1770372847328,2855107,12.87,16912384
1770372847379,2908206,13.07,16744448
1770372847432,2964135,13.26,16564224
1770372847482,3004031,9.93,17350656
1770372847532,3004031,0.00,17047552
1770372847585,3004254,0.05,16793600
1770372847644,3065077,13.01,16789504
1770372847696,3117604,12.52,16797696
1770372847749,3204596,20.64,17010688
1770372847799,3280305,18.76,16777216
1770372847851,3331294,12.30,17039360
1770372847902,3383377,12.77,17563648
1770372847953,3450932,16.63,17559552
1770372848004,3557879,26.09,17567744
1770372848054,3661578,25.78,17432576
1770372848110,3717216,12.48,17424384
1770372848165,3772172,12.42,17756160
1770372848217,3828098,13.51,17612800
1770372848267,3911852,20.80,18120704
1770372848331,3983754,14.04,18210816
1770372848382,4038399,13.59,18669568
1770372848432,4108092,17.20,18735104
1770372848483,4172620,16.01,19636224
1770372848533,4236350,15.83,19906560
1770372848583,4288589,12.96,19750912
1770372848635,4343993,13.51,19767296
1770372848685,4398879,13.58,19877888
1770372848735,4447393,12.06,20422656
1770372848786,4504975,14.17,20398080
1770372848837,4557849,13.11,20242432
1770372848889,4610632,12.50,20381696
1770372848941,4662398,12.52,20328448
1770372848991,4727903,16.28,20840448
1770372849042,4814055,21.34,21622784
1770372849093,4867414,13.11,21635072
1770372849151,4925606,12.43,22040576
1770372849203,4976930,12.49,22220800
1770372849253,5040394,15.79,23494656
1770372849303,5098794,14.48,23138304
1770372849354,5149388,12.56,23408640
1770372849404,5192293,10.66,23179264
1770372849456,5192293,0.00,23138304
1770372849507,5192293,0.00,23138304
1770372849558,5220570,6.99,23154688
1770372849609,5278443,14.03,23445504
1770372849661,5330992,12.65,23224320
1770372849711,5383360,13.03,23531520
1770372849762,5436047,13.05,23654400
1770372849812,5487695,12.83,23973888
1770372849863,5577978,22.26,23879680
1770372849913,5649863,17.89,24637440
1770372849963,5702187,12.99,24907776
1770372850014,5795949,23.02,24342528
1770372850065,5885276,22.17,24604672
1770372850118,5986457,23.69,24457216
1770372850168,6062966,19.02,24395776
1770372850219,6117840,13.57,24678400
1770372850273,6173387,12.75,24719360
1770372850324,6228978,13.69,24498176
1770372850374,6285453,14.03,24485888
1770372850426,6341161,13.41,25116672
1770372850480,6399027,13.36,25128960
1770372850531,6450098,12.61,25268224
1770372850582,6505962,13.83,25108480
1770372850632,6548401,10.52,25260032
