timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769359881079,47221,11.66,729088
1769359881129,99780,13.05,1650688
1769359881181,152274,12.68,1990656
1769359881232,211205,14.61,3399680
1769359881282,264383,13.18,3817472
1769359881332,321649,14.21,5230592
1769359881383,374537,13.05,5906432
1769359881433,431509,14.14,6721536
1769359881484,484864,13.26,6496256
1769359881534,552246,16.67,6545408
1769359881585,603228,12.48,6664192
1769359881636,655537,13.00,7073792
1769359881686,718211,15.50,7520256
1769359881737,800817,20.38,7630848
1769359881788,851817,12.54,7630848
1769359881838,904158,13.00,7696384
1769359881888,995738,22.72,8359936
1769359881939,1057604,15.33,8884224
1769359881989,1109386,12.78,8433664
1769359882040,1186564,19.16,8732672
1769359882092,1265669,19.07,8654848
1769359882143,1338973,17.93,8904704
1769359882193,1434389,23.48,9203712
1769359882244,1514438,19.77,10719232
1769359882294,1566604,12.98,10858496
1769359882345,1617548,12.47,11177984
1769359882396,1672751,13.73,12161024
1769359882446,1723833,12.60,11960320
1769359882497,1802988,19.66,12619776
1769359882547,1903283,24.94,13369344
1769359882597,1972210,17.09,13344768
1769359882648,2023166,12.66,13271040
1769359882699,2074436,12.53,13639680
1769359882750,2125342,12.51,13832192
1769359882800,2175340,12.36,14217216
1769359882850,2227981,13.10,14692352
1769359882901,2300249,17.90,14446592
1769359882951,2401005,24.93,14700544
1769359883002,2499886,24.34,15044608
1769359883053,2591459,22.48,15388672
1769359883104,2673566,20.37,15802368
1769359883154,2749631,18.69,16764928
1769359883205,2837456,21.86,16662528
1769359883256,2895694,14.25,17485824
1769359883306,2947202,12.78,17014784
1769359883358,3020316,17.77,18575360
1769359883408,3123056,25.47,18051072
1769359883459,3218915,23.74,18874368
1769359883509,3274608,13.71,18796544
1769359883560,3327377,13.04,18952192
1769359883610,3377387,12.40,18956288
1769359883661,3457493,19.87,19755008
1769359883711,3517697,14.94,19546112
1769359883762,3570003,12.86,19595264
1769359883812,3620026,12.40,19746816
1769359883863,3690159,17.41,20897792
1769359883913,3743807,13.30,20406272
1769359883964,3795573,12.67,20033536
1769359884015,3847212,12.79,20770816
1769359884065,3936490,22.06,21241856
1769359884116,4037939,24.98,21315584
1769359884166,4131248,23.13,21442560
1769359884217,4203929,18.06,21401600
1769359884267,4255002,12.67,21684224
1769359884317,4346227,22.65,21868544
1769359884368,4446953,24.93,22147072
1769359884418,4540320,23.17,21729280
1769359884469,4591920,12.80,21430272
1769359884519,4683676,22.78,22118400
1769359884569,4760446,19.00,22454272
1769359884620,4816386,13.90,22757376
1769359884671,4915947,24.45,23154688
1769359884721,5015187,24.68,22491136
1769359884771,5073079,14.34,23109632
1769359884823,5125301,12.76,22970368
1769359884873,5176077,12.60,23269376
1769359884924,5227547,12.59,23080960
1769359884975,5279949,12.77,23375872
1769359885026,5280444,0.12,23363584
1769359885076,5290739,2.56,23592960
1769359885127,5342362,12.64,23597056
1769359885179,5393873,12.62,23117824
1769359885229,5445929,12.86,23453696
1769359885280,5497412,12.56,23478272
1769359885331,5509074,2.89,23859200
