timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770366510822,47231,11.45,921600
1770366510876,103301,13.05,1794048
1770366510927,155004,12.81,1822720
1770366510977,215544,15.05,4354048
1770366511029,269572,12.91,4726784
1770366511090,339788,14.33,5505024
1770366511145,415460,17.35,5120000
1770366511195,465716,12.49,5349376
1770366511258,528837,12.50,5660672
1770366511314,585798,12.69,5746688
1770366511365,641360,13.68,6275072
1770366511425,702557,12.87,6250496
1770366511478,756603,12.69,6250496
1770366511529,808276,12.58,6320128
1770366511581,860371,12.50,6352896
1770366511635,933027,17.00,7180288
1770366511685,1046148,28.10,8499200
1770366511735,1107099,15.12,8376320
1770366511791,1200406,20.91,9224192
1770366511850,1318037,25.02,9232384
1770366511903,1374980,13.34,9797632
1770366511954,1444630,17.30,9494528
1770366512004,1499084,13.49,9342976
1770366512067,1565075,13.11,9924608
1770366512118,1615656,12.48,9961472
1770366512176,1675393,12.86,10420224
1770366512227,1753284,19.14,10977280
1770366512277,1852688,24.57,11395072
1770366512327,1902699,12.41,11509760
1770366512378,1952740,12.39,11583488
1770366512429,2004203,12.71,11755520
1770366512479,2053720,12.31,11943936
1770366512531,2109451,13.33,13099008
1770366512582,2162864,13.23,13778944
1770366512632,2266945,25.84,14057472
1770366512684,2371290,25.09,14364672
1770366512734,2473976,25.44,14565376
1770366512787,2584333,26.40,15736832
1770366512837,2684493,24.77,15613952
1770366512900,2790332,21.03,16252928
1770366512956,2855546,14.55,16478208
1770366513006,2907773,12.98,16265216
1770366513057,2965560,14.23,17424384
1770366513113,3022559,12.82,17182720
1770366513163,3108118,21.13,17121280
1770366513214,3170715,15.53,17154048
1770366513265,3251020,19.70,17383424
1770366513317,3356600,25.16,17485824
1770366513368,3458304,25.25,17784832
1770366513418,3559717,25.20,18255872
1770366513478,3623470,13.20,17793024
1770366513529,3704814,20.12,18345984
1770366513580,3797836,22.84,18706432
1770366513630,3898786,25.10,19378176
1770366513681,4002529,25.41,19550208
1770366513733,4107911,25.56,20119552
1770366513792,4175010,14.07,20320256
1770366513858,4240995,12.56,20148224
1770366513908,4290478,12.27,19701760
1770366513959,4385750,23.37,20090880
1770366514022,4493399,21.48,20115456
1770366514076,4570562,17.66,20574208
1770366514127,4651398,20.07,20324352
1770366514186,4712287,12.84,20627456
1770366514237,4764973,12.83,20692992
1770366514289,4848387,20.13,21258240
1770366514340,4953604,25.77,21204992
1770366514391,5064290,27.44,21041152
1770366514444,5180438,27.06,21938176
1770366514495,5283020,25.39,21786624
1770366514546,5365934,20.15,21868544
1770366514599,5422088,13.25,22011904
1770366514658,5512293,19.26,22618112
1770366514710,5566639,12.96,22417408
1770366514763,5620686,12.76,22491136
1770366514813,5670676,12.44,22880256
1770366514879,5771893,19.27,22933504
1770366514942,5898456,25.15,22704128
1770366514992,5999943,25.24,23289856
1770366515043,6098562,24.20,23351296
1770366515095,6152769,13.18,23175168
1770366515147,6221780,16.43,23576576
1770366515197,6322100,24.87,23691264
1770366515248,6422101,24.84,23887872
1770366515298,6504778,20.52,23945216
1770366515349,6577108,17.92,23793664
1770366515400,6628516,12.61,24002560
1770366515451,6679657,12.42,24002560
1770366515503,6733421,12.93,23793664
1770366515553,6862153,31.98,24428544
1770366515604,6963945,25.21,24498176
1770366515655,7020445,13.84,24965120
1770366515706,7084707,15.83,25174016
1770366515756,7186303,25.03,25714688
1770366515807,7244047,14.12,24973312
1770366515858,7324237,19.93,25579520
1770366515908,7377317,13.05,24801280
1770366515960,7429844,12.72,24821760
1770366516011,7484435,13.55,25100288
1770366516062,7536590,12.67,25157632
1770366516114,7588716,12.54,25600000
1770366516164,7640297,12.78,25968640
1770366516215,7691012,12.59,25509888
1770366516266,7743789,12.82,25751552
1770366516320,7797902,12.63,25874432
1770366516370,7882826,21.08,26718208
1770366516420,7970782,21.80,26222592
1770366516471,8064720,23.35,26988544
1770366516521,8117340,13.07,26288128
1770366516572,8167322,12.36,26279936
1770366516623,8219295,12.76,26550272
1770366516680,8308652,19.34,26898432
1770366516736,8376514,15.16,26935296
1770366516786,8426996,12.55,26931200
1770366516843,8485136,12.91,27328512
1770366516894,8537230,12.71,27332608
1770366516948,8590525,12.29,26832896
1770366516999,8629318,9.47,27107328
