timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770461761923,51187,12.29,585728
1770461761973,102223,12.64,331776
1770461762023,152275,12.40,348160
1770461762074,205731,13.17,622592
1770461762125,257435,12.75,393216
1770461762175,309192,12.86,172032
1770461762228,364288,13.04,573440
1770461762279,369422,1.26,278528
1770461762339,369422,0.00,278528
1770461762389,369422,0.00,278528
1770461762441,369422,0.00,278528
1770461762491,421542,12.89,360448
1770461762542,473021,12.66,417792
1770461762592,523446,12.52,708608
1770461762643,572750,12.24,1257472
1770461762694,626367,13.07,1347584
1770461762748,640039,3.18,1413120
