timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770454881143,41633,10.29,655360
1770454881193,90463,12.11,466944
1770454881245,139992,12.08,851968
1770454881297,192950,12.63,991232
1770454881356,251524,12.50,815104
1770454881406,302174,12.54,704512
1770454881459,356202,12.76,1208320
1770454881511,383024,6.42,1331200
1770454881562,383024,0.00,1093632
1770454881613,383024,0.00,1093632
1770454881667,383024,0.00,1093632
1770454881718,405462,5.58,1073152
1770454881768,457310,12.84,1466368
1770454881820,510318,12.72,2433024
1770454881871,560084,12.33,2985984
1770454881932,621126,12.47,2408448
1770454881985,653883,7.73,2703360
