timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769353427223,3285228,11.44,1015808
1769353427273,3334805,12.32,1015808
1769353427324,3385775,12.65,1048576
1769353427374,3434993,12.14,782336
1769353427425,3485870,12.61,782336
1769353427475,3536286,12.50,1073152
1769353427526,3587293,12.51,1073152
1769353427576,3637364,12.42,1138688
1769353427627,3688355,12.69,1138688
1769353427681,3742354,12.48,1138688
1769353427731,3792785,12.46,1474560
1769353427782,3843695,12.64,1474560
1769353427832,3893636,12.36,1478656
1769353427883,3943637,12.41,1454080
1769353427933,3994653,12.54,1454080
1769353427984,4044071,12.28,991232
1769353428034,4093748,12.32,987136
1769353428085,4144861,12.66,1232896
1769353428136,4195816,12.49,1208320
1769353428186,4245835,12.39,1208320
1769353428237,4297080,12.65,1495040
1769353428287,4347074,12.39,1495040
1769353428338,4398131,12.63,1310720
1769353428388,4447906,12.36,1286144
1769353428438,4497809,12.37,1286144
1769353428489,4549283,12.81,1343488
1769353428539,4599295,12.40,1343488
1769353428589,4649259,12.40,1363968
1769353428640,4700157,12.65,1097728
1769353428690,4750156,12.38,1097728
1769353428741,4799669,12.21,1409024
1769353428791,4849646,12.42,1409024
1769353428842,4900737,12.65,1417216
1769353428892,4950748,12.42,1392640
1769353428942,5000745,12.39,1392640
1769353428993,5052346,12.84,1691648
1769353429043,5102325,12.32,1691648
1769353429094,5153429,12.70,1691648
1769353429144,5203341,12.42,1445888
1769353429194,5253361,12.40,1445888
1769353429245,5304465,12.60,1683456
1769353429295,5354465,12.38,1683456
1769353429346,5405523,12.71,1429504
1769353429396,5455504,12.43,1384448
1769353429447,5505504,12.34,1384448
1769353429497,5557117,12.85,1425408
1769353429547,5607116,12.43,1425408
1769353429598,5658252,12.56,1425408
1769353429649,5709168,12.53,1183744
1769353429699,5759171,12.46,1183744
1769353429750,5808681,12.22,1421312
1769353429801,5860630,12.68,1421312
1769353429851,5910704,12.34,1425408
1769353429902,5961705,12.63,1400832
1769353429953,6013015,12.59,1400832
1769353430003,6063187,12.45,1425408
1769353430054,6114185,12.48,1425408
1769353430105,6165058,12.60,1425408
1769353430156,6214934,12.19,1220608
1769353430208,6266957,12.61,1220608
1769353430259,6317687,12.41,1490944
1769353430310,6368689,12.50,1490944
1769353430361,6418694,12.28,1490944
1769353430411,6469776,12.65,1536000
1769353430462,6520771,12.41,1536000
1769353430513,6572226,12.71,1568768
1769353430564,6623225,12.54,1568768
1769353430614,6673261,12.41,1323008
1769353430665,6724273,12.64,1589248
1769353430715,6774291,12.41,1589248
1769353430765,6825608,12.75,1638400
1769353430817,6876214,12.32,1638400
1769353430867,6925826,12.33,1859584
1769353430918,6975824,12.37,1839104
1769353430969,7026817,12.49,1839104
1769353431019,7077996,12.66,2158592
1769353431071,7128996,12.40,2154496
1769353431121,7180243,12.73,1937408
1769353431173,7231621,12.31,1896448
1769353431223,7281111,12.25,1896448
1769353431274,7293232,2.98,1400832
1769353431325,7293232,0.00,1392640
1769353431376,7293232,0.00,1392640
1769353431426,7293232,0.00,1388544
1769353431477,7328270,8.62,1683456
1769353431528,7379240,12.59,1683456
1769353431579,7430261,12.36,1683456
1769353431630,7481277,12.59,1703936
1769353431681,7532255,12.36,1462272
1769353431732,7583665,12.67,2039808
1769353431784,7634514,12.37,2039808
1769353431834,7685540,12.60,2035712
1769353431886,7737463,12.55,1794048
1769353431937,7788456,12.53,1794048
1769353431987,7838814,12.46,2060288
1769353432038,7889752,12.64,2060288
1769353432088,7939822,12.46,2048000
1769353432138,7989770,12.42,2035712
1769353432188,8039769,12.44,2035712
1769353432239,8089515,12.38,2027520
1769353432289,8140496,12.67,2027520
1769353432339,8190522,12.43,2031616
1769353432389,8240431,12.41,1789952
1769353432440,8291415,12.70,1789952
1769353432490,8342573,12.74,1572864
1769353432540,8392534,12.43,1568768
1769353432590,8442543,12.44,1810432
1769353432640,8492460,12.43,1564672
1769353432691,8543460,12.71,1564672
1769353432741,8593795,12.54,1822720
1769353432791,8643778,12.44,1822720
1769353432841,8693746,12.44,1855488
1769353432891,8743731,12.45,1851392
1769353432942,8794838,12.73,1609728
1769353432992,8844244,12.30,1851392
1769353433042,8893537,12.26,1609728
1769353433092,8943470,12.40,2117632
1769353433143,8993464,12.45,1933312
1769353433193,9045110,12.83,2203648
1769353433243,9095238,12.44,2203648
1769353433294,9145238,12.42,2203648
1769353433344,9196270,12.68,2228224
1769353433394,9246258,12.45,2228224
1769353433444,9296270,12.44,2273280
1769353433495,9346778,12.57,2146304
1769353433545,9396791,12.39,1888256
1769353433595,9446839,12.42,2154496
1769353433646,9497754,12.67,1908736
1769353433696,9547879,12.45,1937408
1769353433746,9596957,12.20,2158592
1769353433797,9647886,12.63,2158592
1769353433847,9698000,12.44,2166784
1769353433897,9748000,12.44,2142208
1769353433948,9798000,12.42,2142208
1769353433998,9849295,12.75,2453504
1769353434048,9899295,12.41,2453504
1769353434099,9950310,12.64,2187264
1769353434149,10000252,12.44,1945600
1769353434199,10050525,12.50,2457600
1769353434249,10100495,12.41,1957888
1769353434300,10151496,12.66,1957888
1769353434350,10201666,12.42,2203648
1769353434401,10251665,12.44,2199552
1769353434452,10302665,12.52,2199552
1769353434503,10307924,1.28,2449408
