timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770456152298,24691,6.11,266240
1770456152348,74585,12.41,266240
1770456152399,125109,12.45,266240
1770456152458,185136,12.63,266240
1770456152513,239633,12.48,266240
1770456152565,292605,12.65,286720
1770456152616,342651,12.35,40960
1770456152666,393451,12.51,40960
1770456152720,447358,12.49,57344
1770456152771,492155,11.09,57344
1770456152826,547919,12.72,581632
1770456152877,599129,12.43,299008
1770456152929,651396,12.52,69632
1770456152980,701262,12.29,319488
1770456153031,752848,12.70,319488
1770456153084,804257,12.06,331776
1770456153135,855040,12.45,86016
1770456153185,905054,12.42,86016
1770456153236,955663,12.53,77824
1770456153287,1005509,12.24,77824
1770456153338,1057219,12.66,876544
1770456153389,1109317,12.60,626688
1770456153444,1163907,12.48,626688
1770456153496,1215335,12.49,626688
1770456153546,1265889,12.45,602112
1770456153597,1317450,12.62,1175552
1770456153649,1368343,12.41,913408
1770456153699,1419350,12.66,888832
1770456153754,1474500,12.53,917504
1770456153806,1525501,12.32,917504
1770456153857,1574509,12.02,663552
1770456153908,1626150,12.58,659456
1770456153959,1677142,12.50,659456
1770456154010,1728264,12.53,483328
1770456154061,1778551,12.40,462848
1770456154112,1829500,12.53,749568
1770456154163,1881629,12.68,761856
1770456154214,1932567,12.46,761856
1770456154265,1983642,12.53,765952
1770456154317,2035337,12.49,765952
1770456154367,2085819,12.46,802816
1770456154418,2135931,12.41,798720
1770456154470,2188553,12.65,798720
1770456154521,2239830,12.54,847872
1770456154571,2290028,12.49,847872
1770456154622,2339813,12.35,847872
1770456154675,2393457,12.69,876544
1770456154725,2443292,12.37,876544
1770456154776,2495268,12.71,876544
1770456154828,2547268,12.50,876544
1770456154878,2597301,12.42,876544
1770456154929,2646968,12.31,630784
1770456154980,2698138,12.53,630784
1770456155031,2749941,12.64,630784
1770456155085,2803355,12.51,675840
1770456155136,2854019,12.31,675840
1770456155187,2906465,12.86,675840
1770456155242,2961447,12.53,688128
1770456155292,3011803,12.52,688128
1770456155342,3060973,12.20,442368
1770456155393,3111005,12.39,421888
1770456155444,3162398,12.65,421888
1770456155496,3213788,12.39,704512
1770456155550,3268836,12.60,704512
1770456155604,3323027,12.51,749568
1770456155656,3374185,12.43,749568
1770456155710,3428609,12.58,794624
1770456155760,3479405,12.63,774144
1770456155814,3533397,12.54,774144
1770456155866,3584942,12.39,819200
1770456155923,3642536,12.63,819200
1770456155976,3695563,12.47,819200
1770456156032,3751920,12.62,1097728
1770456156082,3802147,12.50,1097728
1770456156133,3852377,12.47,868352
1770456156188,3908388,12.55,1146880
1770456156239,3958171,12.32,872448
1770456156289,4009891,12.77,1171456
1770456156340,4059614,12.34,1171456
1770456156392,4112571,12.68,1171456
1770456156443,4162935,12.43,1171456
1770456156495,4215877,12.54,1171456
1770456156546,4237805,5.46,688128
1770456156598,4237805,0.00,684032
1770456156650,4237805,0.00,684032
1770456156703,4237805,0.00,684032
1770456156754,4265566,6.87,917504
1770456156805,4316436,12.50,675840
1770456156856,4368428,12.62,675840
1770456156912,4424678,12.60,942080
1770456156964,4475647,12.32,942080
1770456157014,4527298,12.81,1343488
1770456157068,4580946,12.45,1318912
1770456157119,4632528,12.57,1318912
1770456157170,4683539,12.42,1101824
1770456157222,4734534,12.44,1101824
1770456157272,4784477,12.41,1105920
1770456157322,4834813,12.49,864256
1770456157373,4884497,12.35,864256
1770456157423,4932859,11.99,1105920
1770456157474,4982119,12.14,1081344
1770456157524,5032695,12.54,1363968
1770456157575,5082687,12.39,1327104
1770456157642,5150535,12.59,1327104
1770456157693,5201565,12.51,1105920
1770456157744,5252556,12.49,1105920
1770456157795,5303519,12.62,1581056
1770456157848,5357547,12.63,1331200
1770456157898,5407656,12.46,1331200
1770456157950,5458769,12.39,1110016
1770456158000,5509523,12.59,1110016
1770456158051,5559781,12.45,1613824
1770456158101,5610649,12.63,1150976
1770456158151,5660524,12.40,1150976
1770456158203,5712425,12.48,1372160
1770456158256,5764640,12.49,1372160
1770456158309,5817815,12.49,1372160
1770456158360,5868873,12.48,1146880
1770456158411,5919864,12.48,1146880
1770456158463,5971788,12.47,1392640
1770456158513,6022039,12.49,1392640
1770456158564,6072905,12.55,1392640
1770456158618,6127140,12.55,1626112
1770456158668,6177160,12.39,1626112
1770456158720,6228253,12.47,1413120
1770456158771,6280182,12.65,1413120
1770456158821,6330503,12.52,1699840
1770456158872,6380402,12.23,1187840
1770456158923,6430656,12.38,1187840
1770456158974,6481871,12.58,1187840
1770456159027,6535424,12.56,1413120
1770456159079,6587580,12.51,1413120
1770456159130,6637948,12.50,1720320
1770456159183,6691405,12.64,1716224
1770456159233,6741766,12.51,1716224
1770456159285,6793911,12.52,1499136
1770456159336,6844762,12.49,1499136
1770456159388,6897875,12.62,1748992
1770456159439,6948436,12.50,1744896
1770456159489,6998446,12.43,1478656
1770456159540,7048558,12.40,1503232
1770456159591,7099741,12.62,1503232
1770456159647,7129378,6.56,1757184
