timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769354853951,37990,9.43,827392
1769354854001,87554,12.33,712704
1769354854051,138397,12.65,798720
1769354854101,187237,12.15,741376
1769354854152,237699,12.54,905216
1769354854202,288592,12.67,1007616
1769354854252,338590,12.44,1130496
1769354854302,389421,12.64,1556480
1769354854353,412736,5.79,1122304
1769354854403,412736,0.00,1122304
1769354854453,412736,0.00,1122304
1769354854503,412736,0.00,1110016
1769354854554,435682,5.71,1343488
1769354854604,487797,12.94,1687552
1769354854654,538176,12.53,1617920
1769354854704,588359,12.49,1523712
1769354854755,637906,12.32,2244608
1769354854805,689058,12.71,2535424
1769354854855,706045,4.22,2347008
