timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769354421373,4488,1.11,524288
1769354421424,57363,13.03,569344
1769354421475,106324,12.06,163840
1769354421525,156009,12.30,729088
1769354421576,207399,12.76,540672
1769354421626,259766,12.99,626688
1769354421676,311191,12.77,708608
1769354421727,364003,13.10,1028096
1769354421777,381937,4.42,790528
1769354421828,381937,0.00,774144
1769354421879,381937,0.00,774144
1769354421930,381937,0.00,774144
1769354421980,407804,6.42,786432
1769354422030,459838,12.91,712704
1769354422081,512679,13.10,1228800
1769354422132,564122,12.48,1249280
1769354422183,615208,12.66,1601536
1769354422233,653536,9.51,1179648
