timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769355240168,16484,4.02,266240
1769355240218,71062,13.54,233472
1769355240269,125278,13.25,65536
1769355240320,177096,12.89,192512
1769355240370,231182,13.33,638976
1769355240421,282079,12.63,843776
1769355240471,335791,13.32,606208
1769355240522,388517,13.04,393216
1769355240572,442712,13.32,405504
1769355240623,495960,13.23,442368
1769355240673,550706,13.59,462848
1769355240723,602784,12.93,479232
1769355240774,657025,13.48,405504
1769355240824,711359,13.50,1011712
1769355240874,763455,12.94,1032192
1769355240926,764308,0.21,798720
1769355240977,764308,0.00,798720
1769355241028,764308,0.00,540672
1769355241079,764308,0.00,540672
1769355241130,814322,12.37,1081344
1769355241180,869452,13.65,1691648
1769355241230,921881,13.00,1269760
1769355241281,977754,13.89,1024000
1769355241331,1030797,13.16,1458176
1769355241382,1084150,13.22,1413120
1769355241432,1136916,13.08,1699840
1769355241483,1190626,13.27,2031616
1769355241533,1245004,13.43,2342912
1769355241584,1292361,11.75,1241088
