timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770459705232,9931,2.42,532480
1770459705283,64091,13.28,315392
1770459705333,118860,13.61,724992
1770459705384,171415,12.83,188416
1770459705436,227271,13.48,299008
1770459705487,279684,12.99,471040
1770459705537,332399,13.01,606208
1770459705588,385967,13.28,573440
1770459705640,440883,13.20,1138688
1770459705690,493309,13.05,704512
1770459705741,547431,13.23,1318912
1770459705791,602437,13.67,974848
1770459705842,656634,13.25,786432
1770459705894,711831,13.47,942080
1770459705945,767722,13.51,1187840
1770459705996,773573,1.45,1024000
1770459706048,773573,0.00,1024000
1770459706099,773573,0.00,1024000
1770459706154,773573,0.00,1019904
1770459706205,822898,12.09,1183744
1770459706255,876591,13.35,1351680
1770459706306,928595,12.91,1306624
1770459706356,983144,13.56,1409024
1770459706409,1039247,13.31,1429504
1770459706461,1093172,12.92,1028096
1770459706515,1150125,13.11,1896448
1770459706568,1204204,12.89,868352
1770459706619,1258367,13.32,1134592
1770459706669,1313120,13.62,1413120
1770459706721,1349255,8.72,1622016
