timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770452604576,7162,1.76,278528
1770452604627,58879,12.73,602112
1770452604680,108539,11.77,741376
1770452604730,157618,12.17,888832
1770452604781,208567,12.55,1048576
1770452604834,261027,12.41,933888
1770452604885,311780,12.36,851968
1770452604936,363364,12.72,1511424
1770452604991,367742,1.00,1331200
1770452605041,367742,0.00,1073152
1770452605092,367742,0.00,1073152
1770452605142,367742,0.00,1073152
1770452605197,412196,10.07,1343488
1770452605249,462490,12.26,1490944
1770452605300,515406,12.88,2142208
1770452605350,564459,12.21,2031616
1770452605401,614560,12.33,1966080
1770452605452,656228,10.24,1765376
