timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769354007468,10637,2.62,266240
1769354007519,62348,12.76,880640
1769354007570,111492,12.12,962560
1769354007620,160664,12.23,876544
1769354007671,210347,12.24,671744
1769354007722,261316,12.47,1056768
1769354007773,310696,12.18,970752
1769354007824,361996,12.51,1421312
1769354007874,411848,12.30,1261568
1769354007925,446046,8.47,1372160
1769354007976,446046,0.00,1372160
1769354008027,446046,0.00,1105920
1769354008077,446046,0.00,1105920
1769354008128,460562,3.60,1601536
1769354008179,511111,12.43,1687552
1769354008229,562074,12.69,2236416
1769354008279,611931,12.39,1814528
1769354008329,660686,12.10,1978368
1769354008380,712270,12.76,2301952
1769354008430,738176,6.43,2064384
