timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1769351069711,11058,2.67,61440
1769351069762,61133,12.44,1245184
1769351069812,110134,12.09,1306624
1769351069863,158796,11.97,925696
1769351069914,209066,12.42,835584
1769351069965,258687,12.23,1261568
1769351070015,310165,12.79,2043904
1769351070065,325728,3.86,1388544
1769351070116,325728,0.00,1388544
1769351070167,325728,0.00,1388544
1769351070218,325728,0.00,1388544
1769351070268,359958,8.45,1921024
1769351070319,410744,12.48,1757184
1769351070370,461575,12.56,2060288
1769351070420,510420,12.07,1765376
1769351070471,559700,12.21,2117632
