timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1770451955593,48561,11.94,847872
1770451955644,98147,12.20,942080
1770451955695,146858,12.07,978944
1770451955745,198045,12.63,835584
1770451955796,248485,12.40,1019904
1770451955847,299048,12.45,1490944
1770451955898,337285,9.39,1355776
1770451955949,337285,0.00,1355776
1770451956007,337285,0.00,1110016
1770451956058,337285,0.00,1105920
1770451956116,359632,4.79,1335296
1770451956167,409557,12.38,1773568
1770451956217,462118,13.04,1826816
1770451956268,511186,12.06,2105344
1770451956319,561693,12.50,2375680
1770451956369,570438,2.16,2031616
