timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1765902211497,34393,4.22,319488
1765902211602,138338,12.38,421888
1765902211702,238987,12.52,651264
1765902211804,340557,12.53,651264
1765902211907,402866,7.55,638976
1765902212008,402866,0.00,634880
1765902212108,439879,4.61,1212416
1765902212212,545661,12.75,1081344
1765902212313,646983,12.53,2277376
1765902212415,693779,5.76,1814528
1765902212518,693779,0.00,1556480
1765902212620,693779,0.00,1556480
1765902212721,746052,6.48,1933312
1765902212822,848312,12.68,2207744
1765902212922,951691,12.89,2265088
1765902213023,1038945,10.85,1744896
1765902213132,1038945,0.00,1744896
1765902213236,1038945,0.00,1744896
1765902213340,1038945,0.00,1744896
1765902213442,1038945,0.00,1744896
1765902213547,1038945,0.00,1744896
1765902213654,1038945,0.00,1744896
1765902213755,1111151,8.91,2613248
1765902213855,1208756,12.16,2514944
1765902213956,1310886,12.62,2428928
1765902214058,1413435,12.61,2453504
1765902214160,1494901,10.04,2707456
1765902214264,1494901,0.00,2707456
1765902214365,1511655,2.08,2936832
1765902214466,1612956,12.61,3383296
1765902214566,1715373,12.72,4136960
1765902214667,1815944,12.52,3854336
1765902214771,1821300,0.64,3891200
1765902214873,1821300,0.00,3891200
1765902214995,1821300,0.00,3371008
1765902215104,1821300,0.00,3358720
1765902215207,1902058,9.82,4001792
1765902215307,2004072,12.70,3887104
1765902215408,2105470,12.64,4120576
1765902215508,2207428,12.68,4329472
1765902215613,2233407,3.11,4190208
1765902215713,2233407,0.00,4190208
1765902215814,2233407,0.00,4190208
1765902215915,2233407,0.00,3928064
1765902216016,2233407,0.00,3928064
1765902216118,2233407,0.00,3928064
1765902216219,2307287,9.13,5066752
1765902216320,2407057,12.43,4747264
1765902216420,2506853,12.43,5218304
1765902216521,2608826,12.57,5201920
1765902216623,2710783,12.61,5488640
1765902216730,2752017,4.80,5603328
1765902216833,2752017,0.00,5603328
1765902216933,2811982,7.46,6139904
1765902217034,2914728,12.77,5451776
1765902217136,3015737,12.41,6782976
1765902217236,3117035,12.58,6643712
1765902217337,3117035,0.00,6643712
1765902217442,3117035,0.00,6131712
1765902217544,3117035,0.00,6131712
1765902217648,3117035,0.00,6131712
1765902217749,3218679,12.62,6529024
1765902217849,3321248,12.77,6877184
1765902217950,3423013,12.68,6815744
1765902218059,3534243,12.74,7016448
1765902218162,3592328,7.07,7139328
1765902218269,3592328,0.00,6881280
1765902218382,3592328,0.00,6635520
1765902218495,3592328,0.00,6635520
1765902218612,3592328,0.00,6635520
1765902218717,3652077,7.13,7487488
1765902218820,3753877,12.32,7639040
1765902218922,3855972,12.51,7655424
1765902219023,3957842,12.58,7733248
1765902219126,4061218,12.54,7716864
1765902219233,4169236,12.62,8151040
1765902219334,4208602,4.90,7929856
1765902219437,4208602,0.00,7929856
1765902219539,4267858,7.21,8511488
1765902219641,4371061,12.67,8970240
1765902219742,4472821,12.60,9682944
1765902219844,4574895,12.51,9637888
1765902219945,4619484,5.50,9220096
1765902220046,4619484,0.00,8949760
1765902220147,4619484,0.00,8699904
1765902220248,4619484,0.00,8699904
1765902220350,4713557,11.49,9863168
1765902220451,4815613,12.68,9789440
1765902220553,4919492,12.70,10067968
1765902220654,5021967,12.71,9818112
1765902220754,5122619,12.55,10395648
1765902220860,5138012,1.82,9732096
1765902220963,5138012,0.00,9732096
1765902221067,5138012,0.00,9461760
1765902221171,5138012,0.00,9461760
1765902221276,5138071,0.01,9461760
1765902221380,5243382,12.63,10620928
1765902221481,5344408,12.53,10657792
1765902221583,5444834,12.33,10338304
1765902221683,5545862,12.58,10452992
1765902221784,5645674,12.41,10645504
1765902221885,5748878,12.69,10874880
1765902221995,5815062,7.56,11071488
1765902222096,5815062,0.00,10850304
1765902222197,5851413,4.48,11104256
1765902222299,5955151,12.68,11542528
1765902222400,6057545,12.70,12070912
1765902222506,6162970,12.42,12115968
1765902222607,6258055,11.77,12009472
1765902222710,6258055,0.00,11743232
1765902222814,6258055,0.00,11743232
1765902222916,6258055,0.00,11743232
1765902223017,6337476,9.87,12087296
1765902223118,6440541,12.79,12496896
1765902223220,6544690,12.72,12595200
1765902223321,6645989,12.55,12779520
1765902223423,6750817,12.84,13438976
1765902223524,6832209,10.12,12611584
1765902223625,6832242,0.00,12603392
1765902223730,6832242,0.00,12599296
1765902223830,6832242,0.00,12599296
1765902223935,6832242,0.00,12599296
1765902224037,6902064,8.55,13459456
1765902224138,7002288,12.41,13668352
1765902224238,7101492,12.36,13438976
1765902224339,7202290,12.55,13402112
1765902224439,7302968,12.54,13750272
1765902224553,7417257,12.54,14090240
1765902224655,7520415,12.63,14041088
1765902224757,7581566,7.50,14237696
1765902224864,7581566,0.00,14233600
1765902224965,7627344,5.65,14483456
1765902225066,7729201,12.65,14528512
1765902225167,7832233,12.74,15278080
1765902225268,7932320,12.46,15360000
1765902225369,8035367,12.69,15904768
1765902225478,8073486,4.36,15470592
1765902225579,8159797,10.71,15560704
1765902225680,8262027,12.69,16195584
1765902225782,8365695,12.63,16404480
1765902225883,8467432,12.63,16302080
1765902225985,8569477,12.55,16211968
1765902226087,8672553,12.63,16367616
1765902226193,8707092,4.07,16044032
1765902226294,8707092,0.00,16044032
1765902226446,8707127,0.00,16044032
1765902226546,8743787,4.54,16306176
1765902226647,8844817,12.55,17227776
1765902226748,8946120,12.51,17354752
1765902226849,9045336,12.29,16728064
1765902226953,9150632,12.63,16887808
1765902227054,9251436,12.52,17264640
1765902227155,9352132,12.47,17104896
1765902227255,9454015,12.67,17059840
1765902227356,9556339,12.71,17580032
1765902227458,9557910,0.19,17580032
1765902227560,9557910,0.00,17580032
1765902227660,9658347,12.49,17952768
1765902227761,9758658,12.49,18141184
1765902227862,9861193,12.68,17874944
1765902227964,9963336,12.50,18616320
1765902228066,10066078,12.62,19230720
1765902228168,10083798,2.16,18591744
1765902228272,10083798,0.00,18591744
1765902228373,10083842,0.01,18374656
1765902228473,10132450,6.05,18378752
1765902228574,10234117,12.62,18808832
1765902228674,10335632,12.62,19922944
1765902228775,10437188,12.59,19517440
1765902228876,10539352,12.64,19410944
1765902228976,10640911,12.67,19787776
1765902229088,10752881,12.52,19685376
1765902229189,10787568,4.31,19271680
1765902229290,10787568,0.00,19271680
1765902229392,10830791,5.29,19533824
1765902229493,10932290,12.63,20049920
1765902229593,11030104,12.17,20156416
1765902229694,11130361,12.39,20529152
1765902229795,11232421,12.68,20480000
1765902229895,11333924,12.65,20877312
1765902229996,11434404,12.50,20975616
1765902230098,11537552,12.62,20819968
1765902230199,11638531,12.44,20725760
1765902230300,11686912,6.03,20963328
1765902230404,11686912,0.00,20963328
1765902230505,11743510,7.04,21012480
1765902230605,11844867,12.64,21405696
1765902230706,11945977,12.48,21606400
1765902230807,12047993,12.63,22372352
1765902230907,12147873,12.44,21520384
1765902231008,12248573,12.51,22196224
1765902231110,12263887,1.87,21762048
1765902231211,12263887,0.00,21753856
1765902231312,12348682,10.55,22573056
1765902231413,12451392,12.72,22716416
1765902231514,12553546,12.64,23330816
1765902231615,12655948,12.61,23220224
1765902231716,12757381,12.57,22790144
1765902231818,12860240,12.63,23162880
1765902231922,12964078,12.45,23351296
1765902232023,12999848,4.46,22732800
1765902232123,12999848,0.00,22732800
1765902232223,12999848,0.00,22732800
1765902232326,13078940,9.59,23580672
1765902232427,13177767,12.24,23461888
1765902232528,13280246,12.72,23838720
1765902232629,13379470,12.26,23760896
1765902232730,13481080,12.55,23920640
1765902232831,13582761,12.63,24055808
1765902232933,13684117,12.44,24125440
1765902233033,13784650,12.53,23789568
1765902233134,13886493,12.68,24379392
1765902233234,13983353,12.06,24571904
1765902233334,13983353,0.00,24571904
1765902233435,13983353,0.00,24571904
1765902233536,14083066,12.42,24686592
1765902233636,14183953,12.56,24805376
1765902233737,14285567,12.61,25350144
1765902233839,14387862,12.48,25489408
1765902233940,14487993,12.45,25448448
1765902234040,14589151,12.60,25767936
1765902234141,14601444,1.52,25354240
1765902234245,14629797,3.42,25407488
1765902234345,14731117,12.62,25776128
1765902234451,14837392,12.63,25927680
1765902234551,14937757,12.50,25800704
1765902234652,15038432,12.45,25665536
1765902234785,15172804,12.64,26009600
1765902234891,15279901,12.61,26378240
1765902234991,15380395,12.53,26779648
1765902235096,15430261,5.93,26103808
1765902235203,15430261,0.00,26103808
1765902235303,15484971,6.79,26533888
1765902235403,15585866,12.57,26832896
1765902235504,15676793,11.33,27230208
1765902235606,15778749,12.45,27410432
1765902235707,15880436,12.57,27480064
1765902235808,15981201,12.50,27623424
1765902235909,16081700,12.47,27738112
1765902236009,16182905,12.60,27361280
1765902236110,16284816,12.60,27770880
1765902236211,16385332,12.52,27914240
1765902236311,16480822,11.88,27848704
1765902236414,16480822,0.00,27627520
1765902236519,16480865,0.01,27627520
1765902236620,16581899,12.50,28450816
1765902236720,16681996,12.46,28012544
1765902236820,16782513,12.51,28397568
1765902236921,16882971,12.49,28893184
1765902237021,16982699,12.43,28512256
1765902237122,17085161,12.68,29392896
