timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1765901694297,52141,6.45,573440
1765901694398,152809,12.53,368640
1765901694498,256095,12.83,684032
1765901694599,361396,13.10,339968
1765901694701,362548,0.14,303104
1765901694803,362548,0.00,303104
1765901694903,459433,12.02,638976
1765901695005,563235,12.77,827392
1765901695110,597248,4.06,528384
1765901695211,597248,0.00,516096
1765901695313,597248,0.00,516096
1765901695421,639009,4.84,1093632
1765901695521,744143,13.08,1150976
1765901695622,849057,13.06,1748992
1765901695729,900544,5.99,954368
1765901695834,900544,0.00,954368
1765901695940,900544,0.00,954368
1765901696040,900544,0.00,933888
1765901696144,900544,0.00,933888
1765901696247,900544,0.00,933888
1765901696348,900544,0.00,933888
1765901696449,959236,7.30,2011136
1765901696550,1061525,12.68,2072576
1765901696651,1166297,12.95,1523712
1765901696752,1268444,12.69,2232320
1765901696854,1327731,7.26,1855488
1765901696958,1327731,0.00,1855488
1765901697059,1369745,5.20,2240512
1765901697159,1475111,13.12,2908160
1765901697261,1579248,12.74,2891776
1765901697363,1595696,2.02,2686976
1765901697465,1595696,0.00,2682880
1765901697572,1595696,0.00,2682880
1765901697673,1595696,0.00,2666496
1765901697777,1595696,0.00,2408448
1765901697881,1670195,8.98,3100672
1765901697983,1776177,13.07,2809856
1765901698083,1879537,12.85,3579904
1765901698185,1954220,9.12,3301376
1765901698289,1954220,0.00,3301376
1765901698390,1954220,0.00,3301376
1765901698491,1954220,0.00,3293184
1765901698595,1954220,0.00,3293184
1765901698697,1954220,0.00,3293184
1765901698800,1954220,0.00,3293184
1765901698901,2034214,9.96,4157440
1765901699002,2135976,12.59,4546560
1765901699103,2239480,12.77,4526080
1765901699206,2344971,12.80,4464640
1765901699307,2449809,13.03,4816896
1765901699408,2452683,0.35,4558848
1765901699509,2452683,0.00,4448256
1765901699614,2557566,12.53,4714496
1765901699715,2661499,12.85,5894144
1765901699815,2765119,12.91,5500928
1765901699917,2765119,0.00,5230592
1765901700018,2765119,0.00,5214208
1765901700119,2796384,3.89,5476352
1765901700219,2901167,13.01,5730304
1765901700320,3005217,12.92,5672960
1765901700421,3109787,12.99,6418432
1765901700521,3167741,7.22,6242304
1765901700624,3167741,0.00,6238208
1765901700728,3167741,0.00,6238208
1765901700829,3167741,0.00,6238208
1765901700939,3167741,0.00,6238208
1765901701045,3167741,0.00,6238208
1765901701146,3203866,4.48,6520832
1765901701246,3306340,12.76,6774784
1765901701347,3407143,12.56,7426048
1765901701447,3510734,12.90,7643136
1765901701559,3623937,12.68,7065600
1765901701663,3730929,12.84,8052736
1765901701769,3735450,0.54,7557120
1765901701877,3735450,0.00,7557120
1765901701978,3837066,12.65,7815168
1765901702078,3940883,12.95,8183808
1765901702179,4043210,12.73,8585216
1765901702286,4094622,6.00,8208384
1765901702390,4094622,0.00,8208384
1765901702491,4109409,1.82,8470528
1765901702593,4214105,12.87,8368128
1765901702694,4317592,12.76,8589312
1765901702795,4423008,13.05,9064448
1765901702906,4536386,12.79,9433088
1765901703009,4558444,2.66,8970240
1765901703111,4558444,0.00,8970240
1765901703211,4558444,0.00,8970240
1765901703319,4558444,0.00,8970240
1765901703421,4558444,0.00,8970240
1765901703522,4593062,4.26,8982528
1765901703623,4695511,12.70,9916416
1765901703724,4796208,12.52,10084352
1765901703825,4899195,12.72,10039296
1765901703926,5002230,12.72,10178560
1765901704026,5104360,12.72,10137600
1765901704129,5171687,8.18,10575872
1765901704234,5171687,0.00,10317824
1765901704335,5208089,4.53,10555392
1765901704436,5312009,12.82,10334208
1765901704536,5415185,12.84,11837440
1765901704637,5517225,12.67,11964416
1765901704738,5551022,4.16,11223040
1765901704840,5551022,0.00,10964992
1765901704941,5610906,7.40,11583488
1765901705041,5713509,12.79,11317248
1765901705143,5817089,12.75,12013568
1765901705244,5921454,12.81,12406784
1765901705345,6024350,12.80,12177408
1765901705446,6059024,4.27,11960320
1765901705547,6059024,0.00,11960320
1765901705649,6059024,0.00,11960320
1765901705751,6059024,0.00,11960320
1765901705854,6059024,0.00,11956224
1765901705956,6120249,7.48,12836864
1765901706057,6221751,12.61,13320192
1765901706158,6322188,12.46,13803520
1765901706258,6424816,12.79,12775424
1765901706359,6527197,12.71,13234176
1765901706460,6630002,12.72,13381632
1765901706560,6732447,12.74,14344192
1765901706661,6756839,3.03,13393920
1765901706762,6756839,0.00,13389824
1765901706863,6825975,8.51,13737984
1765901706964,6929780,12.90,14180352
1765901707069,7035712,12.59,14536704
1765901707170,7139217,12.83,15032320
1765901707274,7177755,4.62,14536704
1765901707382,7177755,0.00,14532608
1765901707488,7177755,0.00,14274560
1765901707592,7188184,1.25,14798848
1765901707693,7291591,12.75,15282176
1765901707795,7396665,12.92,15519744
1765901707902,7505728,12.74,15106048
1765901708003,7608429,12.76,15605760
1765901708103,7710702,12.68,15511552
1765901708209,7734037,2.76,15319040
1765901708315,7734037,0.00,15319040
1765901708417,7734037,0.00,15319040
1765901708524,7734127,0.01,15319040
1765901708627,7772505,4.66,15843328
1765901708729,7874978,12.58,16101376
1765901708829,7977997,12.77,16596992
1765901708930,8079130,12.58,16150528
1765901709031,8182934,12.82,16277504
1765901709132,8285086,12.65,16752640
1765901709234,8387748,12.61,16306176
1765901709335,8489455,12.58,16834560
