timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1765902688380,59450,7.34,565248
1765902688480,163842,12.98,634880
1765902688581,273093,13.55,925696
1765902688682,380268,13.28,561152
1765902688783,488955,13.46,520192
1765902688883,595612,13.27,667648
1765902688985,703567,13.32,688128
1765902689085,789513,10.68,217088
1765902689186,789513,0.00,204800
1765902689287,800453,1.36,471040
1765902689387,908370,13.43,1089536
1765902689488,1017422,13.49,602112
1765902689589,1126210,13.48,565248
1765902689689,1232777,13.28,1216512
1765902689791,1323585,11.19,1220608
1765902689891,1323585,0.00,741376
1765902689992,1323585,0.00,741376
1765902690092,1351756,3.51,679936
1765902690195,1462434,13.49,1499136
1765902690295,1570600,13.46,2285568
1765902690395,1678394,13.45,2326528
1765902690496,1787541,13.58,1732608
1765902690597,1895509,13.39,1835008
1765902690697,1968600,9.09,1404928
1765902690799,1968600,0.00,1404928
1765902690899,1968600,0.00,1404928
1765902691000,1968600,0.00,1404928
1765902691100,1992003,2.92,1658880
1765902691201,2101533,13.60,2600960
1765902691301,2205184,12.89,2252800
1765902691402,2310363,13.10,2301952
1765902691502,2418601,13.48,2084864
1765902691603,2525585,13.31,2416640
1765902691703,2632783,13.35,2588672
1765902691804,2742788,13.58,2363392
1765902691905,2826569,10.38,2740224
1765902692016,2826569,0.00,2473984
1765902692117,2856808,3.73,2850816
1765902692220,2967679,13.44,3387392
1765902692320,3076031,13.46,3198976
1765902692423,3184237,13.23,3538944
1765902692525,3291901,13.11,3526656
1765902692628,3390527,12.01,3022848
1765902692736,3390527,0.00,2772992
1765902692844,3390527,0.00,2772992
1765902692949,3466679,9.03,4149248
1765902693050,3574872,13.38,3944448
1765902693150,3681877,13.33,4272128
1765902693252,3792034,13.62,4046848
1765902693362,3910514,13.35,4411392
1765902693463,4019540,13.58,4796416
1765902693564,4108049,10.92,4509696
1765902693666,4108049,0.00,4505600
1765902693769,4108049,0.00,4505600
1765902693870,4108049,0.00,4030464
1765902693971,4199891,11.37,4554752
1765902694074,4308637,13.17,4714496
1765902694175,4417509,13.44,5369856
1765902694276,4523512,13.16,5267456
1765902694377,4635339,13.84,4714496
1765902694478,4742618,13.27,4624384
1765902694579,4848529,13.18,5042176
1765902694679,4956295,13.41,5062656
1765902694781,5055541,12.17,5447680
1765902694883,5055541,0.00,5439488
1765902694984,5063543,0.99,5378048
1765902695087,5173717,13.36,6549504
1765902695188,5280249,13.18,6160384
1765902695289,5387612,13.33,5873664
1765902695390,5496280,13.45,6119424
1765902695490,5600897,13.04,6332416
1765902695596,5680646,9.46,5914624
1765902695697,5680646,0.00,5914624
1765902695799,5709665,3.55,5922816
1765902695899,5818091,13.49,6946816
1765902696000,5926784,13.47,6365184
1765902696101,6035597,13.48,6594560
1765902696203,6145194,13.41,7393280
1765902696304,6253188,13.40,7004160
1765902696407,6363030,13.31,7184384
1765902696513,6433770,8.39,6815744
1765902696613,6433770,0.00,6811648
1765902696719,6433770,0.00,6807552
1765902696820,6473667,4.97,6991872
1765902696920,6579687,13.20,7593984
1765902697023,6689745,13.34,7892992
1765902697124,6796246,13.18,7794688
1765902697230,6907803,13.22,7876608
1765902697332,7016585,13.30,8208384
1765902697432,7123605,13.33,8327168
1765902697534,7230189,13.08,7876608
1765902697637,7338090,13.14,8290304
1765902697738,7432876,11.71,8204288
1765902697848,7432876,0.00,8200192
1765902697954,7456947,2.84,8720384
1765902698055,7566984,13.61,9154560
1765902698156,7674850,13.34,9506816
1765902698256,7782645,13.40,8847360
1765902698357,7889380,13.25,8773632
1765902698460,7996377,13.04,9666560
1765902698561,8097077,12.41,9162752
1765902698663,8097077,0.00,9154560
1765902698767,8097077,0.00,8949760
1765902698868,8171364,9.18,9818112
1765902698971,8281630,13.39,10158080
1765902699074,8394575,13.67,9965568
1765902699176,8499406,12.92,9609216
1765902699276,8607835,13.49,10108928
1765902699377,8714743,13.22,10100736
1765902699478,8821860,13.23,10719232
1765902699582,8923856,12.36,9572352
1765902699685,8923856,0.00,9572352
1765902699786,8928242,0.54,9830400
1765902699888,9038424,13.52,10407936
1765902699990,9142061,12.73,10358784
1765902700090,9253273,13.84,10952704
1765902700193,9362584,13.33,10305536
1765902700293,9468039,13.14,10375168
1765902700395,9577564,13.43,11362304
1765902700497,9683270,12.95,11468800
1765902700598,9790706,13.29,11104256
1765902700700,9897849,13.09,10764288
1765902700801,9990247,11.51,11141120
1765902700902,9990293,0.01,11137024
1765902701003,9998112,0.97,11661312
1765902701104,10104510,13.22,11755520
1765902701204,10209952,13.12,12005376
1765902701308,10323253,13.61,12374016
1765902701410,10430752,13.17,12476416
1765902701512,10538611,13.25,12083200
