timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1764070410733,0,0.00,0
1764070410834,0,0.00,0
1764070410939,0,0.00,0
1764070411057,0,0.00,0
1764070411170,0,0.00,0
1764070411280,0,0.00,0
1764070411383,0,0.00,0
1764070411487,0,0.00,0
1764070411589,0,0.00,0
1764070411725,0,0.00,0
1764070411827,0,0.00,0
1764070411935,0,0.00,0
1764070412038,0,0.00,0
1764070412141,0,0.00,0
1764070412244,0,0.00,0
1764070412371,0,0.00,0
1764070412472,0,0.00,0
1764070412581,0,0.00,0
1764070412681,0,0.00,0
1764070412786,0,0.00,0
1764070412892,0,0.00,0
1764070412993,0,0.00,0
1764070413100,0,0.00,0
1764070413210,0,0.00,0
1764070413317,6381,0.74,12955648
1764070413426,6381,0.00,12693504
1764070413541,6381,0.00,12693504
1764070413653,6381,0.00,12693504
1764070413757,6381,0.00,12693504
1764070413875,6381,0.00,12693504
1764070413977,6381,0.00,12693504
1764070414086,6381,0.00,12693504
1764070414187,6381,0.00,12693504
1764070414294,6381,0.00,12693504
1764070414399,6381,0.00,12693504
1764070414508,6381,0.00,12693504
1764070414609,6381,0.00,12693504
1764070414719,6381,0.00,12693504
1764070414819,6381,0.00,12693504
1764070414927,6381,0.00,12693504
1764070415030,6381,0.00,12693504
1764070415130,73724,8.39,13611008
1764070415232,176608,12.56,13611008
1764070415333,277778,12.60,13545472
1764070415440,384768,12.47,13807616
1764070415540,486484,12.68,14450688
1764070415642,587887,12.44,14450688
1764070415778,726237,12.71,14721024
1764070415880,828134,12.49,14721024
1764070415987,936467,12.69,15085568
1764070416087,1037006,12.51,14938112
1764070416193,1143132,12.61,15257600
1764070416293,1243022,12.39,15257600
1764070416398,1346993,12.44,16080896
1764070416499,1448039,12.48,16072704
1764070416599,1549598,12.65,16052224
1764070416700,1649586,12.45,16052224
1764070416801,1751703,12.64,16781312
1764070416901,1851341,12.39,17031168
1764070417002,1953447,12.63,17088512
1764070417108,2059398,12.62,17088512
1764070417214,2167309,12.68,17801216
1764070417325,2278352,12.49,17801216
1764070417434,2388038,12.61,17965056
1764070417536,2490786,12.49,17965056
1764070417638,2518139,3.38,17793024
1764070417744,2518139,0.00,17793024
1764070417848,2592380,8.90,18313216
1764070417950,2694040,12.38,18395136
1764070418051,2796146,12.68,18464768
1764070418152,2897072,12.48,18464768
1764070418252,2998823,12.69,19214336
1764070418354,3101659,12.59,19267584
1764070418462,3210585,12.61,19382272
1764070418563,3311263,12.52,19382272
1764070418663,3414314,12.84,20078592
1764070418765,3517316,12.56,20078592
1764070418866,3619343,12.63,20324352
1764070418967,3719968,12.49,20160512
1764070419068,3821742,12.67,20815872
1764070419169,3922949,12.48,20611072
1764070419269,4023909,12.55,20869120
1764070419373,4133856,13.35,21667840
1764070419473,4237599,12.86,22319104
1764070419575,4338617,12.48,22056960
1764070419676,4440742,12.65,22233088
1764070419789,4553790,12.48,22233088
1764070419890,4620128,8.19,22867968
1764070420001,4620128,0.00,22867968
1764070420107,4620128,0.00,22867968
1764070420208,4620128,0.00,22859776
1764070420313,4638411,2.18,22642688
1764070420414,4638411,0.00,22642688
1764070420523,4638411,0.00,22384640
1764070420625,4638411,0.00,22384640
1764070420732,4638411,0.00,22384640
1764070420842,4638411,0.00,22384640
1764070420952,4638411,0.00,22384640
1764070421053,4638411,0.00,22372352
1764070421154,4638411,0.00,22372352
1764070421261,4638411,0.00,22372352
1764070421364,4662373,2.91,22945792
1764070421466,4662373,0.00,22945792
1764070421569,4684554,2.72,23052288
1764070421674,4684554,0.00,22528000
1764070421775,4684554,0.00,22528000
1764070421878,4684554,0.00,22528000
1764070421980,4685161,0.07,22528000
1764070422088,4685535,0.04,22528000
1764070422207,4701938,1.73,22831104
1764070422321,4701938,0.00,22831104
1764070422426,4701938,0.00,22831104
1764070422533,4701938,0.00,22831104
1764070422634,4701938,0.00,22560768
1764070422758,4701938,0.00,22560768
1764070422864,4701938,0.00,22560768
1764070422965,4701938,0.00,22560768
1764070423065,4701938,0.00,22560768
1764070423171,4709213,0.86,22605824
1764070423273,4709213,0.00,22605824
1764070423374,4728015,2.33,23437312
1764070423475,4733036,0.62,22949888
1764070423589,4733036,0.00,22945792
1764070423690,4733036,0.00,22933504
1764070423804,4733036,0.00,22933504
1764070423905,4733036,0.00,22933504
1764070424016,4733036,0.00,22929408
1764070424118,4746631,1.65,22974464
1764070424226,4746631,0.00,22958080
1764070424330,4746631,0.00,22958080
1764070424434,4746631,0.00,22958080
1764070424538,4746631,0.00,22958080
1764070424643,4746631,0.00,22958080
1764070424744,4746631,0.00,22958080
1764070424864,4746631,0.00,22958080
1764070424965,4746631,0.00,22958080
1764070425068,4753230,0.81,23748608
1764070425168,4776565,2.90,23003136
1764070425269,4776565,0.00,22740992
1764070425370,4797350,2.57,23093248
1764070425491,4797350,0.00,23080960
1764070425592,4797350,0.00,23076864
1764070425694,4797350,0.00,23076864
1764070425797,4797350,0.00,23076864
1764070425901,4797350,0.00,23076864
1764070426002,4797350,0.00,23076864
1764070426107,4797350,0.00,23076864
1764070426211,4814670,2.07,23363584
1764070426312,4814670,0.00,23359488
1764070426421,4814670,0.00,23359488
1764070426526,4814670,0.00,23359488
1764070426627,4814670,0.00,22835200
1764070426732,4814670,0.00,22835200
1764070426834,4814670,0.00,22835200
1764070426941,4814670,0.00,22835200
1764070427042,4814670,0.00,22835200
1764070427147,4814670,0.00,22835200
1764070427248,4841965,3.38,23154688
1764070427356,4841965,0.00,22876160
