timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1766421241886,128361,15.95,724992
1766421241990,336108,25.08,2150400
1766421242094,548427,25.51,4083712
1766421242196,749327,24.63,5492736
1766421242301,932009,21.74,6139904
1766421242403,1060581,15.74,6897664
1766421242504,1233749,21.52,7823360
1766421242607,1441432,25.24,8523776
1766421242707,1607150,20.56,9232384
1766421242808,1741151,16.65,9113600
1766421242909,1885701,17.86,9629696
1766421243011,2035112,18.29,9175040
1766421243117,2141061,12.53,9248768
1766421243220,2299454,19.27,10608640
1766421243322,2475846,21.62,10637312
1766421243423,2666552,23.56,11444224
1766421243524,2797489,16.12,12562432
1766421243626,2934191,16.87,12251136
1766421243726,3052406,14.67,13336576
1766421243827,3281197,28.34,12951552
1766421243928,3408554,15.72,12816384
1766421244029,3510165,12.63,12591104
1766421244129,3621161,13.82,12857344
1766421244232,3722235,12.27,12615680
1766421244333,3823604,12.62,12902400
1766421244433,3850718,3.37,13172736
1766421244534,3952176,12.63,12943360
1766421244634,4054024,12.68,12947456
1766421244735,4156217,12.66,12963840
1766421244835,4257099,12.56,13074432
1766421244936,4357466,12.48,13352960
1766421245041,4380732,2.76,12865536
1766421245142,4380732,0.00,12865536
1766421245250,4380732,0.00,12865536
1766421245351,4380732,0.00,12865536
1766421245460,4380732,0.00,12865536
1766421245561,4380732,0.00,12607488
1766421245665,4380732,0.00,12607488
1766421245766,4380732,0.00,12607488
1766421245868,4380732,0.00,12607488
1766421245973,4380732,0.00,12607488
1766421246074,4380732,0.00,12607488
1766421246175,4380732,0.00,12607488
1766421246280,4380732,0.00,12607488
1766421246394,4380732,0.00,12607488
1766421246506,4380732,0.00,12607488
1766421246628,4380732,0.00,12607488
1766421246736,4380732,0.00,12607488
1766421246844,4380732,0.00,12607488
1766421246944,4380732,0.00,12599296
1766421247046,4380732,0.00,12599296
1766421247151,4380732,0.00,12599296
1766421247258,4380732,0.00,12599296
1766421247375,4380732,0.00,12599296
1766421247479,4380732,0.00,12599296
1766421247585,4380732,0.00,12599296
1766421247687,4380732,0.00,12599296
1766421247789,4380732,0.00,12599296
1766421247891,4380732,0.00,12599296
1766421248007,4380732,0.00,12599296
1766421248120,4380732,0.00,12599296
1766421248222,4381266,0.07,12713984
1766421248326,4381266,0.00,12713984
1766421248431,4381266,0.00,12713984
1766421248532,4381266,0.00,12693504
1766421248640,4381266,0.00,12693504
1766421248751,4381266,0.00,12693504
1766421248858,4381266,0.00,12693504
1766421248972,4381266,0.00,12693504
1766421249075,4381266,0.00,12693504
1766421249189,4381266,0.00,12693504
1766421249302,4381266,0.00,12693504
1766421249403,4471908,11.22,12767232
1766421249505,4583756,13.68,13860864
1766421249606,4694164,13.65,14753792
1766421249707,4802197,13.37,15073280
1766421249808,4908032,13.10,17235968
1766421249909,5011984,12.86,17076224
1766421250010,5124211,13.96,17866752
1766421250111,5229811,13.03,17588224
1766421250213,5333962,12.74,17604608
1766421250314,5440256,13.15,17608704
1766421250416,5577481,16.91,17989632
1766421250516,5684330,13.25,18030592
1766421250618,5788823,12.85,17805312
1766421250719,5893611,12.97,17674240
1766421250820,6014357,14.89,18751488
1766421250922,6209564,24.04,18776064
1766421251023,6322813,14.07,19124224
1766421251127,6482787,19.12,19406848
1766421251229,6694860,25.95,20078592
1766421251332,6814616,14.57,20140032
1766421251436,6917963,12.47,20258816
1766421251537,7019638,12.49,20418560
1766421251640,7122323,12.49,20598784
1766421251742,7259927,16.83,21962752
1766421251843,7431276,21.27,21614592
1766421251944,7586588,19.26,21868544
1766421252044,7794360,25.84,22265856
1766421252146,7916091,15.00,22769664
1766421252247,8028731,13.88,23388160
1766421252350,8162844,16.31,23064576
1766421252451,8336229,21.50,23695360
1766421252552,8442599,13.20,24424448
1766421252652,8625559,22.79,25436160
1766421252754,8811696,22.89,25837568
1766421252854,9012520,25.04,26562560
1766421252954,9146608,16.69,26984448
1766421253055,9295759,18.54,27553792
1766421253156,9400477,12.92,27463680
1766421253257,9566567,20.61,28504064
1766421253358,9763842,24.44,28876800
1766421253458,9963960,24.90,28680192
1766421253559,10166947,25.19,28930048
1766421253660,10326341,19.68,29048832
1766421253762,10438312,13.81,29335552
1766421253863,10546688,13.32,29548544
1766421253964,10663014,14.46,29585408
1766421254064,10822572,19.85,29499392
1766421254165,10929300,13.25,29552640
1766421254267,11034358,12.86,30425088
1766421254368,11138433,12.96,30273536
1766421254473,11309583,20.34,30818304
1766421254574,11418933,13.58,30306304
1766421254675,11524100,12.99,31014912
1766421254777,11633557,13.44,31047680
1766421254878,11734737,12.53,31055872
1766421254981,11818307,10.13,31076352
1766421255081,11922500,12.96,30830592
1766421255182,12029223,13.28,31358976
1766421255282,12135282,13.17,30629888
1766421255383,12246498,13.84,31465472
1766421255485,12353725,13.05,31256576
1766421255586,12395517,5.20,31531008
1766421255687,12395517,0.00,31256576
1766421255790,12395577,0.01,31023104
1766421255891,12395577,0.00,31023104
1766421255996,12395577,0.00,31023104
1766421256100,12395577,0.00,31023104
1766421256220,12395577,0.00,31023104
1766421256327,12395577,0.00,31023104
1766421256438,12395577,0.00,31023104
1766421256541,12395577,0.00,31023104
1766421256641,12395577,0.00,31023104
1766421256750,12395577,0.00,31023104
1766421256863,12395577,0.00,31023104
1766421256969,12395577,0.00,31023104
1766421257071,12395577,0.00,31023104
1766421257173,12395577,0.00,31023104
1766421257273,12395577,0.00,30801920
1766421257374,12395577,0.00,30801920
1766421257480,12395577,0.00,30801920
1766421257602,12395577,0.00,30801920
1766421257724,12395577,0.00,30801920
1766421257832,12395577,0.00,30801920
1766421257935,12395577,0.00,30801920
1766421258039,12395577,0.00,30801920
1766421258141,12395577,0.00,30801920
1766421258260,12395577,0.00,30801920
1766421258365,12395577,0.00,30801920
1766421258468,12395577,0.00,30801920
1766421258571,12395577,0.00,30801920
1766421258673,12395577,0.00,30801920
1766421258775,12395577,0.00,30801920
1766421258876,12395577,0.00,30801920
1766421258979,12395577,0.00,30801920
1766421259085,12395577,0.00,30801920
1766421259191,12395577,0.00,30801920
1766421259296,12395577,0.00,30801920
1766421259398,12395577,0.00,30801920
1766421259502,12395577,0.00,30801920
1766421259602,12395577,0.00,30801920
1766421259705,12395577,0.00,30801920
1766421259805,12395577,0.00,30801920
1766421259919,12395577,0.00,30801920
1766421260020,12395577,0.00,30801920
1766421260121,12441090,5.63,31072256
1766421260222,12547628,13.20,31137792
1766421260323,12654215,13.21,31277056
1766421260424,12761164,13.25,32124928
1766421260525,12865365,12.86,32481280
1766421260625,12967910,12.78,32358400
1766421260726,13077615,13.67,34013184
1766421260827,13182706,12.98,33972224
1766421260927,13286581,12.91,34148352
1766421261028,13392846,13.21,35139584
1766421261129,13502393,13.58,34734080
1766421261231,13604401,12.48,34996224
1766421261334,13712622,13.15,34525184
1766421261435,13812860,12.46,34791424
1766421261535,13957656,18.00,34906112
1766421261636,14064686,13.20,35532800
1766421261737,14175902,13.78,35848192
1766421261839,14339500,20.17,35602432
1766421261940,14527392,23.13,35651584
1766421262046,14641699,13.52,36257792
1766421262147,14752129,13.69,36089856
1766421262249,14854588,12.53,36093952
1766421262350,14961088,13.21,36261888
1766421262451,15062683,12.55,36331520
1766421262552,15162879,12.46,36470784
1766421262654,15265836,12.56,36380672
1766421262755,15369274,12.78,36208640
1766421262856,15580884,26.23,37416960
1766421262957,15827289,30.61,38432768
1766421263057,15998942,21.31,39043072
1766421263158,16113860,14.28,38248448
1766421263260,16249024,16.50,39096320
1766421263376,16381985,14.39,39014400
1766421263481,16507902,14.93,39104512
1766421263582,16630919,15.33,39530496
1766421263682,16759989,16.09,40759296
1766421263783,16860029,12.33,40108032
1766421263884,17052653,23.89,41267200
1766421263985,17251965,24.75,41738240
1766421264086,17442984,23.60,42278912
1766421264188,17551035,13.19,42311680
1766421264290,17688055,16.85,42975232
1766421264391,17841503,19.00,43925504
1766421264492,18060414,27.07,43405312
1766421264593,18317680,31.87,42942464
1766421264694,18535504,27.02,43196416
1766421264795,18745138,25.87,43089920
1766421264895,18996646,31.34,43380736
1766421264997,19131766,16.65,43864064
