timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1766160865057,25386,3.16,540672
1766160865158,134708,13.47,1355776
1766160865259,240493,13.13,3047424
1766160865359,351901,13.84,6897664
1766160865461,458718,13.17,6688768
1766160865563,567651,13.27,6942720
1766160865664,705125,17.14,8261632
1766160865764,805565,12.48,8081408
1766160865865,911075,13.13,8712192
1766160865965,1019235,13.47,9842688
1766160866065,1140894,15.16,9527296
1766160866166,1240224,12.37,9613312
1766160866266,1365683,15.59,10162176
1766160866367,1519260,19.09,11288576
1766160866473,1629027,12.92,10784768
1766160866574,1785438,19.43,11591680
1766160866674,1994407,26.04,13230080
1766160866775,2109921,14.29,12992512
1766160866876,2214529,12.97,13508608
1766160866976,2332389,14.64,15294464
1766160867077,2485575,19.06,15556608
1766160867177,2592814,13.34,15478784
1766160867279,2783285,23.52,17530880
1766160867379,3005856,27.75,18202624
1766160867479,3197957,23.90,19341312
1766160867580,3330020,16.41,19902464
1766160867681,3435224,13.03,21073920
1766160867782,3611558,21.83,22482944
1766160867883,3742240,16.20,22740992
1766160867984,3876620,16.59,22298624
1766160868086,4021314,17.67,23302144
1766160868187,4232950,26.30,24268800
1766160868287,4405003,21.41,24227840
1766160868388,4537366,16.48,24895488
1766160868489,4655716,14.68,24686592
1766160868589,4795617,17.39,24969216
1766160868690,4955870,19.93,25051136
1766160868790,5158160,25.07,25411584
1766160868907,5279896,13.03,25092096
1766160869008,5409911,16.19,25042944
1766160869108,5663587,31.60,24911872
1766160869208,5869564,25.67,25387008
1766160869309,6064864,24.32,25956352
1766160869409,6173688,13.54,25903104
1766160869510,6276155,12.72,26296320
1766160869610,6420348,17.92,26546176
1766160869711,6570930,18.75,26820608
1766160869811,6700679,16.16,26935296
1766160869912,6803754,12.78,26976256
1766160870012,6908428,13.05,27222016
1766160870113,6930294,2.72,27209728
1766160870219,6930294,0.00,27209728
1766160870321,6930294,0.00,27209728
1766160870422,6930294,0.00,27209728
1766160870522,6930294,0.00,27209728
1766160870629,6930294,0.00,26714112
1766160870730,6930294,0.00,26714112
1766160870830,6930294,0.00,26714112
1766160870939,6930294,0.00,26714112
1766160871040,6930294,0.00,26714112
1766160871144,6930294,0.00,26714112
1766160871244,6979797,6.16,27025408
1766160871345,7084596,12.95,28024832
1766160871450,7193011,12.92,27734016
1766160871565,7312269,12.91,28667904
1766160871666,7422777,13.76,29827072
1766160871770,7526782,12.55,30564352
1766160871870,7635452,13.52,31477760
1766160871971,7766116,16.23,31678464
1766160872073,7876607,13.51,31211520
1766160872173,7963429,10.80,31477760
1766160872274,8066165,12.76,31629312
1766160872378,8175535,13.15,31678464
1766160872479,8289664,14.14,31739904
1766160872579,8392457,12.78,31731712
1766160872686,8498903,12.54,31739904
1766160872786,8618609,14.86,32608256
1766160872887,8857973,29.71,32813056
1766160872988,9012224,19.14,33452032
1766160873090,9116247,12.68,33226752
1766160873191,9216222,12.43,33615872
1766160873295,9321051,12.58,34127872
1766160873396,9434005,14.02,35852288
1766160873496,9632118,24.56,36122624
1766160873597,9775211,17.82,36470784
1766160873701,9932595,18.81,37425152
1766160873802,10136124,25.30,37617664
1766160873905,10353961,26.39,38977536
1766160874006,10486381,16.42,39559168
1766160874113,10733474,28.90,39804928
1766160874213,10959045,28.10,39665664
1766160874314,11190227,28.71,40644608
1766160874414,11401518,26.31,41680896
1766160874515,11606254,25.49,41947136
1766160874616,11811485,25.31,42725376
1766160874717,11997140,22.94,42713088
1766160874844,12129140,13.01,42577920
1766160874958,12247682,12.98,42659840
1766160875058,12353385,13.17,42606592
1766160875161,12460907,13.13,43085824
1766160875262,12565746,12.96,42987520
1766160875365,12671227,12.78,43925504
1766160875466,12788384,14.52,43905024
1766160875567,12967718,22.29,43327488
1766160875667,13134917,20.77,43634688
1766160875770,13239842,12.71,43126784
1766160875871,13415040,21.81,43671552
1766160875972,13489904,9.25,43667456
1766160876076,13489904,0.00,43667456
1766160876177,13543965,6.70,43409408
