timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1766162825001,161214,19.84,782336
1766162825102,333092,21.25,1536000
1766162825203,434071,12.49,1515520
1766162825304,538025,12.82,1912832
1766162825405,638850,12.53,2019328
1766162825507,741394,12.53,2072576
1766162825611,845034,12.51,2138112
1766162825715,949867,12.63,2203648
1766162825816,1050686,12.43,2203648
1766162825917,1152590,12.60,2248704
1766162826017,1306753,19.19,2498560
1766162826122,1478422,20.52,2600960
1766162826223,1587550,13.57,2883584
1766162826323,1708184,14.99,3354624
1766162826425,1810305,12.52,3473408
1766162826528,1913775,12.56,3784704
1766162826631,2044010,15.83,3911680
1766162826750,2264317,23.08,3981312
1766162826855,2369172,12.50,4247552
1766162826956,2470365,12.52,4583424
1766162827057,2630652,19.81,4546560
1766162827158,2796580,20.58,4648960
1766162827259,2896872,12.46,4648960
1766162827359,2998075,12.55,5066752
1766162827460,3099985,12.62,5189632
1766162827561,3199655,12.41,5066752
1766162827669,3309136,12.64,5341184
1766162827780,3528634,24.74,5394432
1766162827885,3653642,14.87,5439488
1766162827996,3765193,12.55,5636096
1766162828106,3893299,14.52,6139904
1766162828207,4022962,16.15,6533120
1766162828307,4123664,12.53,6410240
1766162828422,4237993,12.45,6393856
1766162828525,4341478,12.51,6180864
1766162828628,4441921,12.23,6438912
1766162828732,4545587,12.51,6230016
1766162828836,4648584,12.33,6520832
1766162828937,4748410,12.37,6586368
1766162829040,4852561,12.58,6340608
1766162829141,4958717,13.19,8835072
1766162829246,5062811,12.44,8871936
1766162829346,5163680,12.55,8937472
1766162829447,5344357,22.37,9179136
1766162829547,5490884,18.23,8773632
1766162829655,5606034,13.37,9936896
1766162829755,5706131,12.47,9924608
1766162829856,5806678,12.53,9908224
1766162829960,5910430,12.48,9793536
1766162830069,6019785,12.51,10104832
1766162830173,6124096,12.50,9637888
1766162830274,6224942,12.50,9920512
1766162830375,6327794,12.72,10235904
1766162830476,6427641,12.34,9998336
1766162830578,6530725,12.66,9977856
1766162830679,6632512,12.63,9822208
1766162830782,6735471,12.50,10063872
1766162830887,6841119,12.58,9883648
1766162830987,6941631,12.51,10121216
1766162831088,7044144,12.76,10354688
1766162831188,7197813,19.14,10960896
1766162831289,7480726,34.99,10731520
1766162831390,7585538,12.98,10493952
1766162831490,7702352,14.56,10760192
1766162831591,7902053,24.88,10735616
1766162831693,8106884,24.97,10563584
1766162831794,8306688,24.83,10883072
1766162831898,8486161,21.57,10461184
1766162831998,8587806,12.65,10936320
1766162832099,8688468,12.53,10936320
1766162832202,8791800,12.50,10887168
1766162832303,8987305,24.17,11218944
1766162832403,9112626,15.60,11624448
1766162832506,9215748,12.53,12292096
1766162832609,9318432,12.51,13012992
1766162832721,9429905,12.48,13012992
1766162832821,9631977,25.06,13500416
1766162832924,9799899,20.47,13348864
1766162833025,9961536,19.99,13627392
1766162833126,10127295,20.57,13721600
1766162833226,10229079,12.64,13750272
1766162833331,10333256,12.49,13750272
1766162833432,10435038,12.55,13762560
1766162833533,10537201,12.61,13803520
1766162833650,10653994,12.52,13795328
1766162833751,10755089,12.56,13307904
1766162833853,10858405,12.57,13344768
1766162833954,10959194,12.52,13344768
1766162834055,11137793,22.20,13668352
1766162834155,11316988,22.27,13430784
1766162834260,11478959,19.34,14032896
1766162834361,11681709,25.15,13811712
1766162834461,11882406,24.99,14102528
1766162834562,12100146,27.06,14209024
1766162834662,12302686,25.22,14057472
1766162834762,12504000,25.07,14409728
1766162834863,12702529,24.71,14229504
1766162834968,12824103,14.42,14491648
1766162835069,13024329,24.89,14512128
1766162835170,13166751,17.57,14274560
1766162835271,13343004,21.84,14557184
1766162835371,13531264,23.41,14577664
1766162835472,13768446,29.54,15175680
1766162835573,13984522,26.72,15065088
1766162835674,14184627,24.69,14659584
1766162835782,14398533,24.87,14741504
1766162835882,14552349,19.17,15003648
1766162835983,14653473,12.50,14979072
1766162836085,14845321,23.62,15347712
1766162836186,15047395,24.95,15216640
1766162836287,15247919,24.77,15560704
1766162836387,15364304,14.50,15101952
1766162836491,15465988,12.28,15351808
1766162836591,15655924,23.64,15532032
1766162836692,15801145,18.08,15777792
1766162836795,15904776,12.59,15568896
1766162836901,16010440,12.42,15814656
1766162837002,16111442,12.50,15814656
1766162837104,16233084,14.86,15994880
1766162837210,16469494,27.97,17113088
1766162837311,16671892,24.96,17227776
1766162837412,16872018,24.87,17227776
1766162837540,17036313,16.03,17539072
1766162837644,17138755,12.33,17809408
1766162837745,17238652,12.42,17567744
1766162837845,17337989,12.34,17051648
1766162837946,17435040,12.02,17080320
1766162838047,17534707,12.33,17129472
1766162838148,17652972,14.65,18206720
1766162838249,17855788,24.98,17747968
1766162838351,17968055,13.76,17813504
1766162838458,18074051,12.42,17924096
1766162838559,18222308,18.40,18472960
1766162838660,18396217,21.55,19533824
1766162838760,18496714,12.47,19685376
1766162838866,18606932,13.00,20328448
1766162838968,18708828,12.49,20361216
1766162839069,18810836,12.71,20738048
1766162839169,18911710,12.55,19992576
1766162839270,19011597,12.43,20275200
1766162839409,19272173,23.33,20529152
1766162839515,19422541,17.82,20938752
1766162839616,19599404,21.83,20975616
1766162839717,19785283,22.95,21045248
1766162839818,19986564,24.98,21147648
1766162839918,20188643,25.17,20897792
1766162840019,20295368,13.28,21000192
1766162840119,20514370,27.20,22011904
1766162840229,20942246,48.61,21352448
1766162840336,21171877,26.96,21671936
1766162840436,21472043,37.38,21905408
1766162840537,21689174,27.05,21700608
1766162840637,21997809,38.30,22306816
1766162840738,22391190,48.84,21925888
1766162840842,22625349,28.19,21991424
1766162840945,22866952,29.32,22605824
1766162841045,23067044,24.91,22007808
1766162841146,23318023,31.19,22515712
1766162841247,23617753,37.21,22323200
1766162841347,23729990,13.94,22306816
1766162841448,23936887,25.71,22351872
1766162841548,24228989,36.30,22810624
1766162841660,24606307,42.18,23171072
1766162841761,24905820,37.25,23191552
1766162841861,25124133,27.13,23203840
1766162841962,25420007,36.67,23240704
1766162842063,25649325,28.51,22814720
1766162842168,25921564,32.21,23916544
1766162842269,26140738,27.25,23433216
1766162842380,26363134,25.08,23441408
1766162842486,26650384,33.84,23461888
1766162842592,26793951,16.92,23482368
1766162842693,26956687,20.16,23248896
1766162842795,27161281,25.02,23269376
1766162842897,27363375,24.81,23265280
1766162842997,27562108,24.74,23035904
1766162843099,27747496,22.83,23035904
1766162843199,27889407,17.66,22962176
1766162843309,28000217,12.66,23240704
1766162843410,28102048,12.55,23261184
1766162843511,28199156,12.07,23818240
1766162843612,28382695,22.68,23539712
1766162843715,28503166,14.63,23547904
1766162843818,28606543,12.47,23330816
1766162843922,28709674,12.45,23580672
1766162844023,28811031,12.55,23404544
1766162844124,28909628,12.24,23138304
1766162844224,29010579,12.58,23388160
1766162844329,29116052,12.57,23183360
1766162844430,29217181,12.51,23404544
1766162844531,29317752,12.50,23465984
1766162844632,29419792,12.56,23220224
1766162844735,29522801,12.53,23441408
1766162844836,29624600,12.57,23269376
1766162844937,29725212,12.50,23482368
1766162845037,29826112,12.56,23519232
1766162845138,29995219,20.95,23285760
1766162845238,30145428,18.70,23543808
1766162845341,30270714,15.30,23560192
1766162845442,30389772,14.75,23318528
1766162845547,30494640,12.50,23572480
1766162845647,30596220,12.59,23642112
1766162845749,30697527,12.49,23633920
1766162845849,30845797,18.41,23896064
1766162845950,31148025,37.55,23900160
1766162846051,31270052,15.07,23678976
1766162846153,31428985,19.62,23711744
1766162846253,31602287,21.48,23769088
1766162846354,31803876,25.02,23875584
1766162846456,31967534,20.13,24363008
1766162846556,32267363,37.30,24825856
1766162846657,32469572,25.10,24743936
1766162846757,32670268,24.99,24526848
1766162846858,32872791,25.13,24580096
1766162846959,33073014,24.86,24862720
1766162847060,33277176,25.25,24911872
1766162847161,33478907,24.99,24678400
1766162847265,33688928,25.17,25018368
1766162847366,33877710,23.38,25296896
1766162847467,33999976,15.16,25341952
1766162847568,34200299,24.80,24842240
1766162847670,34303445,12.58,25210880
1766162847774,34407689,12.58,25260032
1766162847874,34507984,12.44,25296896
1766162847978,34612479,12.58,25575424
1766162848083,34717324,12.50,25575424
1766162848184,34911574,24.09,25849856
1766162848285,35037648,15.65,25120768
1766162848385,35162238,15.49,25608192
1766162848486,35371926,26.03,26378240
1766162848587,35673365,37.35,27435008
1766162848688,35809481,16.82,27742208
1766162848796,35918003,12.56,27791360
1766162848897,36019152,12.51,27807744
1766162848999,36120252,12.41,27566080
1766162849100,36221930,12.62,27942912
1766162849205,36330287,12.82,27963392
1766162849310,36434767,12.51,27742208
1766162849412,36538262,12.65,28278784
1766162849512,36638879,12.51,28078080
1766162849616,36742729,12.49,27848704
1766162849720,36847959,12.66,28643328
1766162849822,36949811,12.53,28164096
1766162849925,37056405,12.93,28745728
1766162850026,37157656,12.50,28499968
1766162850127,37259397,12.67,29044736
1766162850228,37360795,12.52,28291072
1766162850329,37461077,12.44,28102656
1766162850435,37570818,12.92,28450816
1766162850538,37674651,12.54,28217344
1766162850645,37784291,12.84,28471296
1766162850747,37885481,12.44,28483584
1766162850848,37987264,12.52,28241920
1766162850955,38096020,12.79,28680192
1766162851058,38199753,12.53,28192768
1766162851162,38306587,12.81,29040640
1766162851266,38410158,12.50,28549120
1766162851366,38525119,14.27,29212672
1766162851471,38663118,16.46,28954624
1766162851572,38764552,12.54,28729344
1766162851675,38870638,12.93,29356032
1766162851776,38970797,12.44,28663808
1766162851877,39077100,13.13,29511680
1766162851977,39177165,12.44,28758016
1766162852081,39281167,12.56,28766208
1766162852186,39388836,12.85,29646848
1766162852288,39491216,12.52,29171712
1766162852388,39593467,12.71,29356032
1766162852489,39694511,12.56,29372416
1766162852590,39795495,12.53,29679616
1766162852695,39903249,12.81,29745152
1766162852796,40004473,12.49,29523968
1766162852899,40110314,12.82,29921280
1766162853001,40211044,12.42,29687808
1766162853102,40314816,12.85,30351360
1766162853203,40416414,12.50,30081024
1766162853305,40517603,12.47,29679616
1766162853406,40633606,14.25,29741056
1766162853507,40888818,31.75,30580736
1766162853608,41075207,23.08,30126080
1766162853711,41178367,12.49,30093312
