timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1766420317949,0,0.00,0
1766420318063,0,0.00,0
1766420318164,0,0.00,0
1766420318269,0,0.00,0
1766420318391,0,0.00,0
1766420318494,0,0.00,0
1766420318597,0,0.00,0
1766420318699,0,0.00,0
1766420318804,0,0.00,0
1766420318905,0,0.00,0
1766420319009,0,0.00,0
1766420319114,0,0.00,0
1766420319220,0,0.00,0
1766420319332,0,0.00,0
1766420319451,0,0.00,0
1766420319566,0,0.00,0
1766420319666,0,0.00,0
1766420319767,0,0.00,0
1766420319870,0,0.00,0
1766420319976,0,0.00,0
1766420320096,0,0.00,0
1766420320198,69295,8.51,937984
1766420320298,175235,13.19,1908736
1766420320399,290249,14.21,5636096
1766420320500,400180,13.63,6111232
1766420320601,522843,15.18,6295552
1766420320703,628230,12.93,7135232
1766420320806,738090,13.28,7180288
1766420320908,841027,12.69,7213056
1766420321008,994097,19.06,8966144
1766420321114,1144983,17.75,9216000
1766420321216,1286066,17.26,9547776
1766420321322,1442287,18.45,9056256
1766420321429,1641474,23.38,10620928
1766420321530,1846249,25.29,12132352
1766420321630,1948560,12.73,12013568
1766420321731,2049098,12.52,12247040
1766420321831,2149804,12.52,12787712
1766420321932,2272778,15.27,15257600
1766420322036,2481956,25.18,14508032
1766420322136,2673925,23.88,15499264
1766420322237,2829823,19.36,15777792
1766420322340,3049931,26.74,18046976
1766420322450,3219477,19.20,18763776
1766420322551,3419023,24.77,19181568
1766420322660,3616073,22.56,19722240
1766420322769,3766963,17.30,20852736
1766420322873,3872237,12.66,20402176
1766420322974,3973485,12.55,20905984
1766420323088,4125795,16.63,21819392
1766420323189,4307446,22.62,22564864
1766420323291,4509978,24.69,22102016
1766420323396,4722645,25.45,22806528
1766420323497,4912853,23.50,23433216
1766420323600,5021118,13.14,24076288
1766420323702,5093519,8.86,23535616
1766420323803,5144842,6.39,23547904
1766420323903,5233691,11.01,23642112
1766420324020,5233691,0.00,23363584
1766420324123,5233691,0.00,23363584
1766420324230,5233691,0.00,23363584
1766420324330,5295414,7.67,23941120
1766420324432,5382630,10.75,23732224
1766420324534,5382630,0.00,23453696
1766420324637,5382630,0.00,23453696
1766420324746,5382630,0.00,23429120
1766420324848,5382630,0.00,23429120
1766420324952,5382630,0.00,23429120
1766420325058,5382630,0.00,23429120
1766420325164,5382630,0.00,23429120
1766420325266,5382630,0.00,23429120
1766420325376,5382630,0.00,23429120
1766420325478,5382630,0.00,23429120
1766420325594,5382630,0.00,23429120
1766420325702,5382630,0.00,23429120
1766420325813,5382630,0.00,23429120
1766420325914,5382630,0.00,23429120
1766420326015,5382630,0.00,23429120
1766420326125,5382630,0.00,23429120
1766420326230,5382630,0.00,23429120
1766420326332,5382630,0.00,23429120
1766420326432,5382630,0.00,23429120
1766420326533,5382630,0.00,23429120
1766420326644,5382630,0.00,23429120
1766420326765,5383213,0.06,23691264
1766420326867,5383213,0.00,23691264
1766420326967,5383213,0.00,23691264
1766420327068,5383213,0.00,23691264
1766420327169,5383213,0.00,23691264
1766420327269,5383213,0.00,23506944
1766420327370,5383213,0.00,23506944
1766420327470,5383213,0.00,23506944
1766420327584,5383213,0.00,23506944
1766420327688,5383213,0.00,23506944
1766420327791,5383213,0.00,23506944
1766420327899,5383213,0.00,23506944
1766420327999,5383213,0.00,23506944
1766420328100,5383213,0.00,23506944
1766420328212,5383213,0.00,23506944
1766420328320,5383213,0.00,23506944
1766420328428,5383213,0.00,23506944
1766420328531,5406672,2.85,24031232
1766420328633,5511035,12.71,23838720
1766420328734,5614947,12.84,24477696
1766420328837,5720881,12.96,25821184
1766420328937,5819041,12.23,26054656
1766420329038,5925403,13.12,28020736
1766420329140,6029354,12.83,28409856
1766420329240,6135723,13.21,28655616
1766420329341,6280578,18.03,28426240
