timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1766158350573,81296,10.07,729088
1766158350674,186729,13.05,2269184
1766158350774,303996,14.61,5853184
1766158350875,425326,15.07,6987776
1766158350979,536002,13.29,6856704
1766158351080,639091,12.82,7053312
1766158351180,761979,15.30,8384512
1766158351282,865418,12.69,8228864
1766158351384,988899,15.12,9302016
1766158351500,1154039,17.73,9834496
1766158351602,1255881,12.49,10108928
1766158351702,1434443,22.26,11022336
1766158351803,1622364,23.39,12464128
1766158351903,1729830,13.36,12779520
1766158352005,1840971,13.70,12099584
1766158352108,1944116,12.54,12201984
1766158352210,2067043,15.07,13729792
1766158352311,2198373,16.23,14462976
1766158352412,2425518,28.13,15355904
1766158352512,2603638,22.16,17162240
1766158352614,2729333,15.43,17674240
1766158352715,2829901,12.50,19124224
1766158352815,3016872,23.28,20426752
1766158352917,3148314,16.17,21864448
1766158353017,3279967,16.38,22507520
1766158353118,3403214,15.34,23592960
1766158353218,3513729,13.75,23912448
1766158353319,3674400,19.92,23724032
1766158353421,3780657,12.93,23576576
1766158353522,3883038,12.75,23867392
1766158353624,4001541,14.50,24539136
1766158353727,4143080,17.19,25595904
1766158353829,4244900,12.53,25153536
1766158353931,4403251,19.33,25227264
1766158354031,4567119,20.41,24788992
1766158354132,4669688,12.77,25038848
1766158354233,4771285,12.60,25116672
1766158354335,4836478,7.93,24854528
1766158354436,4836478,0.00,24850432
1766158354539,4836478,0.00,24850432
1766158354639,4836478,0.00,24829952
1766158354755,4836478,0.00,24829952
1766158354858,4836478,0.00,24829952
1766158354959,4938777,12.67,25153536
1766158355062,5044782,12.89,25743360
1766158355163,5150136,13.00,27172864
1766158355265,5258656,13.29,27979776
1766158355368,5370136,13.63,28921856
1766158355468,5480600,13.72,30216192
1766158355574,5621313,16.68,29700096
1766158355676,5722951,12.47,29675520
1766158355776,5825061,12.70,29696000
1766158355878,5928972,12.71,29749248
1766158355980,6032280,12.74,30076928
1766158356082,6144364,13.70,30064640
1766158356184,6246203,12.51,30064640
1766158356286,6349849,12.64,29855744
1766158356388,6495170,17.79,30580736
1766158356489,6644765,18.49,30654464
1766158356590,6848903,25.39,30470144
1766158356699,7064534,24.58,31440896
1766158356800,7202193,17.15,31723520
1766158356900,7302589,12.51,31870976
1766158357000,7402568,12.47,32092160
1766158357103,7504426,12.42,31719424
1766158357203,7606269,12.70,31989760
1766158357306,7763554,19.16,33038336
1766158357406,7963195,24.83,34181120
1766158357507,8156103,23.84,34291712
1766158357608,8324360,20.90,34951168
1766158357709,8429351,13.02,35516416
1766158357809,8533321,12.90,35368960
1766158357910,8640737,13.38,35659776
1766158358010,8744512,12.93,35758080
1766158358111,8950140,25.48,37310464
1766158358214,9159263,25.43,37126144
1766158358314,9353914,24.22,37691392
1766158358415,9490503,16.98,38809600
1766158358515,9694406,25.35,39874560
1766158358616,9947535,31.36,40103936
1766158358717,10094345,18.22,41336832
1766158358818,10196136,12.64,40841216
1766158358930,10462738,29.57,41750528
1766158359031,10625518,20.22,41840640
1766158359135,10913107,34.57,42020864
1766158359237,11060080,18.03,41353216
1766158359337,11167767,13.38,42307584
1766158359439,11271998,12.85,42110976
1766158359540,11374047,12.63,42295296
1766158359642,11481451,13.08,42004480
1766158359743,11584288,12.80,42287104
1766158359847,11656308,8.63,42274816
1766158359950,11656308,0.00,42274816
1766158360051,11656308,0.00,42274816
1766158360152,11656308,0.00,42274816
1766158360257,11656308,0.00,42274816
1766158360363,11656308,0.00,42274816
1766158360464,11656308,0.00,42274816
1766158360574,11656308,0.00,42274816
1766158360677,11656308,0.00,42016768
1766158360779,11759181,12.59,42315776
1766158360880,11862554,12.84,42979328
1766158360981,11967278,12.88,43978752
1766158361083,12069323,12.59,43524096
1766158361183,12170703,12.64,43380736
1766158361284,12278401,13.37,45109248
1766158361386,12383757,12.89,45510656
1766158361502,12511100,13.75,46518272
1766158361602,12620310,13.59,46018560
1766158361703,12762784,17.71,45760512
1766158361803,12864338,12.62,45776896
1766158361905,12965144,12.43,45772800
1766158362005,13067118,12.66,46080000
1766158362106,13167910,12.55,45862912
1766158362206,13287827,14.86,46575616
1766158362308,13468549,22.27,46661632
1766158362409,13585117,14.41,46669824
1766158362509,13686747,12.66,46411776
1766158362610,13786520,12.42,46710784
1766158362712,13890740,12.76,46555136
1766158362813,13992443,12.55,46886912
1766158362914,14137728,18.04,47132672
1766158363015,14333293,24.21,46997504
1766158363116,14494802,20.02,48574464
1766158363216,14648445,19.06,48435200
1766158363329,14767317,13.24,48447488
1766158363430,14967499,24.77,49078272
1766158363531,15135038,20.74,49000448
1766158363632,15303127,20.82,49610752
1766158363733,15505737,25.05,49647616
1766158363834,15705570,24.73,49942528
1766158363935,15906758,24.91,50442240
1766158364038,16029547,14.82,50520064
1766158364140,16131525,12.55,50663424
1766158364240,16251852,14.97,52072448
1766158364341,16446581,24.20,51818496
1766158364442,16580466,16.59,52506624
1766158364544,16708674,15.68,52436992
1766158364646,16880247,21.04,53280768
1766158364747,16985763,13.11,52719616
1766158364847,17140843,19.25,53469184
1766158364948,17247869,13.27,54267904
1766158365049,17349890,12.61,53776384
1766158365152,17501265,18.47,54030336
1766158365253,17804533,37.43,54190080
1766158365354,17968426,20.30,54431744
1766158365459,18075536,12.79,54673408
1766158365567,18293854,25.22,55709696
1766158365668,18453811,19.86,56012800
1766158365773,18559484,12.53,56025088
1766158365874,18663313,12.83,56422400
1766158365976,18857865,23.91,57126912
1766158366077,19060739,25.16,56807424
1766158366177,19264205,25.34,56938496
1766158366278,19467909,25.23,57315328
1766158366378,19654194,23.24,58736640
1766158366479,19755847,12.61,58515456
1766158366581,19910855,18.99,58503168
1766158366683,20014176,12.65,58298368
1766158366784,20117213,12.82,58343424
1766158366900,20252332,14.46,59449344
1766158367001,20352999,12.53,58847232
1766158367105,20486776,16.00,59060224
1766158367213,20641757,17.94,59006976
1766158367315,20747883,12.99,59305984
1766158367416,20848793,12.54,60166144
1766158367520,20989404,16.96,60235776
1766158367622,21112652,15.05,60305408
1766158367722,21214380,12.66,61259776
1766158367823,21319101,13.04,61468672
1766158367923,21429217,13.70,61108224
1766158368024,21551377,15.16,61370368
1766158368125,21690266,17.12,61108224
1766158368226,21793084,12.78,60854272
1766158368326,21893039,12.42,61116416
1766158368431,21998411,12.56,61116416
1766158368535,22102975,12.61,61108224
1766158368635,22205299,12.73,60915712
1766158368736,22310379,13.10,61149184
1766158368836,22412312,12.68,61132800
1766158368937,22514035,12.64,60887040
1766158369038,22615288,12.53,60899328
1766158369142,22720637,12.69,61116416
1766158369251,22831576,12.69,60870656
1766158369352,22988991,19.52,61153280
1766158369452,23086609,12.13,60907520
1766158369553,23185209,12.25,60907520
1766158369666,23299450,12.56,61177856
1766158369767,23400032,12.52,61181952
1766158369868,23501298,12.52,61218816
1766158369979,23611950,12.49,61222912
1766158370080,23811313,24.58,62148608
1766158370185,24016829,24.48,61992960
1766158370287,24125712,13.41,61915136
1766158370388,24329992,25.19,62935040
1766158370492,24446515,14.00,62976000
1766158370592,24612796,20.72,62382080
1766158370693,24816389,25.36,62984192
1766158370794,25020901,25.27,63008768
