timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1766156209791,86361,10.74,2744320
1766156209891,258205,21.43,6127616
1766156210006,294203,3.93,6115328
1766156210118,294203,0.00,6094848
1766156210228,296743,0.29,6135808
1766156210332,296743,0.00,6131712
1766156210439,296743,0.00,6131712
1766156210544,296743,0.00,6131712
1766156210656,296743,0.00,6131712
1766156210760,296743,0.00,6131712
1766156210862,296743,0.00,6131712
1766156210965,296743,0.00,6131712
1766156211067,296743,0.00,6131712
1766156211171,296743,0.00,6131712
1766156211284,296743,0.00,6131712
1766156211386,296743,0.00,6131712
1766156211489,296743,0.00,6131712
1766156211594,296743,0.00,6131712
1766156211697,296743,0.00,6131712
1766156211797,296743,0.00,6131712
1766156211899,296743,0.00,6131712
1766156212002,296743,0.00,6131712
1766156212104,296743,0.00,6131712
1766156212204,296743,0.00,6131712
1766156212305,305111,1.04,6189056
1766156212407,305111,0.00,6189056
1766156212509,319040,1.70,6311936
1766156212611,319040,0.00,6303744
1766156212712,325859,0.85,6356992
1766156212817,325859,0.00,6352896
1766156212924,325859,0.00,6352896
1766156213031,325859,0.00,6348800
1766156213138,325859,0.00,6348800
1766156213239,325859,0.00,6348800
1766156213348,325859,0.00,6348800
1766156213449,325859,0.00,6348800
1766156213549,331500,0.70,6377472
1766156213661,331500,0.00,6377472
1766156213766,331500,0.00,6377472
1766156213871,331500,0.00,6377472
1766156213983,331500,0.00,6377472
1766156214089,331500,0.00,6377472
1766156214206,331500,0.00,6377472
1766156214307,331500,0.00,6377472
1766156214408,331500,0.00,6377472
1766156214519,331615,0.01,6377472
1766156214620,455848,15.44,7700480
1766156214721,598288,17.60,9580544
1766156214821,598288,0.00,9576448
1766156214926,604100,0.69,9588736
1766156215027,604100,0.00,9584640
1766156215129,604100,0.00,9584640
1766156215230,604100,0.00,9584640
1766156215333,604100,0.00,9584640
1766156215434,608928,0.60,9887744
1766156215534,616389,0.93,9662464
1766156215636,616389,0.00,9658368
1766156215737,616791,0.05,9658368
1766156215839,616791,0.00,9658368
1766156215940,616791,0.00,9658368
1766156216042,616791,0.00,9658368
1766156216147,616791,0.00,9658368
1766156216254,616791,0.00,9658368
1766156216355,616791,0.00,9658368
1766156216467,616791,0.00,9658368
1766156216568,616791,0.00,9658368
1766156216669,616791,0.00,9658368
1766156216772,616791,0.00,9658368
1766156216879,616791,0.00,9658368
1766156216985,616791,0.00,9658368
1766156217086,624775,0.99,9715712
1766156217186,624775,0.00,9715712
1766156217302,624775,0.00,9715712
1766156217409,631192,0.75,9781248
1766156217516,631192,0.00,9781248
1766156217617,631192,0.00,9777152
1766156217719,631192,0.00,9777152
1766156217822,631192,0.00,9777152
1766156217923,631192,0.00,9777152
1766156218024,631192,0.00,9777152
1766156218125,636573,0.67,9830400
1766156218232,636573,0.00,9826304
1766156218334,636573,0.00,9826304
1766156218441,636573,0.00,9826304
1766156218547,636573,0.00,9826304
1766156218654,636573,0.00,9826304
1766156218770,636573,0.00,9826304
1766156218878,636573,0.00,9826304
1766156218978,636573,0.00,9822208
1766156219091,636573,0.00,9822208
1766156219192,731092,11.76,11268096
1766156219292,900918,21.10,13246464
1766156219406,921984,2.31,13135872
1766156219511,921984,0.00,12886016
1766156219616,924388,0.29,12890112
1766156219716,924388,0.00,12886016
1766156219822,924388,0.00,12886016
1766156219924,924388,0.00,12886016
1766156220025,924388,0.00,12886016
1766156220128,924388,0.00,12886016
1766156220231,924388,0.00,12886016
1766156220337,924388,0.00,12886016
1766156220445,924388,0.00,12886016
1766156220546,924388,0.00,12886016
1766156220655,924388,0.00,12886016
1766156220773,924388,0.00,12886016
1766156220884,924388,0.00,12886016
1766156220992,924388,0.00,12886016
1766156221096,924593,0.02,12886016
1766156221198,925224,0.08,12886016
1766156221301,925224,0.00,12886016
1766156221406,925289,0.01,12886016
1766156221506,925289,0.00,12886016
1766156221613,925289,0.00,12886016
1766156221714,933055,0.96,12935168
1766156221815,933055,0.00,12931072
1766156221916,938968,0.74,13271040
1766156222017,938968,0.00,13012992
1766156222119,938968,0.00,13012992
1766156222225,938968,0.00,13012992
1766156222326,938968,0.00,13012992
1766156222428,938968,0.00,13012992
1766156222546,938968,0.00,13012992
1766156222651,938968,0.00,13012992
1766156222767,938968,0.00,13012992
1766156222873,938968,0.00,13012992
1766156222988,938968,0.00,13012992
1766156223093,938968,0.00,13012992
1766156223208,938968,0.00,13012992
1766156223339,938968,0.00,13012992
1766156223449,938968,0.00,13012992
1766156223550,1024682,10.66,13701120
1766156223651,1203635,22.17,15888384
1766156223751,1227140,2.92,15659008
1766156223852,1227140,0.00,15654912
1766156223961,1230891,0.43,15687680
1766156224066,1230891,0.00,15687680
1766156224167,1230891,0.00,15687680
1766156224269,1230891,0.00,15687680
1766156224372,1230891,0.00,15687680
1766156224472,1230891,0.00,15687680
1766156224577,1230891,0.00,15687680
1766156224679,1230891,0.00,15687680
1766156224780,1230936,0.01,15687680
1766156224881,1230936,0.00,15687680
1766156224984,1230936,0.00,15687680
1766156225087,1230936,0.00,15687680
1766156225192,1230936,0.00,15687680
1766156225301,1230936,0.00,15687680
1766156225404,1230936,0.00,15687680
1766156225508,1230936,0.00,15687680
1766156225612,1230936,0.00,15687680
1766156225718,1230936,0.00,15687680
1766156225820,1230936,0.00,15687680
1766156225921,1231770,0.10,15687680
1766156226023,1231967,0.02,15949824
1766156226126,1240938,1.09,15761408
1766156226231,1240981,0.01,15749120
1766156226332,1251007,1.24,15814656
1766156226441,1251007,0.00,15814656
1766156226543,1255466,0.55,15847424
1766156226652,1255466,0.00,15843328
1766156226759,1263068,0.88,15912960
1766156226860,1263068,0.00,15912960
1766156226971,1263068,0.00,15912960
1766156227090,1263068,0.00,15912960
1766156227201,1263068,0.00,15912960
1766156227314,1263068,0.00,15912960
1766156227422,1263068,0.00,15912960
1766156227525,1263068,0.00,15912960
1766156227636,1263068,0.00,15912960
1766156227745,1263068,0.00,15908864
1766156227855,1263068,0.00,15908864
1766156227967,1263068,0.00,15908864
1766156228068,1263068,0.00,15908864
1766156228185,1263068,0.00,15908864
1766156228286,1265053,0.25,16187392
1766156228387,1405217,17.38,18202624
1766156228487,1579426,21.67,19755008
1766156228593,1585572,0.73,19521536
1766156228694,1585572,0.00,19521536
1766156228795,1587369,0.22,19542016
1766156228902,1587369,0.00,19542016
1766156229003,1587369,0.00,19505152
1766156229103,1587369,0.00,19501056
1766156229206,1587369,0.00,19501056
1766156229308,1587369,0.00,19501056
1766156229415,1587409,0.00,19501056
1766156229521,1587409,0.00,19501056
1766156229631,1587409,0.00,19501056
1766156229741,1587409,0.00,19501056
1766156229841,1587409,0.00,19501056
1766156229946,1587409,0.00,19501056
1766156230056,1587409,0.00,19501056
1766156230159,1587409,0.00,19501056
1766156230262,1587409,0.00,19501056
1766156230363,1700303,14.03,20754432
1766156230463,1877428,22.07,23097344
1766156230568,1904822,3.26,23154688
1766156230671,1904822,0.00,23154688
1766156230772,1910424,0.69,23191552
1766156230873,1910424,0.00,23191552
1766156230975,1910424,0.00,23191552
1766156231076,1910424,0.00,23191552
1766156231184,1910424,0.00,23191552
1766156231294,1910424,0.00,23191552
1766156231405,1910424,0.00,23191552
1766156231507,1910424,0.00,23191552
1766156231625,1910424,0.00,23191552
1766156231725,1910644,0.03,23191552
1766156231834,1910644,0.00,23191552
1766156231942,1910644,0.00,23191552
1766156232050,1910644,0.00,23191552
1766156232153,1910644,0.00,23191552
1766156232254,1910644,0.00,23154688
1766156232368,1910644,0.00,23154688
1766156232484,1910644,0.00,23154688
1766156232586,1910644,0.00,23154688
1766156232690,1910644,0.00,23154688
1766156232794,1910644,0.00,23154688
1766156232920,1918119,0.74,23207936
1766156233020,1918119,0.00,23207936
1766156233121,1924277,0.77,23261184
1766156233221,1924518,0.03,23261184
1766156233322,1924518,0.00,23257088
1766156233423,1924518,0.00,23257088
1766156233531,1924518,0.00,23257088
1766156233637,1924518,0.00,23257088
1766156233738,1924518,0.00,23257088
1766156233850,1924518,0.00,23257088
1766156233965,1924518,0.00,23257088
1766156234076,1924518,0.00,23252992
1766156234180,1924518,0.00,23252992
1766156234281,1924518,0.00,23252992
1766156234383,1924518,0.00,23252992
1766156234491,1924518,0.00,23252992
1766156234592,1924518,0.00,23252992
1766156234694,1968072,5.36,23556096
1766156234794,2112826,17.96,25018368
1766156234898,2206696,11.33,26288128
1766156235003,2206943,0.03,26198016
1766156235104,2211913,0.61,26460160
1766156235222,2211965,0.01,26206208
1766156235323,2211965,0.00,26206208
1766156235425,2211965,0.00,26206208
1766156235530,2211965,0.00,26206208
1766156235631,2211965,0.00,26206208
1766156235736,2211965,0.00,26206208
1766156235847,2211965,0.00,26206208
1766156235957,2211965,0.00,26206208
1766156236068,2211965,0.00,26206208
1766156236172,2211965,0.00,26206208
1766156236273,2211965,0.00,26206208
1766156236374,2211965,0.00,26206208
1766156236477,2211965,0.00,26206208
1766156236585,2211965,0.00,26206208
1766156236688,2211965,0.00,26206208
1766156236788,2211965,0.00,26206208
1766156236893,2211965,0.00,26206208
1766156236994,2211965,0.00,26206208
1766156237099,2211965,0.00,26206208
1766156237202,2211965,0.00,26206208
1766156237314,2220060,0.90,26267648
1766156237418,2220060,0.00,26263552
1766156237519,2226964,0.85,26312704
1766156237623,2226964,0.00,26312704
1766156237729,2226964,0.00,26312704
1766156237835,2226964,0.00,26312704
1766156237952,2227170,0.02,26312704
1766156238063,2227170,0.00,26312704
1766156238164,2227170,0.00,26312704
1766156238267,2227170,0.00,26312704
1766156238379,2227170,0.00,26312704
1766156238480,2227170,0.00,26312704
1766156238584,2227170,0.00,26312704
1766156238690,2227170,0.00,26312704
1766156238791,2227170,0.00,26312704
1766156238892,2227170,0.00,26312704
1766156239005,2227170,0.00,26312704
1766156239105,2319873,11.55,27566080
1766156239206,2494637,21.70,29405184
1766156239309,2524081,3.58,29347840
1766156239410,2524081,0.00,29347840
1766156239527,2527549,0.37,29380608
1766156239628,2527605,0.01,29380608
1766156239735,2528125,0.06,29380608
1766156239842,2528152,0.00,29380608
1766156239963,2528218,0.01,29380608
1766156240064,2528218,0.00,29130752
1766156240171,2528218,0.00,29130752
1766156240272,2528218,0.00,29130752
1766156240373,2528218,0.00,29130752
1766156240475,2528218,0.00,29130752
1766156240576,2528218,0.00,29130752
1766156240676,2528218,0.00,29130752
1766156240777,2528218,0.00,29130752
1766156240881,2528218,0.00,29130752
1766156240985,2528218,0.00,29130752
1766156241085,2652085,15.43,30986240
1766156241186,2832599,22.43,32415744
1766156241300,2853202,2.26,32354304
1766156241400,2853202,0.00,32120832
1766156241508,2856906,0.43,32149504
1766156241610,2856906,0.00,32149504
1766156241711,2857264,0.04,32149504
1766156241813,2857486,0.03,32149504
1766156241922,2857486,0.00,32149504
1766156242028,2857555,0.01,32149504
1766156242146,2857555,0.00,32149504
1766156242255,2857555,0.00,32149504
1766156242365,2857555,0.00,32149504
1766156242467,2857555,0.00,32149504
1766156242568,2857555,0.00,32149504
1766156242668,2857555,0.00,32149504
1766156242773,2857555,0.00,32149504
1766156242880,2857555,0.00,32149504
1766156242980,2857555,0.00,32149504
1766156243081,2970751,14.10,33492992
1766156243181,3148768,22.17,35708928
1766156243282,3165051,2.01,35807232
1766156243384,3165051,0.00,35807232
1766156243489,3168624,0.43,35819520
1766156243597,3168624,0.00,35819520
1766156243698,3168624,0.00,35819520
1766156243802,3168624,0.00,35819520
1766156243903,3168624,0.00,35819520
1766156244004,3168624,0.00,35819520
1766156244112,3168624,0.00,35819520
1766156244214,3168624,0.00,35819520
1766156244316,3168624,0.00,35819520
1766156244423,3168726,0.01,35819520
1766156244526,3168726,0.00,35819520
1766156244633,3168726,0.00,35819520
1766156244735,3168726,0.00,35819520
1766156244837,3168726,0.00,35819520
1766156244941,3168726,0.00,35819520
1766156245042,3168726,0.00,35819520
1766156245170,3168726,0.00,35819520
1766156245280,3168726,0.00,35819520
1766156245389,3168726,0.00,35819520
1766156245492,3168726,0.00,35819520
1766156245594,3176660,0.98,35868672
1766156245698,3176660,0.00,35868672
1766156245799,3185074,1.04,35950592
1766156245901,3185074,0.00,35950592
1766156246013,3185132,0.01,35942400
1766156246124,3185942,0.09,35942400
1766156246227,3185942,0.00,35942400
1766156246329,3185998,0.01,35942400
1766156246435,3185998,0.00,35942400
1766156246543,3185998,0.00,35942400
1766156246650,3185998,0.00,35942400
1766156246750,3185998,0.00,35942400
1766156246856,3185998,0.00,35942400
1766156246958,3185998,0.00,35942400
1766156247071,3185998,0.00,35942400
1766156247178,3185998,0.00,35942400
1766156247298,3185998,0.00,35942400
1766156247409,3185998,0.00,35942400
1766156247512,3185998,0.00,35942400
1766156247613,3247358,7.63,36605952
1766156247713,3408271,20.03,37752832
1766156247814,3509766,12.60,38715392
1766156247917,3509766,0.00,38715392
1766156248017,3520512,1.34,38809600
1766156248154,3520512,0.00,38559744
1766156248257,3520512,0.00,38559744
1766156248370,3520512,0.00,38559744
1766156248474,3520512,0.00,38559744
1766156248589,3520512,0.00,38559744
1766156248696,3520585,0.01,38559744
1766156248797,3520585,0.00,38559744
1766156248898,3520585,0.00,38559744
1766156249000,3520585,0.00,38559744
1766156249101,3520585,0.00,38559744
1766156249204,3520585,0.00,38559744
1766156249321,3520585,0.00,38559744
1766156249426,3520585,0.00,38559744
1766156249531,3520585,0.00,38559744
1766156249641,3520585,0.00,38559744
1766156249743,3520585,0.00,38559744
1766156249848,3520585,0.00,38559744
1766156249949,3520585,0.00,38559744
1766156250050,3520585,0.00,38559744
1766156250150,3529991,1.17,38608896
1766156250250,3529991,0.00,38608896
1766156250353,3536851,0.83,38916096
1766156250454,3537531,0.08,38916096
1766156250564,3537821,0.03,38916096
1766156250668,3537821,0.00,38916096
1766156250770,3537864,0.01,38916096
1766156250870,3537864,0.00,38916096
1766156250971,3537864,0.00,38653952
1766156251089,3537864,0.00,38653952
1766156251196,3537864,0.00,38653952
1766156251315,3537864,0.00,38653952
1766156251428,3537864,0.00,38653952
1766156251536,3537864,0.00,38653952
1766156251644,3537864,0.00,38653952
1766156251744,3537864,0.00,38653952
1766156251846,3537864,0.00,38653952
1766156251963,3537864,0.00,38653952
1766156252070,3537864,0.00,38653952
1766156252170,3628978,11.34,39415808
