timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1765904231868,57338,7.02,425984
1765904231970,160946,12.67,356352
1765904232071,269155,13.36,532480
1765904232172,375379,13.17,1126400
1765904232275,395871,2.49,626688
1765904232384,395871,0.00,626688
1765904232486,482765,10.63,1191936
1765904232587,587660,13.04,1204224
1765904232688,657952,8.67,1290240
1765904232791,657952,0.00,1290240
1765904232899,657952,0.00,1044480
1765904233004,657952,0.00,1044480
1765904233109,657952,0.00,1015808
1765904233210,674917,2.11,1540096
1765904233311,782398,13.37,1761280
1765904233412,889563,13.18,1990656
1765904233513,975254,10.68,1789952
1765904233617,975254,0.00,1527808
1765904233722,975254,0.00,1527808
1765904233828,975254,0.00,1515520
1765904233932,975254,0.00,1515520
1765904234034,975254,0.00,1511424
1765904234137,975254,0.00,1511424
1765904234238,1007551,3.98,2072576
1765904234342,1114859,12.96,1835008
1765904234448,1224334,12.89,2162688
1765904234552,1332128,13.02,2252800
1765904234655,1396965,7.83,2109440
1765904234760,1396965,0.00,2109440
1765904234861,1441358,5.49,2834432
1765904234963,1548192,13.07,2535424
1765904235064,1648882,12.50,4026368
1765904235169,1690794,5.02,3829760
1765904235279,1690794,0.00,3571712
1765904235380,1690794,0.00,3571712
1765904235482,1775187,10.36,3743744
1765904235582,1879581,12.99,3469312
1765904235684,1985662,13.03,3989504
1765904235789,2058479,8.70,4190208
1765904235893,2058479,0.00,3915776
1765904235996,2058479,0.00,3915776
1765904236101,2058479,0.00,3915776
1765904236205,2058479,0.00,3915776
1765904236311,2058479,0.00,3915776
1765904236415,2058479,0.00,3915776
1765904236518,2163475,12.64,4464640
1765904236619,2266057,12.72,4747264
1765904236725,2375755,12.93,4714496
1765904236828,2482994,13.03,5373952
1765904236929,2539370,7.01,5226496
1765904237032,2539370,0.00,5218304
1765904237132,2581714,5.27,5570560
1765904237232,2686546,13.04,6053888
1765904237333,2789900,12.89,6455296
1765904237436,2874326,10.19,6668288
1765904237538,2874326,0.00,6152192
1765904237639,2874326,0.00,6152192
1765904237740,2957338,10.31,6295552
1765904237841,3062388,13.05,6819840
1765904237942,3167058,12.95,6864896
1765904238042,3271386,12.96,7532544
1765904238146,3298026,3.20,7053312
1765904238248,3298026,0.00,6795264
1765904238350,3298026,0.00,6795264
1765904238453,3298026,0.00,6795264
1765904238558,3298026,0.00,6795264
1765904238661,3298026,0.00,6795264
1765904238763,3366395,8.35,7254016
1765904238866,3471319,12.78,7348224
1765904238968,3574747,12.66,7700480
1765904239070,3680098,12.87,8155136
1765904239171,3782532,12.74,8007680
1765904239274,3854571,8.72,8433664
1765904239380,3854571,0.00,8433664
1765904239481,3888432,4.19,8179712
1765904239581,3992840,13.02,8548352
1765904239682,4098626,13.14,9699328
1765904239782,4200210,12.64,8708096
1765904239885,4232623,3.95,8908800
1765904239989,4232623,0.00,8908800
1765904240090,4232623,0.00,8896512
1765904240190,4232623,0.00,8896512
1765904240291,4295158,7.73,9502720
1765904240392,4400962,13.11,9232384
1765904240492,4505694,13.01,9551872
1765904240593,4609393,12.88,9605120
1765904240694,4713750,12.98,10039296
1765904240798,4713750,0.00,10039296
1765904240903,4713750,0.00,10018816
1765904241003,4713750,0.00,10018816
1765904241109,4713750,0.00,10018816
1765904241210,4713750,0.00,10018816
1765904241311,4782982,8.58,9928704
1765904241413,4883342,12.35,10395648
1765904241516,4988630,12.74,10899456
1765904241617,5091799,12.83,10575872
1765904241722,5198923,12.73,10719232
1765904241823,5302577,12.81,11128832
1765904241936,5345860,4.78,11268096
1765904242039,5345860,0.00,11264000
1765904242140,5411167,8.05,11628544
1765904242241,5515460,12.92,12128256
1765904242342,5619884,12.99,12582912
1765904242464,5742017,12.53,11804672
1765904242575,5749342,0.82,11948032
1765904242680,5783716,4.12,12201984
1765904242781,5889234,13.02,12455936
1765904242883,5995550,13.04,12853248
1765904242985,6100027,12.81,13266944
1765904243086,6203948,12.92,12857344
1765904243208,6289314,8.72,12648448
1765904243309,6289314,0.00,12648448
1765904243411,6289314,0.00,12648448
1765904243512,6289314,0.00,12648448
1765904243612,6289314,0.00,12648448
1765904243713,6329022,4.94,13172736
1765904243813,6432108,12.83,13885440
1765904243913,6533681,12.64,13860864
1765904244014,6635466,12.66,13623296
1765904244120,6743916,12.83,13914112
1765904244221,6848371,12.83,13824000
1765904244322,6950825,12.74,14061568
1765904244429,6990996,4.70,14184448
1765904244535,6991056,0.01,14184448
1765904244640,7063025,8.55,14528512
1765904244741,7166430,12.87,14671872
1765904244841,7269689,12.88,15360000
1765904244942,7371809,12.58,15544320
1765904245043,7436813,8.04,15224832
1765904245148,7436813,0.00,15208448
1765904245252,7436813,0.00,14950400
1765904245353,7439930,0.39,15212544
1765904245458,7547437,12.85,15360000
1765904245563,7656525,12.97,15876096
1765904245666,7761646,12.72,15728640
1765904245767,7863712,12.68,16138240
1765904245899,7999066,12.79,16375808
1765904246001,8013785,1.81,15917056
1765904246101,8013785,0.00,15912960
1765904246211,8013785,0.00,15912960
1765904246312,8013885,0.01,15912960
1765904246413,8067187,6.60,16220160
1765904246514,8169914,12.71,16281600
1765904246615,8272751,12.78,17207296
1765904246716,8374748,12.65,17088512
1765904246817,8477300,12.67,16994304
1765904246918,8581233,12.84,17137664
1765904247019,8684447,12.78,17440768
1765904247120,8766842,10.20,17616896
1765904247228,8766842,0.00,17080320
1765904247331,8793222,3.20,17346560
1765904247433,8897740,12.82,17833984
1765904247534,9003299,13.01,18317312
1765904247636,9106683,12.75,18505728
1765904247738,9211747,12.82,18714624
1765904247845,9248952,4.35,18931712
1765904247948,9248952,0.00,18931712
1765904248054,9248952,0.00,18931712
1765904248154,9320706,8.92,18726912
1765904248255,9425340,12.90,18878464
1765904248356,9530372,13.02,19132416
1765904248458,9632780,12.64,19152896
1765904248560,9739470,13.06,19021824
1765904248661,9844652,13.00,19189760
1765904248765,9898736,6.49,19197952
1765904248866,9898736,0.00,19173376
1765904248971,9898822,0.01,19173376
1765904249074,9898822,0.00,19173376
1765904249175,9973489,9.23,20066304
1765904249276,10075717,12.63,20250624
1765904249377,10178731,12.80,19836928
1765904249478,10280102,12.46,20180992
1765904249580,10383003,12.71,20217856
