timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1765897396971,15412,1.90,237568
1765897397073,107263,11.22,266240
1765897397174,205106,12.19,868352
1765897397274,307067,12.68,1175552
1765897397376,353302,5.68,729088
1765897397477,353302,0.00,438272
1765897397577,396710,5.40,1044480
1765897397679,498569,12.59,1630208
1765897397779,577863,9.86,1589248
1765897397883,577863,0.00,1576960
1765897397984,577863,0.00,1318912
1765897398084,577863,0.00,1318912
1765897398192,577863,0.00,1318912
1765897398294,577863,0.00,1318912
1765897398394,623547,5.69,1720320
1765897398500,730492,12.66,1576960
1765897398600,831382,12.57,2363392
1765897398704,846191,1.79,1679360
1765897398811,846191,0.00,1671168
1765897398913,846191,0.00,1671168
1765897399018,846191,0.00,1671168
1765897399125,846191,0.00,1671168
1765897399228,846191,0.00,1671168
1765897399329,846191,0.00,1671168
1765897399430,891505,5.61,2904064
1765897399532,991310,12.26,2945024
1765897399632,1092528,12.58,3149824
1765897399733,1194096,12.62,4050944
1765897399837,1214330,2.44,2875392
1765897399942,1214330,0.00,2875392
1765897400042,1294054,9.92,3973120
1765897400143,1393374,12.37,3600384
1765897400244,1457151,7.87,4022272
1765897400345,1457151,0.00,3510272
1765897400447,1457151,0.00,3510272
1765897400552,1457151,0.00,3510272
1765897400657,1457151,0.00,3510272
1765897400758,1475910,2.32,4030464
1765897400859,1577613,12.60,4976640
1765897400962,1681932,12.65,4767744
1765897401063,1782896,12.52,5005312
1765897401165,1801504,2.28,4304896
1765897401267,1801504,0.00,4304896
1765897401367,1801504,0.00,4304896
1765897401468,1801504,0.00,4296704
1765897401569,1801504,0.00,4296704
1765897401670,1801504,0.00,4296704
1765897401772,1817170,1.91,4816896
1765897401874,1919146,12.48,5402624
1765897401975,2018980,12.38,5226496
1765897402076,2119067,12.44,5713920
1765897402178,2222946,12.68,6561792
1765897402279,2234682,1.46,5664768
1765897402380,2234682,0.00,5660672
1765897402480,2315937,10.12,6594560
1765897402581,2416385,12.47,6926336
1765897402681,2514234,12.19,7008256
1765897402782,2514234,0.00,6651904
1765897402884,2514234,0.00,6651904
1765897402985,2532297,2.23,7163904
1765897403085,2634079,12.68,7819264
1765897403186,2735435,12.62,7843840
1765897403287,2838141,12.62,8085504
1765897403389,2878549,4.99,7385088
1765897403489,2878549,0.00,7385088
1765897403592,2878549,0.00,7385088
1765897403694,2878549,0.00,7385088
1765897403794,2878549,0.00,7385088
1765897403895,2878549,0.00,7385088
1765897403997,2886365,0.96,7909376
1765897404098,2986148,12.42,8159232
1765897404198,3086630,12.47,8720384
1765897404299,3186843,12.44,8888320
1765897404399,3288134,12.63,8372224
1765897404582,3382964,6.48,8781824
1765897404697,3382964,0.00,8777728
1765897404798,3483885,12.52,9715712
1765897404899,3584483,12.48,9891840
1765897405000,3685480,12.53,10620928
1765897405100,3705961,2.55,10211328
1765897405206,3705961,0.00,9953280
1765897405307,3720918,1.84,10215424
1765897405407,3822327,12.64,10702848
1765897405508,3923873,12.64,11337728
1765897405609,4026740,12.68,11456512
1765897405710,4126908,12.41,11448320
1765897405826,4128990,0.22,11014144
1765897405927,4128990,0.00,11014144
1765897406032,4128990,0.00,11014144
1765897406135,4128990,0.00,11014144
1765897406241,4128990,0.00,11014144
1765897406342,4167937,4.85,11915264
1765897406442,4266913,12.33,11096064
1765897406543,4367243,12.39,11673600
1765897406644,4468473,12.59,12091392
1765897406744,4569103,12.54,12259328
1765897406845,4670181,12.55,13078528
