timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1764064670653,118765,14.25,413696
1764064670755,220967,12.52,450560
1764064670856,322806,12.65,528384
1764064670956,423314,12.50,512000
1764064671058,524314,12.43,843776
1764064671158,640679,14.49,999424
1764064671259,839677,24.81,2461696
1764064671359,948191,13.46,2760704
1764064671460,1048736,12.49,3063808
1764064671561,1150834,12.72,2859008
1764064671665,1254572,12.46,2945024
1764064671766,1355318,12.47,2686976
1764064671866,1457338,12.66,2715648
1764064671970,1561213,12.51,2752512
1764064672071,1663604,12.61,2793472
1764064672172,1764658,12.51,3039232
1764064672273,1866173,12.63,2863104
1764064672376,2042720,21.32,4046848
1764064672477,2186391,17.81,4751360
1764064672578,2287265,12.52,4493312
1764064672679,2388291,12.56,4550656
1764064672779,2490366,12.64,4603904
1764064672884,2594508,12.50,4632576
1764064672985,2696800,12.66,4685824
1764064673086,2798433,12.51,4997120
1764064673187,2899783,12.57,4780032
1764064673287,3000745,12.58,4845568
1764064673388,3102087,12.64,5177344
1764064673493,3207140,12.50,5152768
1764064673595,3309759,12.52,5197824
1764064673708,3423922,12.66,4964352
1764064673817,3641974,25.01,6324224
1764064673918,3760695,14.68,6651904
1764064674019,3861481,12.51,6664192
1764064674122,3966337,12.69,6725632
1764064674223,4067805,12.54,7049216
1764064674325,4170745,12.64,6815744
1764064674427,4272570,12.50,6819840
1764064674529,4374659,12.51,6819840
1764064674629,4475701,12.58,6815744
1764064674731,4578154,12.57,7176192
1764064674835,4683443,12.67,6955008
1764064674936,4783920,12.41,6938624
1764064675043,4885473,11.89,6934528
1764064675154,4996160,12.49,7028736
1764064675255,5097781,12.60,7294976
1764064675360,5202476,12.46,7323648
1764064675461,5303446,12.48,7348224
1764064675565,5408503,12.63,7102464
1764064675666,5509504,12.50,7122944
1764064675767,5611783,12.66,7409664
1764064675871,5716023,12.49,7151616
1764064675976,5821513,12.63,7409664
1764064676087,5930955,12.33,7237632
1764064676192,6036446,12.56,7299072
1764064676292,6136137,12.37,7299072
1764064676397,6241743,12.63,7335936
1764064676497,6341722,12.46,7368704
1764064676600,6445256,12.53,7368704
1764064676701,6546937,12.61,7446528
1764064676804,6649489,12.46,7720960
1764064676907,6752775,12.56,8015872
1764064677009,6854736,12.50,8060928
1764064677110,6957008,12.62,7831552
1764064677213,7059757,12.51,7823360
1764064677313,7160361,12.53,7811072
1764064677413,7262052,12.67,7569408
1764064677517,7365127,12.48,7573504
1764064677618,7467443,12.61,7618560
1764064677720,7569455,12.54,7630848
1764064677822,7671294,12.50,7659520
1764064677930,7780665,12.64,7921664
1764064678031,7881852,12.49,7950336
1764064678134,7986559,12.67,7946240
1764064678237,8088657,12.46,7983104
1764064678345,8197894,12.64,7987200
1764064678445,8298638,12.52,8019968
1764064678554,8408281,12.64,8065024
1764064678655,8509081,12.50,8097792
1764064678757,8611092,12.51,8097792
1764064678859,8714826,12.64,7884800
1764064678964,8819385,12.52,7909376
1764064679065,8921900,12.69,7933952
1764064679170,9027230,12.45,7962624
1764064679277,9134919,12.65,8015872
1764064679380,9237798,12.50,8036352
1764064679482,9340571,12.61,8081408
1764064679582,9440710,12.47,8077312
1764064679684,9543654,12.63,8368128
1764064679786,9645852,12.48,8114176
1764064679889,9749060,12.55,8110080
1764064679991,9851855,12.58,8282112
1764064680097,9957824,12.55,8298496
1764064680200,10062126,12.67,8085504
1764064680301,10163370,12.44,8093696
1764064680402,10266505,12.77,8151040
1764064680503,10367103,12.51,8155136
1764064680603,10468937,12.67,8237056
1764064680704,10569447,12.51,8241152
1764064680804,10669398,12.45,8241152
1764064680906,10772627,12.71,8318976
1764064681007,10873809,12.50,8323072
1764064681109,10926702,6.48,8192000
1764064681209,10926702,0.00,8192000
1764064681322,10926702,0.00,8192000
1764064681423,10926702,0.00,8192000
1764064681539,10926702,0.00,8179712
1764064681643,10926702,0.00,8179712
1764064681750,10926702,0.00,8179712
1764064681850,10937225,1.31,8192000
1764064681950,11036752,12.41,8192000
1764064682052,11138832,12.59,8179712
1764064682153,11240230,12.54,8228864
1764064682253,11341203,12.52,8237056
1764064682355,11442915,12.53,8257536
1764064682458,11514043,8.65,8249344
1764064682569,11514043,0.00,8232960
1764064682676,11514043,0.00,8232960
1764064682781,11514043,0.00,8232960
1764064682886,11514043,0.00,8232960
1764064682990,11514043,0.00,8232960
1764064683097,11514043,0.00,8232960
1764064683203,11514043,0.00,8232960
1764064683315,11514043,0.00,8232960
1764064683416,11514043,0.00,8232960
1764064683519,11514043,0.00,8232960
1764064683624,11514043,0.00,8232960
1764064683736,11514043,0.00,8232960
1764064683847,11514043,0.00,8232960
1764064683954,11527990,1.62,21131264
1764064684072,11527990,0.00,20869120
1764064684173,11527990,0.00,20869120
1764064684281,11527990,0.00,20869120
1764064684395,11527990,0.00,20869120
1764064684496,11527990,0.00,20869120
1764064684622,11527990,0.00,20869120
1764064684734,11527990,0.00,20869120
1764064684836,11527990,0.00,20869120
1764064684936,11527990,0.00,20869120
1764064685037,11527990,0.00,20869120
1764064685138,11527990,0.00,20869120
1764064685241,11527990,0.00,20869120
1764064685343,11527990,0.00,20869120
1764064685448,11527990,0.00,20869120
1764064685550,11527990,0.00,20869120
1764064685668,11527990,0.00,20869120
1764064685779,11527990,0.00,20869120
1764064685880,11527990,0.00,20869120
1764064685982,11527990,0.00,20869120
1764064686085,11527990,0.00,20869120
1764064686196,11527990,0.00,20869120
1764064686299,11527990,0.00,20869120
1764064686400,11527990,0.00,20869120
1764064686512,11527990,0.00,20869120
1764064686622,11527990,0.00,20869120
1764064686723,11527990,0.00,20869120
1764064686825,11527990,0.00,20869120
1764064686926,11527990,0.00,20869120
1764064687026,11600993,9.10,21135360
1764064687126,11702059,12.57,21159936
1764064687227,11802571,12.46,21217280
1764064687328,11903483,12.57,21204992
1764064687428,12003649,12.46,21168128
1764064687528,12104910,12.62,21233664
1764064687629,12205066,12.41,21475328
1764064687732,12306384,12.37,21221376
1764064687832,12406375,12.42,21221376
1764064687933,12507371,12.53,20992000
1764064688033,12607403,12.46,21508096
1764064688134,12708574,12.61,21512192
1764064688235,12810322,12.56,21528576
1764064688335,12910041,12.42,21061632
1764064688436,13010968,12.57,21061632
1764064688541,13115466,12.34,21360640
1764064688642,13215873,12.52,21360640
1764064688742,13317201,12.57,21368832
1764064688843,13417849,12.51,21401600
1764064688943,13518104,12.49,21401600
1764064689044,13618445,12.49,21401600
1764064689145,13719559,12.57,21401600
1764064689245,13820482,12.57,21413888
1764064689345,13920918,12.51,21413888
1764064689448,14023466,12.50,21413888
1764064689548,14123919,12.49,21413888
