timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1764067151399,0,0.00,0
1764067151500,0,0.00,0
1764067151604,0,0.00,0
1764067151715,0,0.00,0
1764067151818,117,0.01,0
1764067151919,117,0.00,0
1764067152022,117,0.00,0
1764067152123,117,0.00,0
1764067152224,117,0.00,0
1764067152326,117,0.00,0
1764067152427,117,0.00,0
1764067152528,53217,6.52,884736
1764067152630,153818,12.34,753664
1764067152730,254981,12.60,839680
1764067152835,342080,10.49,1052672
1764067152937,342080,0.00,794624
1764067153038,359742,2.18,774144
1764067153142,466117,12.71,1269760
1764067153246,568538,12.41,1609728
1764067153346,625404,7.05,1146880
1764067153451,625404,0.00,1134592
1764067153553,625404,0.00,1134592
1764067153657,625404,0.00,1134592
1764067153764,625404,0.00,1134592
1764067153865,650559,3.12,1126400
1764067153965,754538,12.91,1458176
1764067154066,857490,12.82,2170880
1764067154172,958033,11.80,2097152
1764067154280,958033,0.00,2097152
1764067154396,958033,0.00,1839104
1764067154501,958033,0.00,1589248
1764067154605,958033,0.00,1589248
1764067154714,958033,0.00,1589248
1764067154815,958033,0.00,1589248
1764067154923,1018224,6.97,1929216
1764067155023,1119089,12.57,2666496
1764067155125,1222385,12.59,2408448
1764067155226,1323165,12.55,2719744
1764067155329,1410627,10.59,3248128
1764067155430,1410627,0.00,3248128
1764067155530,1425531,1.85,3506176
1764067155631,1527013,12.57,3653632
1764067155731,1631210,12.96,4481024
1764067155832,1732023,12.55,3944448
1764067155933,1739397,0.92,3985408
1764067156037,1739397,0.00,3727360
1764067156138,1768328,3.56,3731456
1764067156249,1882725,12.88,4644864
1764067156370,2005001,12.69,4943872
1764067156470,2105932,12.57,4980736
1764067156583,2125729,2.20,4829184
1764067156684,2126807,0.13,4444160
1764067156786,2126807,0.00,4444160
1764067156891,2126807,0.00,4444160
1764067157009,2126807,0.00,4444160
1764067157111,2126807,0.00,4444160
1764067157211,2178072,6.36,4800512
1764067157312,2279401,12.56,5226496
1764067157413,2379471,12.47,5160960
1764067157513,2481271,12.61,5357568
1764067157614,2582493,12.59,5906432
1764067157720,2637565,6.52,6299648
1764067157821,2637565,0.00,6299648
1764067157921,2681299,5.45,6557696
1764067158022,2783048,12.67,6770688
1764067158123,2885895,12.71,7024640
1764067158224,2988074,12.63,6983680
1764067158325,2995847,0.97,6504448
1764067158426,2995847,0.00,6504448
1764067158527,3065190,8.51,6864896
1764067158628,3168850,12.88,6721536
1764067158728,3270728,12.69,7364608
1764067158829,3372368,12.63,7409664
1764067158930,3457483,10.52,7589888
1764067159032,3457483,0.00,7589888
1764067159134,3457483,0.00,7331840
1764067159235,3457483,0.00,7331840
