timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1764079839527,0,0.00,0
1764079839630,0,0.00,0
1764079839737,0,0.00,0
1764079839844,0,0.00,0
1764079839952,0,0.00,0
1764079840053,0,0.00,0
1764079840157,0,0.00,0
1764079840270,0,0.00,0
1764079840374,0,0.00,0
1764079840481,0,0.00,0
1764079840585,0,0.00,0
1764079840702,1234,0.13,0
1764079840819,1234,0.00,0
1764079840922,1234,0.00,0
1764079841032,1234,0.00,0
1764079841138,1234,0.00,0
1764079841241,1234,0.00,0
1764079841341,1234,0.00,0
1764079841442,1234,0.00,0
1764079841553,1234,0.00,0
1764079841655,1234,0.00,0
1764079841770,1234,0.00,0
1764079841873,1234,0.00,0
1764079841973,39893,4.78,344064
1764079842074,143177,12.86,421888
1764079842175,248407,13.00,614400
1764079842275,327474,9.85,929792
1764079842384,327474,0.00,929792
1764079842487,342820,1.86,933888
1764079842588,447032,12.90,1634304
1764079842688,548890,12.69,1241088
1764079842790,580933,3.94,1040384
1764079842890,580933,0.00,737280
1764079842993,580933,0.00,737280
1764079843095,634229,6.55,1024000
1764079843195,739621,13.09,1159168
1764079843295,844350,13.05,1310720
1764079843396,889746,5.66,1368064
1764079843505,889746,0.00,1359872
1764079843618,889746,0.00,1359872
1764079843719,889746,0.00,1089536
1764079843825,889746,0.00,1089536
1764079843941,889746,0.00,1089536
1764079844042,889746,0.00,1089536
1764079844143,969918,9.93,1478656
1764079844246,1074649,12.73,1605632
1764079844346,1177940,12.87,2043904
1764079844446,1281813,12.92,2244608
1764079844566,1284258,0.26,2002944
1764079844667,1288061,0.47,2482176
1764079844767,1392073,12.93,2953216
1764079844868,1494638,12.74,2535424
1764079844991,1555515,6.19,3059712
1764079845093,1555515,0.00,2527232
1764079845194,1555515,0.00,2527232
1764079845298,1617824,7.45,3133440
1764079845399,1723110,13.11,2887680
1764079845499,1825944,12.79,3448832
1764079845600,1913393,10.89,3645440
1764079845711,1913393,0.00,3383296
1764079845811,1913393,0.00,3125248
1764079845916,1913393,0.00,3125248
1764079846016,1913393,0.00,3125248
1764079846119,1913393,0.00,3125248
1764079846242,1913393,0.00,3125248
1764079846343,1971100,7.11,3751936
1764079846443,2073207,12.72,3923968
1764079846543,2175820,12.78,4214784
1764079846644,2278575,12.81,4165632
1764079846744,2381377,12.81,4435968
1764079846848,2381445,0.01,4169728
1764079846953,2381445,0.00,4165632
1764079847054,2480594,12.22,4591616
1764079847154,2583605,12.83,5365760
1764079847255,2686650,12.69,5148672
1764079847356,2702390,1.96,5443584
1764079847464,2702390,0.00,4931584
1764079847565,2739556,4.55,4935680
1764079847666,2843881,12.96,5177344
1764079847767,2947441,12.78,5124096
1764079847874,3058319,12.99,6283264
1764079847975,3122825,7.98,5873664
1764079848081,3122825,0.00,5873664
1764079848186,3122825,0.00,5873664
1764079848295,3122825,0.00,5873664
1764079848403,3122825,0.00,5873664
1764079848506,3122825,0.00,5615616
1764079848609,3146528,2.88,6148096
1764079848710,3249176,12.59,6156288
1764079848816,3356009,12.67,6578176
1764079848917,3458791,12.66,6615040
1764079849019,3563591,12.86,6656000
1764079849123,3642194,9.50,7086080
1764079849226,3642194,0.00,7077888
1764079849326,3666933,3.07,7307264
1764079849427,3770859,12.95,7368704
1764079849529,3875484,12.75,7790592
1764079849630,3978691,12.75,7811072
1764079849731,3982705,0.50,7864320
1764079849838,3982705,0.00,7630848
1764079849938,4022606,4.96,7864320
1764079850060,4148795,12.95,8773632
1764079850170,4260262,12.75,8523776
1764079850270,4364410,12.91,9265152
1764079850371,4442012,9.65,8634368
1764079850487,4442012,0.00,8634368
1764079850589,4442012,0.00,8634368
1764079850697,4442012,0.00,8634368
1764079850812,4442012,0.00,8634368
1764079850913,4442012,0.00,8634368
1764079851016,4523806,9.95,8744960
1764079851116,4626667,12.77,9826304
1764079851217,4727545,12.57,9768960
1764079851317,4829688,12.70,9428992
1764079851418,4931696,12.70,9900032
1764079851523,5031543,11.87,9883648
1764079851650,5031543,0.00,9875456
1764079851751,5051758,2.50,10108928
1764079851852,5155097,12.80,10399744
1764079851952,5257818,12.77,10629120
1764079852053,5360208,12.73,10850304
1764079852154,5432044,8.91,10760192
1764079852256,5432044,0.00,10756096
1764079852358,5493731,7.52,11083776
1764079852460,5599370,12.92,11558912
1764079852562,5702581,12.73,12009472
1764079852664,5807743,12.80,12189696
1764079852765,5910817,12.76,11677696
1764079852869,5933067,2.70,11718656
1764079852972,5933067,0.00,11718656
1764079853079,5933067,0.00,11718656
1764079853184,5933067,0.00,11706368
1764079853292,5933067,0.00,11706368
1764079853392,6009801,9.52,11870208
1764079853494,6112562,12.56,12804096
1764079853598,6217467,12.61,13017088
1764079853699,6319740,12.69,12922880
1764079853800,6421926,12.69,12922880
1764079853900,6524679,12.81,13053952
1764079854003,6590704,8.06,13213696
1764079854103,6590704,0.00,12955648
1764079854207,6624880,4.10,13447168
1764079854310,6729098,12.74,13180928
1764079854410,6831117,12.69,13905920
1764079854510,6931943,12.56,14045184
1764079854619,7015397,9.65,14041088
1764079854720,7015397,0.00,14020608
1764079854821,7077140,7.64,14327808
1764079854924,7183310,12.90,14594048
1764079855024,7284785,12.65,14249984
1764079855126,7390236,12.88,15241216
1764079855227,7493135,12.76,14725120
1764079855330,7549218,6.87,15302656
1764079855431,7549218,0.00,14778368
1764079855535,7549218,0.00,14778368
1764079855638,7549218,0.00,14778368
1764079855739,7549218,0.00,14778368
