timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1764067880205,0,0.00,0
1764067880308,0,0.00,0
1764067880409,0,0.00,0
1764067880516,0,0.00,0
1764067880619,0,0.00,0
1764067880725,0,0.00,0
1764067880827,0,0.00,0
1764067880929,0,0.00,0
1764067881030,0,0.00,0
1764067881133,0,0.00,0
1764067881236,0,0.00,0
1764067881339,0,0.00,0
1764067881441,0,0.00,0
1764067881542,65506,8.12,606208
1764067881643,170032,12.99,458752
1764067881743,278770,13.51,483328
1764067881843,385773,13.33,630784
1764067881944,492644,13.31,544768
1764067882044,597969,13.10,548864
1764067882145,705785,13.38,774144
1764067882246,795941,11.23,524288
1764067882346,795941,0.00,524288
1764067882447,807579,1.44,1044480
1764067882548,917005,13.51,1142784
1764067882649,1024843,13.32,847872
1764067882750,1133012,13.48,1064960
1764067882850,1236547,12.90,794624
1764067882951,1346001,13.62,774144
1764067883052,1353241,0.90,897024
1764067883168,1353241,0.00,897024
1764067883278,1412910,6.75,1200128
1764067883385,1527104,13.31,1785856
1764067883486,1634712,13.37,1073152
1764067883587,1742553,13.31,1081344
1764067883688,1850329,13.36,1654784
1764067883788,1956981,13.24,1458176
1764067883889,2059247,12.70,1486848
1764067883991,2059247,0.00,1486848
1764067884095,2059247,0.00,1224704
1764067884196,2059247,0.00,1224704
1764067884297,2093843,4.30,1490944
1764067884399,2204496,13.53,1196032
1764067884502,2310648,12.90,1761280
1764067884607,2420602,13.02,1433600
1764067884707,2527509,13.31,1236992
1764067884809,2635260,13.28,1069056
1764067884910,2743076,13.27,1396736
1764067885011,2850252,13.35,1519616
1764067885111,2951142,12.58,1667072
1764067885216,2951142,0.00,1662976
1764067885316,2952956,0.22,1908736
1764067885416,3059969,13.33,1851392
1764067885517,3167181,13.36,2129920
1764067885617,3275501,13.51,2416640
1764067885718,3381240,13.16,2408448
1764067885819,3487769,13.07,2318336
1764067885921,3555198,8.28,2367488
1764067886022,3662423,13.34,2600960
1764067886122,3770803,13.51,2633728
1764067886223,3879146,13.33,3125248
1764067886325,3985133,13.11,2842624
1764067886427,4093369,13.27,3014656
1764067886528,4201716,13.42,3293184
1764067886629,4293911,11.33,3264512
1764067886730,4293911,0.00,3022848
1764067886843,4293911,0.00,3018752
1764067886944,4298215,0.53,3543040
1764067887045,4404706,13.14,3063808
1764067887147,4511989,13.17,3420160
1764067887254,4625835,13.29,3723264
1764067887355,4732644,13.18,3649536
1764067887456,4839455,13.27,3387392
1764067887556,4943086,12.92,3280896
1764067887657,5050358,13.37,3383296
1764067887758,5159106,13.37,3751936
1764067887860,5267040,13.23,4169728
1764067887961,5279479,1.55,3534848
1764067888062,5279479,0.00,3526656
1764067888162,5370804,11.35,4169728
1764067888264,5478389,13.26,4489216
1764067888366,5587576,13.43,4526080
1764067888466,5693372,13.11,4952064
1764067888568,5800188,13.11,4296704
1764067888672,5911381,13.46,5156864
1764067888775,5933489,2.68,4489216
1764067888878,5946522,1.59,4513792
1764067888978,6052305,13.10,4980736
1764067889079,6160194,13.38,4968448
1764067889186,6273251,13.18,5095424
1764067889293,6387252,13.38,4911104
1764067889401,6502401,13.30,5566464
1764067889505,6612745,13.17,5390336
1764067889607,6718571,13.05,5619712
1764067889712,6763860,5.41,5435392
1764067889815,6763860,0.00,5218304
1764067889917,6774615,1.31,5746688
1764067890018,6879655,13.02,6078464
1764067890120,6986914,13.16,5914624
1764067890221,7095198,13.38,5619712
1764067890325,7200680,12.69,6131712
1764067890425,7308399,13.39,5971968
1764067890527,7417553,13.37,6709248
1764067890628,7521232,12.91,6787072
1764067890730,7629895,13.35,6873088
1764067890830,7734811,13.01,6782976
1764067890932,7829100,11.66,6156288
1764067891033,7829100,0.00,6127616
1764067891135,7838858,1.19,6389760
1764067891237,7946399,13.14,7331840
1764067891338,8052467,13.18,7049216
1764067891439,8162946,13.60,7434240
1764067891540,8270506,13.26,7553024
1764067891641,8376098,13.14,7454720
1764067891742,8482876,13.25,8024064
1764067891842,8572004,11.07,7479296
1764067891943,8673614,12.57,8400896
1764067892047,8784556,13.41,8261632
1764067892149,8894307,13.43,7540736
1764067892250,8999782,13.00,8032256
1764067892355,9112142,13.38,8294400
1764067892457,9219764,13.28,8224768
1764067892557,9325853,13.16,8814592
1764067892659,9403534,9.59,8663040
1764067892762,9403534,0.00,8663040
1764067892865,9423445,2.42,8679424
1764067892967,9530863,13.12,8699904
1764067893068,9635549,12.98,8699904
1764067893170,9745042,13.42,9011200
1764067893275,9852117,12.70,8863744
1764067893378,9962101,13.39,9596928
1764067893478,10066152,12.96,9453568
1764067893579,10172395,13.23,9273344
1764067893679,10278097,13.10,9269248
1764067893780,10383112,13.03,9650176
1764067893881,10488740,13.09,9625600
1764067893988,10569541,9.48,9289728
1764067894099,10569827,0.03,9289728
1764067894213,10615651,5.01,9564160
1764067894314,10723573,13.34,10035200
1764067894415,10828138,12.96,10145792
1764067894515,10938667,13.78,10276864
1764067894623,11052001,13.16,10211328
1764067894724,11158482,13.18,10432512
1764067894827,11267277,13.22,11317248
1764067894933,11389054,14.30,12406784
1764067895036,11498255,13.37,11595776
1764067895136,11603899,13.14,11886592
1764067895237,11711659,13.29,11362304
1764067895338,11816613,13.00,11583488
1764067895440,11922607,13.08,11714560
1764067895540,12030227,13.41,12226560
1764067895641,12134117,12.85,11890688
1764067895748,12182175,5.60,11767808
1764067895849,12182175,0.00,11517952
1764067895952,12240153,7.01,11792384
1764067896053,12348455,13.48,12111872
1764067896154,12451020,12.71,12050432
1764067896255,12560060,13.46,12730368
1764067896357,12663506,12.73,12242944
1764067896457,12770996,13.36,12800000
1764067896559,12877763,13.09,12857344
1764067896664,12985950,12.91,12570624
1764067896764,13093848,13.45,13291520
1764067896865,13198509,13.01,12869632
1764067896965,13303007,12.98,13041664
1764067897065,13409855,13.33,13438976
1764067897167,13429614,2.45,12705792
1764067897272,13429808,0.02,12701696
1764067897374,13515803,10.54,13074432
1764067897474,13622408,13.25,13365248
1764067897577,13731462,13.33,13303808
1764067897678,13838475,13.25,13500416
1764067897778,13944005,13.08,13877248
1764067897880,14049207,12.95,13324288
1764067897981,14158281,13.50,14577664
1764067898081,14284012,15.66,14618624
1764067898184,14391932,13.17,14798848
1764067898288,14501575,13.19,15015936
1764067898388,14606750,13.12,14602240
1764067898489,14712705,13.08,14573568
1764067898590,14821462,13.53,14798848
1764067898691,14927025,13.05,15212544
1764067898792,15035242,13.43,15704064
1764067898894,15143240,13.13,15400960
1764067899000,15253725,13.08,15876096
1764067899101,15360649,13.28,15515648
1764067899205,15469770,13.02,15843328
1764067899307,15579226,13.39,16076800
1764067899408,15682016,12.80,15372288
1764067899511,15790297,13.06,15577088
