timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1764062366396,0,0.00,0
1764062366501,0,0.00,0
1764062366602,0,0.00,0
1764062366706,0,0.00,0
1764062366809,0,0.00,0
1764062366909,33961,4.21,389120
1764062367011,134700,12.43,1118208
1764062367112,237409,12.67,1085440
1764062367212,280992,5.43,958464
1764062367315,280992,0.00,958464
1764062367416,323288,5.21,1273856
1764062367517,424472,12.51,1921024
1764062367618,521421,12.08,2371584
1764062367724,521421,0.00,2117632
1764062367831,521421,0.00,1679360
1764062367932,521421,0.00,1667072
1764062368040,521421,0.00,1667072
1764062368145,521421,0.00,1667072
1764062368245,582364,7.57,1593344
1764062368346,685003,12.77,2519040
1764062368446,785412,12.48,2666496
1764062368548,792838,0.91,2760704
1764062368653,792838,0.00,2760704
1764062368768,792838,0.00,2519040
1764062368870,792838,0.00,2514944
1764062368971,792838,0.00,2269184
1764062369082,792838,0.00,2269184
1764062369184,792838,0.00,2269184
1764062369285,851057,7.22,3420160
1764062369385,950930,12.41,3772416
1764062369487,1053188,12.62,3567616
1764062369590,1133094,9.69,3756032
1764062369692,1133094,0.00,3756032
1764062369794,1151733,2.28,4243456
1764062369895,1253765,12.63,4816896
1764062369996,1352978,12.31,4980736
1764062370098,1396158,5.29,4751360
1764062370200,1396158,0.00,4743168
1764062370304,1396158,0.00,4743168
1764062370405,1446183,6.15,5414912
1764062370507,1548765,12.62,5120000
1764062370608,1651092,12.71,5423104
1764062370709,1719182,8.41,5718016
1764062370812,1719182,0.00,5472256
1764062370915,1719182,0.00,5468160
1764062371016,1719182,0.00,5459968
1764062371118,1719182,0.00,5210112
1764062371222,1719182,0.00,5210112
1764062371325,1719182,0.00,5210112
1764062371428,1777843,7.07,5881856
1764062371531,1877507,12.23,6225920
1764062371632,1979448,12.51,6385664
1764062371734,2081667,12.56,7061504
1764062371842,2109877,3.28,6950912
1764062371943,2109877,0.00,6742016
1764062372044,2170972,7.55,7323648
1764062372146,2272921,12.51,7974912
1764062372246,2373100,12.43,7692288
1764062372347,2391259,2.25,7942144
1764062372449,2391259,0.00,7782400
1764062372549,2392093,0.10,8024064
1764062372653,2496325,12.60,7700480
1764062372756,2600890,12.67,8794112
1764062372856,2700527,12.38,9154560
1764062372958,2772543,8.92,8863744
1764062373065,2772543,0.00,8863744
1764062373166,2772543,0.00,8351744
1764062373275,2772543,0.00,8351744
1764062373376,2772543,0.00,8351744
1764062373487,2772543,0.00,8351744
1764062373593,2772543,0.00,8351744
1764062373695,2824311,6.35,9248768
1764062373798,2927080,12.37,9551872
1764062373899,3026318,12.35,9310208
1764062374000,3127301,12.53,9805824
1764062374100,3229280,12.65,10338304
1764062374202,3249162,2.45,10178560
1764062374306,3249162,0.00,10174464
1764062374408,3328611,9.70,10776576
1764062374511,3431954,12.62,10780672
1764062374612,3532099,12.41,11407360
1764062374714,3574801,5.23,11198464
1764062374815,3574801,0.00,11186176
1764062374916,3588140,1.64,11452416
1764062375017,3689618,12.61,12161024
