timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1765899067680,12440,1.55,524288
1765899067781,115646,12.80,573440
1765899067882,219616,12.81,659456
1765899067983,320251,12.53,921600
1765899068085,320251,0.00,647168
1765899068187,320251,0.00,638976
1765899068296,320251,0.00,638976
1765899068401,320251,0.00,638976
1765899068505,320251,0.00,638976
1765899068622,320251,0.00,638976
1765899068722,352589,4.02,1220608
1765899068824,455681,12.68,1458176
1765899068927,558012,12.41,1990656
1765899069027,660006,12.66,2015232
1765899069131,742501,9.91,2068480
1765899069239,742501,0.00,2064384
1765899069340,771651,3.61,2113536
1765899069442,874770,12.63,2920448
1765899069544,976920,12.50,3100672
1765899069650,1053057,9.01,3223552
1765899069753,1053057,0.00,2732032
1765899069860,1053057,0.00,2732032
1765899069966,1053057,0.00,2732032
1765899070067,1053057,0.00,2732032
1765899070168,1135730,10.26,3145728
1765899070268,1237758,12.70,4071424
1765899070369,1339104,12.62,4747264
1765899070473,1444828,12.69,4243456
1765899070578,1453573,1.04,3825664
1765899070687,1453573,0.00,3579904
1765899070787,1453573,0.00,3571712
1765899070894,1453666,0.01,3833856
1765899070996,1454030,0.04,3690496
1765899071096,1454030,0.00,3690496
1765899071200,1540087,10.40,4395008
1765899071300,1638572,12.25,4874240
1765899071401,1740600,12.63,5120000
1765899071502,1841007,12.49,5021696
1765899071602,1943422,12.74,5799936
1765899071703,1958818,1.91,5218304
1765899071810,1958818,0.00,5218304
1765899071910,2044797,10.68,5357568
1765899072011,2146289,12.63,5603328
1765899072113,2248827,12.50,6688768
1765899072223,2306310,6.53,6270976
1765899072324,2306310,0.00,6250496
1765899072426,2306310,0.00,6250496
1765899072532,2306310,0.00,6250496
1765899072633,2313357,0.87,6770688
1765899072735,2417319,12.72,6250496
1765899072836,2518743,12.62,6938624
1765899072939,2623856,12.73,7176192
1765899073041,2724195,12.33,7409664
1765899073146,2750918,3.18,7254016
1765899073250,2750918,0.00,6983680
1765899073352,2750918,0.00,6983680
1765899073458,2750918,0.00,6983680
1765899073558,2750918,0.00,6750208
1765899073660,2783788,4.06,7024640
1765899073760,2885314,12.62,7053312
1765899073861,2985388,12.46,7766016
1765899073961,3087248,12.68,8011776
1765899074063,3189481,12.51,8404992
1765899074165,3292535,12.63,8622080
1765899074272,3332290,4.63,8531968
1765899074379,3332290,0.00,8531968
1765899074480,3400167,8.36,9162752
1765899074582,3503382,12.63,8577024
1765899074683,3604059,12.52,9060352
1765899074784,3705181,12.51,9285632
1765899074884,3730157,3.10,9289728
1765899074985,3734143,0.49,9310208
1765899075086,3835873,12.61,9228288
1765899075187,3938600,12.68,10100736
1765899075288,4040737,12.71,10575872
1765899075388,4142750,12.70,10788864
1765899075491,4222537,9.68,10780672
1765899075595,4222537,0.00,10522624
1765899075695,4222537,0.00,10522624
1765899075799,4222537,0.00,10522624
1765899075901,4222537,0.00,10522624
1765899076002,4232166,1.19,11046912
1765899076102,4332276,12.46,11079680
1765899076203,4433367,12.59,10960896
1765899076304,4534665,12.50,10936320
1765899076406,4636215,12.45,11091968
1765899076507,4736994,12.53,11354112
1765899076607,4839403,12.74,12013568
1765899076709,4863133,2.91,11644928
1765899076810,4863133,0.00,11640832
1765899076914,4937707,9.02,11968512
1765899077014,5038271,12.48,12353536
1765899077115,5138927,12.56,12595200
1765899077215,5238588,12.39,12500992
1765899077317,5286958,5.92,12640256
1765899077418,5290437,0.43,12640256
1765899077522,5395486,12.64,13058048
1765899077624,5498463,12.70,13213696
1765899077725,5601194,12.61,13361152
1765899077826,5703420,12.71,13336576
1765899077926,5803706,12.48,13766656
1765899078032,5829592,3.07,13398016
1765899078134,5829592,0.00,13393920
1765899078237,5829592,0.00,13393920
1765899078343,5829592,0.00,13393920
1765899078447,5840306,1.28,13656064
1765899078547,5941954,12.66,14065664
1765899078648,6042456,12.47,14172160
1765899078749,6142665,12.47,14213120
1765899078850,6244210,12.55,14651392
1765899078952,6347467,12.56,14815232
1765899079053,6448642,12.58,14704640
1765899079154,6550674,12.62,15208448
1765899079261,6564106,1.56,14782464
