timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1765898573795,22633,2.62,524288
1765898573895,127548,13.05,950272
1765898574000,236420,12.96,638976
1765898574101,332968,12.02,856064
1765898574203,332968,0.00,598016
1765898574303,332968,0.00,598016
1765898574406,332968,0.00,598016
1765898574506,332968,0.00,598016
1765898574619,332968,0.00,598016
1765898574722,332968,0.00,598016
1765898574824,376316,5.31,1474560
1765898574927,482147,12.76,1740800
1765898575028,584466,12.71,1466368
1765898575129,686529,12.68,1683456
1765898575229,789851,12.83,1966080
1765898575333,790712,0.10,1716224
1765898575435,790712,0.00,1716224
1765898575538,894856,12.65,2129920
1765898575639,999778,12.96,2527232
1765898575747,1080247,9.30,2981888
1765898575848,1080247,0.00,2965504
1765898575949,1080247,0.00,2707456
1765898576054,1080247,0.00,2445312
1765898576155,1080247,0.00,2445312
1765898576255,1120221,4.98,3297280
1765898576357,1225008,12.91,3579904
1765898576458,1328747,12.81,3268608
1765898576559,1431581,12.80,4091904
1765898576660,1471556,4.93,3379200
1765898576761,1471556,0.00,3375104
1765898576864,1471556,0.00,3371008
1765898576973,1471556,0.00,3371008
1765898577074,1471556,0.00,3362816
1765898577182,1471556,0.00,3362816
1765898577283,1530300,7.27,4255744
1765898577385,1633550,12.65,4816896
1765898577486,1735038,12.55,4214784
1765898577587,1839055,12.83,4976640
1765898577688,1941536,12.76,4644864
1765898577798,2005870,7.29,4841472
1765898577915,2005870,0.00,4841472
1765898578016,2063131,7.10,4911104
1765898578123,2173319,12.83,5464064
1765898578224,2274615,12.60,5214208
1765898578325,2335204,7.46,5668864
1765898578430,2335204,0.00,5410816
1765898578534,2335204,0.00,5410816
1765898578635,2435462,12.40,6156288
1765898578736,2539163,12.81,5873664
1765898578839,2645126,12.87,6594560
1765898578940,2747434,12.73,6795264
1765898579042,2778899,3.85,6598656
1765898579145,2778899,0.00,6586368
1765898579259,2778899,0.00,6328320
1765898579368,2778899,0.00,6328320
1765898579481,2778899,0.00,6328320
1765898579594,2821810,4.74,6606848
1765898579695,2922997,12.58,6619136
1765898579796,3024910,12.56,6815744
1765898579898,3129064,12.73,7536640
1765898580001,3233613,12.73,7475200
1765898580102,3335534,12.66,7663616
1765898580204,3398057,7.61,7663616
1765898580327,3398057,0.00,7659520
1765898580430,3460820,7.67,8245248
1765898580532,3566290,12.87,8712192
1765898580633,3666859,12.47,8708096
1765898580733,3763357,12.01,8916992
1765898580835,3763357,0.00,8904704
1765898580936,3763357,0.00,8896512
1765898581037,3855667,11.37,9580544
1765898581138,3959025,12.82,9515008
1765898581239,4062330,12.72,9146368
1765898581340,4165169,12.76,9601024
1765898581441,4265507,12.44,9490432
1765898581550,4275804,1.18,9543680
1765898581656,4275804,0.00,9543680
1765898581770,4275804,0.00,9543680
1765898581871,4275804,0.00,9543680
1765898581973,4287799,1.48,9547776
1765898582073,4391031,12.83,10059776
1765898582174,4490863,12.43,10219520
1765898582276,4594720,12.68,10141696
1765898582378,4696615,12.58,10493952
1765898582480,4800727,12.68,10412032
1765898582582,4904728,12.70,10588160
1765898582688,4975730,8.41,10502144
1765898582792,4975730,0.00,10502144
1765898582893,5011638,4.44,10477568
1765898582994,5114893,12.78,11223040
1765898583095,5219986,13.02,11898880
1765898583196,5320376,12.47,12017664
1765898583298,5387253,8.19,11599872
1765898583400,5387253,0.00,11591680
1765898583502,5461973,9.19,11935744
1765898583603,5565578,12.83,11898880
1765898583704,5668377,12.69,12050432
1765898583805,5771624,12.86,12754944
1765898583906,5875279,12.78,12939264
1765898584006,5956484,10.11,12279808
1765898584108,5956484,0.00,12279808
1765898584209,5956484,0.00,12279808
1765898584313,5956484,0.00,12279808
1765898584413,5956510,0.00,12279808
1765898584514,6025107,8.55,12902400
1765898584615,6125933,12.43,12619776
1765898584716,6227055,12.50,13070336
1765898584817,6330095,12.77,13451264
1765898584917,6432013,12.70,13664256
1765898585018,6533215,12.59,13520896
1765898585118,6634463,12.58,13352960
