timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1765900107639,82694,10.22,299008
1765900107740,182914,12.43,303104
1765900107841,284578,12.59,577536
1765900107941,385704,12.59,344064
1765900108043,487941,12.56,339968
1765900108143,588419,12.52,348160
1765900108244,689611,12.52,348160
1765900108345,789594,12.46,311296
1765900108450,894283,12.38,348160
1765900108553,997173,12.49,73728
1765900108654,1097421,12.47,335872
1765900108780,1224329,12.59,114688
1765900108881,1325096,12.51,622592
1765900108982,1426203,12.45,98304
1765900109083,1526364,12.42,356352
1765900109183,1625519,12.34,401408
1765900109285,1726680,12.47,405504
1765900109386,1828419,12.58,159744
1765900109487,1930175,12.57,421888
1765900109589,2031746,12.51,421888
1765900109689,2132488,12.51,438272
1765900109790,2232471,12.46,442368
1765900109890,2332475,12.43,442368
1765900109991,2435196,12.72,454656
1765900110093,2536719,12.50,458752
1765900110194,2638100,12.50,450560
1765900110295,2738503,12.44,454656
1765900110395,2839305,12.55,188416
1765900110497,2941131,12.50,438272
1765900110599,3042740,12.52,442368
1765900110699,3143385,12.53,507904
1765900110801,3245436,12.48,507904
1765900110905,3349605,12.52,516096
1765900111006,3451394,12.61,512000
1765900111107,3552569,12.53,520192
1765900111207,3653255,12.55,565248
1765900111308,3754507,12.58,585728
1765900111409,3854641,12.43,835584
1765900111514,3961217,12.67,659456
1765900111620,4066905,12.46,888832
1765900111723,4169903,12.54,1183744
1765900111825,4272460,12.57,1196032
1765900111927,4375239,12.50,741376
1765900112031,4434660,7.17,503808
1765900112136,4434893,0.03,503808
1765900112237,4479400,5.53,548864
1765900112342,4583387,12.34,815104
1765900112443,4685089,12.54,569344
1765900112544,4784897,12.42,851968
1765900112645,4886871,12.56,868352
1765900112747,4989146,12.52,888832
1765900112854,5184475,22.95,937984
1765900112956,5286239,12.43,745472
1765900113057,5386269,12.36,757760
1765900113159,5491092,12.83,1523712
1765900113260,5590845,12.36,1028096
1765900113364,5696054,12.64,1294336
1765900113467,5862648,20.26,1617920
1765900113643,6108334,17.48,884736
1765900113743,6209007,12.52,1134592
1765900113850,6402408,22.63,1638400
1765900113950,6602861,24.97,1691648
1765900114051,6804799,25.03,1708032
1765900114165,7031592,24.93,1466368
1765900114266,7232173,24.79,1540096
1765900114381,7479483,26.90,1630208
1765900114482,7680994,24.95,1929216
1765900114582,7883335,25.23,1728512
1765900114683,8083050,24.81,1556480
1765900114784,8284942,25.04,1630208
1765900114889,8514676,27.25,2338816
1765900115000,8735826,24.91,2154496
1765900115101,8938458,25.03,1904640
1765900115202,9137922,24.80,2285568
1765900115305,9346045,25.15,2146304
1765900115408,9514349,20.37,2547712
1765900115509,9816718,37.40,2547712
1765900115610,10042832,27.97,2310144
1765900115712,10247280,25.20,2629632
1765900115813,10421953,21.70,2428928
1765900115913,10522156,12.49,2433024
1765900116013,10623139,12.58,2191360
1765900116114,10723554,12.49,2424832
1765900116215,10824923,12.49,2174976
1765900116316,10926230,12.51,2416640
1765900116417,11026380,12.46,2424832
1765900116517,11127746,12.63,2420736
1765900116618,11227831,12.40,2424832
1765900116722,11333105,12.62,2490368
1765900116826,11437254,12.53,2265088
1765900116931,11542508,12.50,2482176
1765900117032,11643988,12.57,2777088
1765900117133,11745080,12.51,2789376
1765900117234,11844986,12.43,2531328
1765900117334,11945639,12.54,2555904
1765900117436,12045764,12.33,2560000
1765900117536,12148453,12.78,2580480
1765900117636,12248750,12.48,2322432
