timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1765903776899,17619,2.19,569344
1765903777000,113594,11.90,421888
1765903777102,215050,12.47,757760
1765903777202,316694,12.64,602112
1765903777302,416518,12.43,385024
1765903777404,519718,12.66,655360
1765903777510,544490,2.93,425984
1765903777612,544490,0.00,425984
1765903777716,625185,9.68,741376
1765903777816,726607,12.65,516096
1765903777917,827160,12.47,1191936
1765903778018,911467,10.50,983040
1765903778118,911837,0.05,1044480
1765903778225,911837,0.00,827392
1765903778331,911837,0.00,827392
1765903778432,932517,2.55,1347584
1765903778533,1035397,12.76,1703936
1765903778634,1136712,12.54,1236992
1765903778735,1238918,12.73,1880064
1765903778835,1337890,12.34,1376256
1765903778936,1392919,6.78,1470464
1765903779037,1392919,0.00,1470464
1765903779138,1392919,0.00,1208320
1765903779242,1392919,0.00,1208320
1765903779343,1392919,0.00,1208320
1765903779444,1412662,2.44,1728512
1765903779545,1511910,12.30,1867776
1765903779646,1613561,12.65,1466368
1765903779746,1713312,12.41,1658880
1765903779846,1813562,12.48,2027520
1765903779947,1913573,12.48,2154496
1765903780047,2014592,12.56,2867200
1765903780151,2014973,0.05,2441216
1765903780253,2014973,0.00,2191360
1765903780354,2113274,12.20,3022848
1765903780454,2215297,12.72,3219456
1765903780566,2325138,12.32,3559424
1765903780666,2411853,10.79,3719168
1765903780774,2411853,0.00,3481600
1765903780874,2458195,5.77,3506176
1765903780975,2559887,12.59,4472832
1765903781076,2661335,12.58,3899392
1765903781176,2763076,12.67,3764224
1765903781277,2864432,12.64,3923968
1765903781378,2936821,8.93,4325376
1765903781481,2936821,0.00,3825664
1765903781583,2936821,0.00,3825664
1765903781683,2936821,0.00,3825664
1765903781788,2936821,0.00,3825664
1765903781889,2981924,5.59,4145152
1765903781991,3082490,12.35,4538368
1765903782091,3182036,12.39,4771840
1765903782192,3282082,12.39,4603904
1765903782293,3383027,12.51,4956160
1765903782393,3483178,12.48,4915200
1765903782494,3584285,12.60,5324800
1765903782596,3632187,5.88,5464064
1765903782699,3632187,0.00,5206016
1765903782800,3682643,6.29,5484544
1765903782900,3783817,12.61,5861376
1765903783000,3884683,12.57,5656576
1765903783102,3985047,12.41,6340608
1765903783205,4080720,11.58,7024640
1765903783308,4080720,0.00,6524928
1765903783409,4168089,10.80,6602752
1765903783510,4268988,12.55,7348224
1765903783610,4371360,12.74,7548928
1765903783711,4471832,12.51,7897088
1765903783814,4576646,12.65,7868416
1765903783919,4652748,9.06,7659520
1765903784048,4652748,0.00,7421952
1765903784156,4652748,0.00,7421952
1765903784279,4652748,0.00,7421952
1765903784380,4691658,4.82,7692288
1765903784480,4790717,12.33,7901184
1765903784583,4894358,12.60,7774208
1765903784684,4994243,12.36,8130560
1765903784785,5094580,12.49,8257536
1765903784885,5195742,12.55,8400896
1765903784986,5296706,12.48,8515584
1765903785087,5398470,12.63,8224768
1765903785194,5429466,3.63,8347648
1765903785297,5429466,0.00,8347648
1765903785398,5508727,9.76,8904704
1765903785499,5610431,12.63,8798208
