timestamp_ms,cpu_usage_usec,cpu_percent,mem_bytes
1764068333572,0,0.00,0
1764068333673,0,0.00,0
1764068333775,0,0.00,0
1764068333881,0,0.00,0
1764068333989,0,0.00,0
1764068334091,0,0.00,0
1764068334197,0,0.00,0
1764068334298,0,0.00,0
1764068334403,0,0.00,0
1764068334504,0,0.00,0
1764068334610,0,0.00,0
1764068334712,0,0.00,0
1764068334821,0,0.00,0
1764068334925,0,0.00,0
1764068335026,0,0.00,0
1764068335133,0,0.00,0
1764068335235,0,0.00,0
1764068335339,0,0.00,0
1764068335451,0,0.00,0
1764068335552,0,0.00,0
1764068335652,68699,8.55,1355776
1764068335753,165446,12.00,2736128
1764068335854,187311,2.71,2596864
1764068335956,187311,0.00,2179072
1764068336056,264883,9.64,3035136
1764068336157,344351,9.89,4472832
1764068336258,344351,0.00,4460544
1764068336359,344351,0.00,4198400
1764068336462,344351,0.00,4198400
1764068336563,345489,0.14,4202496
1764068336665,356973,1.40,4259840
1764068336766,356973,0.00,4259840
1764068336873,356973,0.00,4243456
1764068336978,356973,0.00,4243456
1764068337083,356973,0.00,4243456
1764068337185,356973,0.00,4243456
1764068337288,356973,0.00,4243456
1764068337388,356973,0.00,4243456
1764068337491,356973,0.00,4243456
1764068337591,361600,0.57,4538368
1764068337693,371770,1.25,4288512
1764068337799,371770,0.00,4288512
1764068337904,392891,2.50,4661248
1764068338011,392891,0.00,4661248
1764068338115,392891,0.00,4407296
1764068338216,392891,0.00,4407296
1764068338321,392891,0.00,4407296
1764068338422,410430,2.17,4993024
1764068338525,410430,0.00,4710400
1764068338626,410430,0.00,4444160
1764068338728,410430,0.00,4444160
1764068338829,410430,0.00,4444160
1764068338931,410430,0.00,4444160
1764068339039,410430,0.00,4444160
1764068339140,410430,0.00,4444160
1764068339241,410430,0.00,4444160
1764068339349,410430,0.00,4444160
1764068339450,418012,0.94,5238784
1764068339552,437020,2.34,4833280
1764068339658,437020,0.00,4571136
1764068339764,458083,2.47,5447680
1764068339869,458083,0.00,4923392
1764068339984,458083,0.00,4923392
1764068340085,458083,0.00,4923392
1764068340188,458083,0.00,4661248
1764068340289,475065,2.11,4988928
1764068340390,476329,0.16,4976640
1764068340492,476329,0.00,4964352
1764068340594,476329,0.00,4706304
1764068340697,476329,0.00,4702208
1764068340809,476329,0.00,4702208
1764068340917,476329,0.00,4702208
1764068341019,476329,0.00,4702208
1764068341133,476329,0.00,4702208
1764068341234,476329,0.00,4702208
1764068341334,499173,2.84,5505024
1764068341436,502002,0.35,4755456
1764068341542,502002,0.00,4755456
1764068341642,520318,2.27,5623808
1764068341748,520318,0.00,5373952
1764068341848,520318,0.00,5373952
1764068341959,520318,0.00,5111808
1764068342060,520318,0.00,4849664
1764068342161,526886,0.81,5423104
1764068342272,526886,0.00,5144576
1764068342373,526886,0.00,4882432
1764068342475,526886,0.00,4882432
1764068342579,526886,0.00,4882432
1764068342682,526886,0.00,4882432
1764068342783,526886,0.00,4878336
1764068342885,526886,0.00,4878336
1764068342988,526886,0.00,4878336
1764068343091,526886,0.00,4878336
1764068343193,543226,2.00,5455872
1764068343295,554792,1.42,5206016
1764068343398,554792,0.00,5206016
1764068343502,576813,2.67,5320704
1764068343608,576813,0.00,5058560
1764068343710,576813,0.00,5058560
1764068343817,576813,0.00,5058560
1764068343924,576813,0.00,5046272
1764068344027,590744,1.68,5619712
1764068344134,590744,0.00,5074944
1764068344238,590744,0.00,5074944
1764068344341,590744,0.00,5074944
1764068344446,590744,0.00,5074944
1764068344550,590744,0.00,5074944
1764068344665,590744,0.00,5074944
1764068344768,590744,0.00,5074944
1764068344868,590744,0.00,5070848
1764068344974,590744,0.00,5070848
1764068345076,611160,2.50,5918720
1764068345180,611916,0.09,5390336
1764068345286,611916,0.00,5390336
1764068345399,634354,2.48,5468160
1764068345504,634354,0.00,5210112
1764068345611,634354,0.00,5210112
1764068345720,634354,0.00,5210112
1764068345823,634354,0.00,5210112
1764068345925,646639,1.50,5525504
1764068346030,646639,0.00,5255168
